,REGION,YEAR,WEEK,ili_ratio
1,Alaska,2010,40,0.008751458576378346
53,Alaska,2010,41,0.011282660332474569
105,Alaska,2010,42,0.005860415556708256
157,Alaska,2010,43,0.00967741935478668
209,Alaska,2010,44,0.006838506049411686
261,Alaska,2010,45,0.009519038076104614
313,Alaska,2010,46,0.009625668449146387
365,Alaska,2010,47,0.0065231572080461635
417,Alaska,2010,48,0.004597701149398864
469,Alaska,2010,49,0.007977207977162523
521,Alaska,2010,50,0.010558069381545711
573,Alaska,2010,51,0.008522727272678849
625,Alaska,2010,52,0.011308562197031188
677,Alaska,2011,1,0.005925925925896663
729,Alaska,2011,2,0.014822657490657372
781,Alaska,2011,3,0.016682113067577935
833,Alaska,2011,4,0.014012738853443684
885,Alaska,2011,5,0.036786786786510615
937,Alaska,2011,6,0.019589106545534692
989,Alaska,2011,7,0.04431599229258629
1041,Alaska,2011,8,0.02934537246036413
1093,Alaska,2011,9,0.04880100967585696
1145,Alaska,2011,10,0.035337124289052245
1197,Alaska,2011,11,0.026874729085275793
1249,Alaska,2011,12,0.030245746691680873
1301,Alaska,2011,13,0.021437578814537884
1353,Alaska,2011,14,0.022082018927345282
1405,Alaska,2011,15,0.01365037428439608
1457,Alaska,2011,16,0.014123006833648644
1509,Alaska,2011,17,0.008542713567796269
1561,Alaska,2011,18,0.007981220657239526
1613,Alaska,2011,19,0.003597122302139789
1665,Alaska,2011,20,0.0030627871362783935
1717,Alaska,2011,21,0.007168458781325303
1769,Alaska,2011,22,0.0036649214659493987
1821,Alaska,2011,23,0.006017505470426601
1873,Alaska,2011,24,0.005524861878422515
1925,Alaska,2011,25,0.0076419213973382
1977,Alaska,2011,26,0.005592841163279683
2029,Alaska,2011,27,0.005008347245381145
2081,Alaska,2011,28,0.006688963210665057
2133,Alaska,2011,29,0.003174603174586378
2185,Alaska,2011,30,0.00410677618067707
2237,Alaska,2011,31,0.0036939313983973938
2289,Alaska,2011,32,0.004888647474172251
2341,Alaska,2011,33,0.003227541689062789
2393,Alaska,2011,34,0.0016510731975693392
2445,Alaska,2011,35,0.009139784946187422
2497,Alaska,2011,36,0.0086486486486019
2549,Alaska,2011,37,0.009824198552172574
2601,Alaska,2011,38,0.01226993865024402
2653,Alaska,2011,39,0.012164429530150317
2705,Alaska,2011,40,0.016491327836177166
2758,Alaska,2011,41,0.015037593984902899
2811,Alaska,2011,42,0.009978172747084572
2864,Alaska,2011,43,0.008700696055659221
2917,Alaska,2011,44,0.0074173971678528836
2970,Alaska,2011,45,0.011742602160583643
3023,Alaska,2011,46,0.005102040816297608
3076,Alaska,2011,47,0.005787037037003548
3129,Alaska,2011,48,0.009583133684668984
3182,Alaska,2011,49,0.0070323488044677345
3235,Alaska,2011,50,0.005646817248430971
3288,Alaska,2011,51,0.005165289256171667
3341,Alaska,2011,52,0.006622516556254843
3394,Alaska,2012,1,0.006963042313835228
3447,Alaska,2012,2,0.005070422535182702
3500,Alaska,2012,3,0.007637752318561715
3553,Alaska,2012,4,0.014965259219588642
3606,Alaska,2012,5,0.008384146341399511
3659,Alaska,2012,6,0.006158218853594704
3712,Alaska,2012,7,0.0036068530207231434
3765,Alaska,2012,8,0.004659832246017429
