,REGION,YEAR,WEEK,ili_ratio
2,Arizona,2010,40,0.006747214812487546
54,Arizona,2010,41,0.007499385296284116
106,Arizona,2010,42,0.009533645825053812
158,Arizona,2010,43,0.008888041197784136
210,Arizona,2010,44,0.011857256869223632
262,Arizona,2010,45,0.009453366031164681
314,Arizona,2010,46,0.010966521218669742
366,Arizona,2010,47,0.011337970909742822
418,Arizona,2010,48,0.01422273337166409
470,Arizona,2010,49,0.021483482235602955
522,Arizona,2010,50,0.020183638018024575
574,Arizona,2010,51,0.023026983160872882
626,Arizona,2010,52,0.015164873919936886
678,Arizona,2011,1,0.015966745658670616
730,Arizona,2011,2,0.01711463358602607
782,Arizona,2011,3,0.02387729285261548
834,Arizona,2011,4,0.023350630096360465
886,Arizona,2011,5,0.02437978122541489
938,Arizona,2011,6,0.027762735116781196
990,Arizona,2011,7,0.026335590669667442
1042,Arizona,2011,8,0.022860787539016797
1094,Arizona,2011,9,0.017121092129570796
1146,Arizona,2011,10,0.017006410994657373
1198,Arizona,2011,11,0.01328191945157957
1250,Arizona,2011,12,0.009966417506225412
1302,Arizona,2011,13,0.011131573562508233
1354,Arizona,2011,14,0.009975264587806667
1406,Arizona,2011,15,0.008950530177797464
1458,Arizona,2011,16,0.010902765993547045
1510,Arizona,2011,17,0.008355869911931088
1562,Arizona,2011,18,0.007726787620060735
1614,Arizona,2011,19,0.006861063464834032
1666,Arizona,2011,20,0.00569434239529496
1718,Arizona,2011,21,0.005555105019866371
1770,Arizona,2011,22,0.005507307773773826
1822,Arizona,2011,23,0.004682371114112433
1874,Arizona,2011,24,0.003926187671768783
1926,Arizona,2011,25,0.0040973843441783325
1978,Arizona,2011,26,0.0038540229338136487
2030,Arizona,2011,27,0.004698063481147761
2082,Arizona,2011,28,0.0044936379546830834
2134,Arizona,2011,29,0.003685797711931604
2186,Arizona,2011,30,0.0032812576521850816
2238,Arizona,2011,31,0.004180256327803675
2290,Arizona,2011,32,0.0030759629101270165
2342,Arizona,2011,33,0.004361953086747513
2394,Arizona,2011,34,0.00586000091562246
2446,Arizona,2011,35,0.006738299034781124
2498,Arizona,2011,36,0.004315816197002124
2550,Arizona,2011,37,0.004989429175473578
2602,Arizona,2011,38,0.004577540106949913
2654,Arizona,2011,39,0.005160180606319002
2706,Arizona,2011,40,0.00697180963928111
2759,Arizona,2011,41,0.006565204416588796
2812,Arizona,2011,42,0.007206443408220429
2865,Arizona,2011,43,0.008191844766826144
2918,Arizona,2011,44,0.009930830039520784
2971,Arizona,2011,45,0.00998738965951577
3024,Arizona,2011,46,0.012049934930345568
3077,Arizona,2011,47,0.013254251649208222
3130,Arizona,2011,48,0.011625672559563977
3183,Arizona,2011,49,0.01138510236380692
3236,Arizona,2011,50,0.010512555150056913
3289,Arizona,2011,51,0.010983353355064937
3342,Arizona,2011,52,0.013641603688988316
3395,Arizona,2012,1,0.012866700977861916
3448,Arizona,2012,2,0.01018450184501344
3501,Arizona,2012,3,0.01099185980193343
3554,Arizona,2012,4,0.010304360270961595
3607,Arizona,2012,5,0.01449899511914322
3660,Arizona,2012,6,0.013926439830631063
3713,Arizona,2012,7,0.019129148171623794
3766,Arizona,2012,8,0.019221098508119115
3819,Arizona,2012,9,0.018302140419802344
3872,Arizona,2012,10,0.017473188595334827
3925,Arizona,2012,11,0.016798367261491025
3978,Arizona,2012,12,0.01692872404535313
4031,Arizona,2012,13,0.016591503813809593
4084,Arizona,2012,14,0.01690539128295512
4137,Arizona,2012,15,0.01577020557588523
4190,Arizona,2012,16,0.013312094663776702
4243,Arizona,2012,17,0.011384335154819552
4296,Arizona,2012,18,0.011754525131598937
4349,Arizona,2012,19,0.010764953304333951
4402,Arizona,2012,20,0.0109431995831067
4455,Arizona,2012,21,0.009180070615920612
4508,Arizona,2012,22,0.008323524466110371
4561,Arizona,2012,23,0.006997261940974294
4614,Arizona,2012,24,0.007976227713475151
4667,Arizona,2012,25,0.0069713400464701996
4720,Arizona,2012,26,0.007338590053862644
4773,Arizona,2012,27,0.005457679050167121
4826,Arizona,2012,28,0.005065937600510561
4879,Arizona,2012,29,0.005076526746472892
4932,Arizona,2012,30,0.0062353226981891365
4985,Arizona,2012,31,0.011304444198147728
5038,Arizona,2012,32,0.01238541057147222
5091,Arizona,2012,33,0.011010915994294245
5144,Arizona,2012,34,0.012428884026247327
5197,Arizona,2012,35,0.014895564616780481
5250,Arizona,2012,36,0.012636579572434548
5303,Arizona,2012,37,0.01128965801399976
5356,Arizona,2012,38,0.010535219932320412
5409,Arizona,2012,39,0.010379445295209818
5462,Arizona,2012,40,0.007567939456480009
5515,Arizona,2012,41,0.007874015748026937
5568,Arizona,2012,42,0.009772807415238642
5621,Arizona,2012,43,0.00767786124612921
5674,Arizona,2012,44,0.010732955177393652
5727,Arizona,2012,45,0.011072117048089036
5780,Arizona,2012,46,0.012452746275287717
5833,Arizona,2012,47,0.013099843887861874
5886,Arizona,2012,48,0.01083699560526826
5939,Arizona,2012,49,0.013993327025539567
5992,Arizona,2012,50,0.017202580387049457
6045,Arizona,2012,51,0.02055060100813273
6098,Arizona,2012,52,0.029217163445771882
6151,Arizona,2013,1,0.030312000473607062
6204,Arizona,2013,2,0.028277634961427267
6257,Arizona,2013,3,0.03906968961765286
6310,Arizona,2013,4,0.050577825056790975
6363,Arizona,2013,5,0.03638933050696149
6416,Arizona,2013,6,0.03191256830599698
6469,Arizona,2013,7,0.030378414581624463
6522,Arizona,2013,8,0.024249022615913173
6575,Arizona,2013,9,0.021021620811893432
6628,Arizona,2013,10,0.017442993568496667
6681,Arizona,2013,11,0.015586864876849574
6734,Arizona,2013,12,0.013075113518237827
6787,Arizona,2013,13,0.009242761692645188
6840,Arizona,2013,14,0.00971764832909911
6893,Arizona,2013,15,0.01035071298793682
6946,Arizona,2013,16,0.009355638166041291
6999,Arizona,2013,17,0.009597806215716638
7052,Arizona,2013,18,0.01185921958683253
7105,Arizona,2013,19,0.008402800933638944
7158,Arizona,2013,20,0.00800176185581559
7211,Arizona,2013,21,0.006681034482753821
7264,Arizona,2013,22,0.0067031358348049125
7317,Arizona,2013,23,0.0071725179312894126
7370,Arizona,2013,24,0.00730256719114108
7423,Arizona,2013,25,0.005736281983541598
7476,Arizona,2013,26,0.005785770132911817
7529,Arizona,2013,27,0.00522146200935792
7582,Arizona,2013,28,0.004239533651295147
7635,Arizona,2013,29,0.0046661057140635915
7688,Arizona,2013,30,0.005701788643282276
7741,Arizona,2013,31,0.005851063829782788
7794,Arizona,2013,32,0.0077370920790503
7847,Arizona,2013,33,0.007911162723176142
7900,Arizona,2013,34,0.0045413885639547635
7953,Arizona,2013,35,0.007735487404156807
8006,Arizona,2013,36,0.008602150537625159
8059,Arizona,2013,37,0.007460624481894205
8112,Arizona,2013,38,0.007844335778313116
8165,Arizona,2013,39,0.009476482144909884
8218,Arizona,2013,40,0.007923111371384503
8272,Arizona,2013,41,0.010014798499497534
8326,Arizona,2013,42,0.010594632520606702
8380,Arizona,2013,43,0.008403928583479563
8434,Arizona,2013,44,0.010415592451270009
8488,Arizona,2013,45,0.011437565582367458
8542,Arizona,2013,46,0.010719250749977786
8596,Arizona,2013,47,0.013173066843700627
8650,Arizona,2013,48,0.013855010244895181
8704,Arizona,2013,49,0.013573685722488661
8758,Arizona,2013,50,0.013487120905032433
8812,Arizona,2013,51,0.01813992612368133
8866,Arizona,2013,52,0.019097744360892684
8920,Arizona,2014,1,0.021166403963061846
8974,Arizona,2014,2,0.01988862370723258
9028,Arizona,2014,3,0.02816901408449764
9082,Arizona,2014,4,0.03209930953429113
9136,Arizona,2014,5,0.029228635029186944
9190,Arizona,2014,6,0.02642007926022835
9244,Arizona,2014,7,0.023720601594823955
9298,Arizona,2014,8,0.020505906978387018
9352,Arizona,2014,9,0.02040099722601903
9406,Arizona,2014,10,0.01735948933519486
9460,Arizona,2014,11,0.015005541819415548
9514,Arizona,2014,12,0.014858096828040544
9568,Arizona,2014,13,0.012360120092013739
9622,Arizona,2014,14,0.013135206410379787
9676,Arizona,2014,15,0.014617840750341938
9730,Arizona,2014,16,0.01580201293333213
9784,Arizona,2014,17,0.014276749293999436
9838,Arizona,2014,18,0.0163347505034592
9892,Arizona,2014,19,0.017505347292571482
9946,Arizona,2014,20,0.016364364593456332
10000,Arizona,2014,21,0.012471547799690594
10054,Arizona,2014,22,0.012549280915091037
10108,Arizona,2014,23,0.010724899857855843
10162,Arizona,2014,24,0.009503352209848659
10216,Arizona,2014,25,0.0075454441522764685
10270,Arizona,2014,26,0.0064981949458450235
10324,Arizona,2014,27,0.0064360418342679394
10378,Arizona,2014,28,0.006746237675139208
10432,Arizona,2014,29,0.00824839760428273
10486,Arizona,2014,30,0.007568086126947946
10540,Arizona,2014,31,0.00653560869339357
10594,Arizona,2014,32,0.007089571980314751
10648,Arizona,2014,33,0.0073659398939268485
10702,Arizona,2014,34,0.007491329479765322
10756,Arizona,2014,35,0.009142270159214616
10810,Arizona,2014,36,0.010007108875151743
10864,Arizona,2014,37,0.009930934862090944
10918,Arizona,2014,38,0.0112617789013968
10972,Arizona,2014,39,0.012433192686350248
11026,Arizona,2014,40,0.010293661996071781
11080,Arizona,2014,41,0.00830860534124339
11134,Arizona,2014,42,0.009697758892464636
11188,Arizona,2014,43,0.009319574330858007
11242,Arizona,2014,44,0.009390319685144862
11296,Arizona,2014,45,0.010803443805467937
11350,Arizona,2014,46,0.011259028466218927
11404,Arizona,2014,47,0.011109212100491844
11458,Arizona,2014,48,0.013478023883844469
11512,Arizona,2014,49,0.013029646676589606
11566,Arizona,2014,50,0.015532490315029774
11620,Arizona,2014,51,0.017090086983171594
11674,Arizona,2014,52,0.021356441048020362
11728,Arizona,2014,53,0.02657640717059886
11782,Arizona,2015,1,0.026577382190231428
11836,Arizona,2015,2,0.03219950315305169
11890,Arizona,2015,3,0.03872310190822233
11944,Arizona,2015,4,0.03552942150812227
11998,Arizona,2015,5,0.029808344640421553
12052,Arizona,2015,6,0.024586728754354092
12106,Arizona,2015,7,0.025726558216036498
12160,Arizona,2015,8,0.02304726422041197
12214,Arizona,2015,9,0.018419249526412308
12268,Arizona,2015,10,0.015404093690645534
12322,Arizona,2015,11,0.01658073829654915
12376,Arizona,2015,12,0.012663952962455653
12430,Arizona,2015,13,0.013654816090534443
12484,Arizona,2015,14,0.011901725750228725
12538,Arizona,2015,15,0.012534211256986024
12592,Arizona,2015,16,0.01218086143051443
12646,Arizona,2015,17,0.0148319814600163
12700,Arizona,2015,18,0.011917398436740365
12754,Arizona,2015,19,0.011131993638855413
12808,Arizona,2015,20,0.01293075992100584
12862,Arizona,2015,21,0.009345794392517462
12916,Arizona,2015,22,0.008930393957946044
12970,Arizona,2015,23,0.009165172345084098
13024,Arizona,2015,24,0.008046379129387752
13078,Arizona,2015,25,0.006117997552797723
13132,Arizona,2015,26,0.007357942249423509
13186,Arizona,2015,27,0.0062652649463702526
13240,Arizona,2015,28,0.006473329880887378
13294,Arizona,2015,29,0.005998105861303799
13348,Arizona,2015,30,0.006847167049965059
13402,Arizona,2015,31,0.006271925162109986
13456,Arizona,2015,32,0.006006502452192645
13510,Arizona,2015,33,0.00919573089383972
13564,Arizona,2015,34,0.009043743157690017
13618,Arizona,2015,35,0.008388192822250803
13672,Arizona,2015,36,0.008199753390870406
13726,Arizona,2015,37,0.009058702183950374
13780,Arizona,2015,38,0.010133309313632618
13834,Arizona,2015,39,0.007363513572390151
13888,Arizona,2015,40,0.012360939431391518
13942,Arizona,2015,41,0.014468871829904558
13996,Arizona,2015,42,0.014927060952159928
14050,Arizona,2015,43,0.018069594775911052
14104,Arizona,2015,44,0.018728281962173958
14158,Arizona,2015,45,0.018041767928484557
14212,Arizona,2015,46,0.018416069505803878
14266,Arizona,2015,47,0.018898664059944118
14320,Arizona,2015,48,0.024008483563086314
14374,Arizona,2015,49,0.023156247122722053
14428,Arizona,2015,50,0.0241173164375739
14482,Arizona,2015,51,0.03086026978873068
14536,Arizona,2015,52,0.025940763118128363
14590,Arizona,2016,1,0.02770369095757218
14644,Arizona,2016,2,0.027880582284715898
14698,Arizona,2016,3,0.0302493527728436
14752,Arizona,2016,4,0.03405857374248826
14806,Arizona,2016,5,0.03978590544155228
14860,Arizona,2016,6,0.0518343857405276
14914,Arizona,2016,7,0.05174151150052497
14968,Arizona,2016,8,0.05382126418445344
15022,Arizona,2016,9,0.05020064205455449
15076,Arizona,2016,10,0.04144317376781629
15130,Arizona,2016,11,0.03577872640054756
15184,Arizona,2016,12,0.03089994504796428
15238,Arizona,2016,13,0.028787961397945157
15292,Arizona,2016,14,0.02739787453476194
15346,Arizona,2016,15,0.028062550196046646
15400,Arizona,2016,16,0.027425064904400553
15454,Arizona,2016,17,0.022786022020094405
15508,Arizona,2016,18,0.019495239534522445
15562,Arizona,2016,19,0.018428956880304215
15616,Arizona,2016,20,0.01876162910894213
15670,Arizona,2016,21,0.013635534476462223
15724,Arizona,2016,22,0.011948390983477107
15778,Arizona,2016,23,0.01301387572179048
15832,Arizona,2016,24,0.013981953006337004
15886,Arizona,2016,25,0.008458346632615991
15940,Arizona,2016,26,0.010402874976350543
15994,Arizona,2016,27,0.009366576819400696
16048,Arizona,2016,28,0.007962300942472125
16102,Arizona,2016,29,0.008448175722050557
16156,Arizona,2016,30,0.007495759697976967
16210,Arizona,2016,31,0.007694675284699038
16264,Arizona,2016,32,0.0035189904137826
16318,Arizona,2016,33,0.004650081376421384
16372,Arizona,2016,34,0.0060166232477322805
16426,Arizona,2016,35,0.009445546424851755
16480,Arizona,2016,36,0.0052200449726909565
16534,Arizona,2016,37,0.004853732126456216
16588,Arizona,2016,38,0.0056052315494424096
16642,Arizona,2016,39,0.006864539748949487
16696,Arizona,2016,40,0.012344199424731406
16750,Arizona,2016,41,0.008722285105530088
16804,Arizona,2016,42,0.009569520629617944
16858,Arizona,2016,43,0.011723737666855591
16912,Arizona,2016,44,0.01326459105014853
16966,Arizona,2016,45,0.01032753024490565
17020,Arizona,2016,46,0.013890376718438175
