,REGION,YEAR,WEEK,ili_ratio
3,Arkansas,2010,40,0.0069605568445206475
55,Arkansas,2010,41,0.006741573033682616
107,Arkansas,2010,42,0.0051421657592100965
159,Arkansas,2010,43,0.004136504653553476
211,Arkansas,2010,44,0.010902830910461165
263,Arkansas,2010,45,0.011973575557365869
315,Arkansas,2010,46,0.015546218487362299
367,Arkansas,2010,47,0.020259938837843043
419,Arkansas,2010,48,0.013929454055237184
471,Arkansas,2010,49,0.010206448619786113
523,Arkansas,2010,50,0.021055121835767555
575,Arkansas,2010,51,0.036116322701519155
627,Arkansas,2010,52,0.025771018166346554
679,Arkansas,2011,1,0.033673751034960876
731,Arkansas,2011,2,0.048467153284530023
783,Arkansas,2011,3,0.0677669417352644
835,Arkansas,2011,4,0.07296885210177964
887,Arkansas,2011,5,0.06488382288455746
939,Arkansas,2011,6,0.08080521689798467
991,Arkansas,2011,7,0.08188536049514303
1043,Arkansas,2011,8,0.06034290803816446
1095,Arkansas,2011,9,0.06935374915543942
1147,Arkansas,2011,10,0.026101532566987305
1199,Arkansas,2011,11,0.03269133299535557
1251,Arkansas,2011,12,0.023136246786547427
1303,Arkansas,2011,13,0.01663254861817648
1355,Arkansas,2011,14,0.008509064002928194
1407,Arkansas,2011,15,0.004387568555742642
1459,Arkansas,2011,16,0.006756756756731394
1511,Arkansas,2011,17,0.0045575389289610425
1563,Arkansas,2011,18,0.006303466906770358
1615,Arkansas,2011,19,0.007117437722369271
1667,Arkansas,2011,20,0.005203816131784876
1719,Arkansas,2011,21,0.010362694300428648
1771,Arkansas,2011,22,0.00939306358374716
1823,Arkansas,2011,23,0.006866416978733668
1875,Arkansas,2011,24,0.009269988412407068
1927,Arkansas,2011,25,0.003931847968493685
1979,Arkansas,2011,26,0.004329004328941862
2031,Arkansas,2011,27,0.0026041666666327583
2083,Arkansas,2011,28,0.0026041666666327583
2135,Arkansas,2011,29,0.0
2187,Arkansas,2011,30,0.0012706480304794073
2239,Arkansas,2011,31,0.0
2291,Arkansas,2011,32,0.007530120481814305
2343,Arkansas,2011,33,0.003802281368749006
2395,Arkansas,2011,34,0.00576368876075155
2447,Arkansas,2011,35,0.006635071089984503
2499,Arkansas,2011,36,0.009142857142752652
2551,Arkansas,2011,37,0.010967098703778991
2603,Arkansas,2011,38,0.008272058823453382
2655,Arkansas,2011,39,0.004980079681225298
2707,Arkansas,2011,40,0.007533482142836123
2760,Arkansas,2011,41,0.008664058133011
2813,Arkansas,2011,42,0.013033175355419353
2866,Arkansas,2011,43,0.010006822833727527
2919,Arkansas,2011,44,0.012713630679423273
2972,Arkansas,2011,45,0.013766180398574551
3025,Arkansas,2011,46,0.013023583245313228
3078,Arkansas,2011,47,0.016068376068321136
3131,Arkansas,2011,48,0.018759018758984922
3184,Arkansas,2011,49,0.01566838556125413
3237,Arkansas,2011,50,0.014353085913441966
3290,Arkansas,2011,51,0.01942522618408881
3343,Arkansas,2011,52,0.018137104211441324
3396,Arkansas,2012,1,0.01756851721710572
3449,Arkansas,2012,2,0.01831874618355726
3502,Arkansas,2012,3,0.018423137876350193
3555,Arkansas,2012,4,0.021268925738966712
3608,Arkansas,2012,5,0.0137882269754043
3661,Arkansas,2012,6,0.024986321356875823
3714,Arkansas,2012,7,0.02218907327983929
3767,Arkansas,2012,8,0.025958702064845705
3820,Arkansas,2012,9,0.03323875151999749
3873,Arkansas,2012,10,0.04702832808730415
3926,Arkansas,2012,11,0.06044362292040584
3979,Arkansas,2012,12,0.03768763973159474
4032,Arkansas,2012,13,0.01875868457614924
4085,Arkansas,2012,14,0.014457831325269534
4138,Arkansas,2012,15,0.011043497858888791
4191,Arkansas,2012,16,0.007559958289865589
4244,Arkansas,2012,17,0.008083689966694998
4297,Arkansas,2012,18,0.007448789571674784
4350,Arkansas,2012,19,0.01149425287352751
4403,Arkansas,2012,20,0.010562180579180368
4456,Arkansas,2012,21,0.005056890012626243
4509,Arkansas,2012,22,0.005909666525935375
4562,Arkansas,2012,23,0.0007331378299066486
4615,Arkansas,2012,24,0.0
4668,Arkansas,2012,25,0.0016068559185773604
4721,Arkansas,2012,26,0.0019973368841411632
4774,Arkansas,2012,27,0.0
4827,Arkansas,2012,28,0.0
4880,Arkansas,2012,29,0.0
4933,Arkansas,2012,30,0.0021291696238315886
4986,Arkansas,2012,31,0.008064516128902185
5039,Arkansas,2012,32,0.004310344827524276
5092,Arkansas,2012,33,0.0
5145,Arkansas,2012,34,0.0
5198,Arkansas,2012,35,0.0
5251,Arkansas,2012,36,0.0
5304,Arkansas,2012,37,0.0
5357,Arkansas,2012,38,0.0
5410,Arkansas,2012,39,0.0043103448274933115
5463,Arkansas,2012,40,0.004716981132059579
5516,Arkansas,2012,41,0.005809547865607958
5569,Arkansas,2012,42,0.0064973419964432025
5622,Arkansas,2012,43,0.009460496036795038
5675,Arkansas,2012,44,0.003361779156960533
5728,Arkansas,2012,45,0.00522689474933422
5781,Arkansas,2012,46,0.005589879376270698
5834,Arkansas,2012,47,0.01093066833225818
5887,Arkansas,2012,48,0.014501273760504602
5940,Arkansas,2012,49,0.017449415258924357
5993,Arkansas,2012,50,0.028536977491904068
6046,Arkansas,2012,51,0.05522848331916112
6099,Arkansas,2012,52,0.05859204197613209
6152,Arkansas,2013,1,0.04891994917392338
6205,Arkansas,2013,2,0.057718120805258455
6258,Arkansas,2013,3,0.059036872859038816
6311,Arkansas,2013,4,0.04932735425998436
6364,Arkansas,2013,5,0.039411324519732074
6417,Arkansas,2013,6,0.02828722412176473
6470,Arkansas,2013,7,0.020821765685672344
6523,Arkansas,2013,8,0.01347305389217523
6576,Arkansas,2013,9,0.01469723691941594
6629,Arkansas,2013,10,0.017889087656449514
6682,Arkansas,2013,11,0.014113597246078783
6735,Arkansas,2013,12,0.013411078717122969
6788,Arkansas,2013,13,0.009308986752562446
6841,Arkansas,2013,14,0.0039824771007408106
6894,Arkansas,2013,15,0.005183788878392159
6947,Arkansas,2013,16,0.0027051397655423574
7000,Arkansas,2013,17,0.005331753554470783
7053,Arkansas,2013,18,0.0026595744680674234
7106,Arkansas,2013,19,0.001189060642078608
7159,Arkansas,2013,20,0.002148227712114412
7212,Arkansas,2013,21,0.0008583690987050785
7265,Arkansas,2013,22,0.0008896797152945758
7318,Arkansas,2013,23,0.0
7371,Arkansas,2013,24,0.0
7424,Arkansas,2013,25,0.00176522506618036
7477,Arkansas,2013,26,0.004993757802684223
7530,Arkansas,2013,27,0.0
7583,Arkansas,2013,28,0.0
7636,Arkansas,2013,29,0.0020366598777796672
7689,Arkansas,2013,30,0.0
7742,Arkansas,2013,31,0.0009157509157425299
7795,Arkansas,2013,32,0.0010256410256305063
7848,Arkansas,2013,33,0.0008658008657933697
7901,Arkansas,2013,34,0.0006720430107481718
7954,Arkansas,2013,35,0.0005763688760773697
8007,Arkansas,2013,36,0.001231527093588476
8060,Arkansas,2013,37,0.0022087244616112163
8113,Arkansas,2013,38,0.007151370679337596
8166,Arkansas,2013,39,0.0
8219,Arkansas,2013,40,0.016332590942795516
8273,Arkansas,2013,41,0.015835140997796454
8327,Arkansas,2013,42,0.01673251220075126
8381,Arkansas,2013,43,0.017694994179237034
8435,Arkansas,2013,44,0.023782300480165147
8489,Arkansas,2013,45,0.019660411081278684
8543,Arkansas,2013,46,0.017610343290197034
8597,Arkansas,2013,47,0.02062089281663127
8651,Arkansas,2013,48,0.029002320185502698
8705,Arkansas,2013,49,0.027973927213394964
8759,Arkansas,2013,50,0.01838610827370177
