,REGION,YEAR,WEEK,ili_ratio
4,California,2010,40,0.019541153917500605
56,California,2010,41,0.02152658910904827
108,California,2010,42,0.022417325139004268
160,California,2010,43,0.019174848127135817
212,California,2010,44,0.02523255483172838
264,California,2010,45,0.02745620946723212
316,California,2010,46,0.02819626814097355
368,California,2010,47,0.03161318300085359
420,California,2010,48,0.026063062062832782
472,California,2010,49,0.030561336488288463
524,California,2010,50,0.036597954268185864
576,California,2010,51,0.046207650273203844
628,California,2010,52,0.046894998208136536
680,California,2011,1,0.03562127697786823
732,California,2011,2,0.037932483541101576
784,California,2011,3,0.04026886462482428
836,California,2011,4,0.04605006120906258
888,California,2011,5,0.04339833561047239
940,California,2011,6,0.04887107088394686
992,California,2011,7,0.05071615394194776
1044,California,2011,8,0.05174022036959957
1096,California,2011,9,0.050008721002653675
1148,California,2011,10,0.04694466963922605
1200,California,2011,11,0.044379026882902586
1252,California,2011,12,0.032970294091452364
1304,California,2011,13,0.031999999999991174
1356,California,2011,14,0.02646832081774078
1408,California,2011,15,0.025719328719909867
1460,California,2011,16,0.022419885463621784
1512,California,2011,17,0.02344357394891949
1564,California,2011,18,0.021463243464523815
1616,California,2011,19,0.020527859237530387
1668,California,2011,20,0.021328458257153772
1720,California,2011,21,0.02106670521065944
1772,California,2011,22,0.02576496674056507
1824,California,2011,23,0.022642381300772983
1876,California,2011,24,0.01847621337821391
1928,California,2011,25,0.01732978258276667
1980,California,2011,26,0.016768352686472438
2032,California,2011,27,0.016877429513350944
2084,California,2011,28,0.016043228752140055
2136,California,2011,29,0.014543675502573144
2188,California,2011,30,0.01351411623031376
2240,California,2011,31,0.0055329239374928355
2292,California,2011,32,0.013568833080348848
2344,California,2011,33,0.011636959639413384
2396,California,2011,34,0.01348331920794611
2448,California,2011,35,0.014785686197398826
2500,California,2011,36,0.0160214946760792
2552,California,2011,37,0.017489069331660424
2604,California,2011,38,0.01759936721375614
2656,California,2011,39,0.01847449039247828
2708,California,2011,40,0.018029456576936886
2761,California,2011,41,0.020653387390557422
2814,California,2011,42,0.023829356815605454
2867,California,2011,43,0.022912833486653947
2920,California,2011,44,0.024835814046853987
2973,California,2011,45,0.02174395384956131
3026,California,2011,46,0.026273969700173146
3079,California,2011,47,0.02512159018818984
3132,California,2011,48,0.016858010029025844
3185,California,2011,49,0.02703695765331852
3238,California,2011,50,0.030213495996940457
3291,California,2011,51,0.03607806214155779
3344,California,2011,52,0.04353098096274795
3397,California,2012,1,0.03505891046429038
3450,California,2012,2,0.02942983534036943
3503,California,2012,3,0.0273705102759372
3556,California,2012,4,0.035324675324665135
3609,California,2012,5,0.038535700107741586
3662,California,2012,6,0.03297877887271678
3715,California,2012,7,0.03573425791297514
3768,California,2012,8,0.042056225938972513
3821,California,2012,9,0.03540248071651587
3874,California,2012,10,0.0269266480965556
3927,California,2012,11,0.031244693496338512
3980,California,2012,12,0.028320481344435034
4033,California,2012,13,0.0389886428525985
4086,California,2012,14,0.0299164100307869
4139,California,2012,15,0.028719251502562514
4192,California,2012,16,0.02151021510214457
4245,California,2012,17,0.021536453477524538
4298,California,2012,18,0.023610618327251035
4351,California,2012,19,0.021777820923527882
4404,California,2012,20,0.02045310466783876
4457,California,2012,21,0.022258924214548156
4510,California,2012,22,0.022143911614828257
4563,California,2012,23,0.02015327845585331
4616,California,2012,24,0.018127358307068842
4669,California,2012,25,0.020381411476163735
4722,California,2012,26,0.018749999999991447
4775,California,2012,27,0.019335699528516534
4828,California,2012,28,0.01826612336657849
4881,California,2012,29,0.016930664896131587
4934,California,2012,30,0.01684992146222245
4987,California,2012,31,0.017542159333195608
5040,California,2012,32,0.016143455546657814
5093,California,2012,33,0.010768609503290638
5146,California,2012,34,0.018836793620230607
5199,California,2012,35,0.020158967860837783
5252,California,2012,36,0.023226965523131478
5305,California,2012,37,0.022444961517801166
5358,California,2012,38,0.024395509499127662
5411,California,2012,39,0.024097270690216326
5464,California,2012,40,0.02101330842866536
5517,California,2012,41,0.022650155157906488
