,REGION,YEAR,WEEK,ili_ratio
5,Colorado,2010,40,0.0066068435065542806
57,Colorado,2010,41,0.0062862140592509635
109,Colorado,2010,42,0.008040201005020873
161,Colorado,2010,43,0.009096579686033321
213,Colorado,2010,44,0.009717047628632706
265,Colorado,2010,45,0.007190151044895929
317,Colorado,2010,46,0.006960321089261311
369,Colorado,2010,47,0.0075440067057784685
421,Colorado,2010,48,0.008497294016484499
473,Colorado,2010,49,0.008095037846925938
525,Colorado,2010,50,0.009016011192285085
577,Colorado,2010,51,0.008335027444596913
629,Colorado,2010,52,0.010600940833491949
681,Colorado,2011,1,0.009195083633671011
733,Colorado,2011,2,0.010141071338917545
785,Colorado,2011,3,0.011409785341321112
837,Colorado,2011,4,0.018881086360034004
889,Colorado,2011,5,0.025204854268216365
941,Colorado,2011,6,0.02637785800239404
993,Colorado,2011,7,0.029277464410408596
1045,Colorado,2011,8,0.028562460765837787
1097,Colorado,2011,9,0.02677843226097563
1149,Colorado,2011,10,0.021042317920953183
1201,Colorado,2011,11,0.017843146295348868
1253,Colorado,2011,12,0.01377305437734653
1305,Colorado,2011,13,0.009844134536500284
1357,Colorado,2011,14,0.008966842390496641
1409,Colorado,2011,15,0.00814395786598647
1461,Colorado,2011,16,0.007641212605499854
1513,Colorado,2011,17,0.00909698309091376
1565,Colorado,2011,18,0.00759519138875932
1617,Colorado,2011,19,0.006043427104499923
1669,Colorado,2011,20,0.006274593214928068
1721,Colorado,2011,21,0.005932203389827366
1773,Colorado,2011,22,0.0055124029065362614
1825,Colorado,2011,23,0.0043386188729898564
1877,Colorado,2011,24,0.0037232062124335284
1929,Colorado,2011,25,0.003102436823102943
1981,Colorado,2011,26,0.0025089206065998498
2033,Colorado,2011,27,0.004227771171882529
2085,Colorado,2011,28,0.003088803088801385
2137,Colorado,2011,29,0.0040630586705650016
2189,Colorado,2011,30,0.003689842391015924
2241,Colorado,2011,31,0.004796286745742756
2293,Colorado,2011,32,0.0035119865628322326
2345,Colorado,2011,33,0.003921368914237155
2397,Colorado,2011,34,0.00401420410683752
2449,Colorado,2011,35,0.006158782734703365
2501,Colorado,2011,36,0.006423982869374846
2553,Colorado,2011,37,0.006448174793495098
2605,Colorado,2011,38,0.00727571436953161
2657,Colorado,2011,39,0.007515777395291155
2709,Colorado,2011,40,0.0074434444174130655
2762,Colorado,2011,41,0.005677131350378147
2815,Colorado,2011,42,0.005724125093072541
2868,Colorado,2011,43,0.006316208285668515
2921,Colorado,2011,44,0.005814244900002098
2974,Colorado,2011,45,0.005128448644282668
3027,Colorado,2011,46,0.007038340433410336
3080,Colorado,2011,47,0.005133532970723502
3133,Colorado,2011,48,0.006817192863701195
3186,Colorado,2011,49,0.006918143715595153
3239,Colorado,2011,50,0.006956435936648598
3292,Colorado,2011,51,0.006867377211291689
3345,Colorado,2011,52,0.007396716579465153
3398,Colorado,2012,1,0.0065282204173915245
3451,Colorado,2012,2,0.007128910684281374
3504,Colorado,2012,3,0.007274380541028745
3557,Colorado,2012,4,0.010269861734757359
3610,Colorado,2012,5,0.010045274476509127
3663,Colorado,2012,6,0.0105944412429582
3716,Colorado,2012,7,0.010526315789469123
3769,Colorado,2012,8,0.013639502762425051
3822,Colorado,2012,9,0.014385773602309112
3875,Colorado,2012,10,0.013706233988038554
3928,Colorado,2012,11,0.0147806807807613
3981,Colorado,2012,12,0.011906831218489523
4034,Colorado,2012,13,0.008646063281820895
4087,Colorado,2012,14,0.009237655349740852
4140,Colorado,2012,15,0.007330138144907748
4193,Colorado,2012,16,0.005984412692519027
4246,Colorado,2012,17,0.006313490933254384
4299,Colorado,2012,18,0.0059880239520929395
4352,Colorado,2012,19,0.004860804242154042
4405,Colorado,2012,20,0.006246996636229578
4458,Colorado,2012,21,0.0037259266427931256
4511,Colorado,2012,22,0.004753914988811659
4564,Colorado,2012,23,0.004284740481057413
4617,Colorado,2012,24,0.0038249465997695965
4670,Colorado,2012,25,0.003958201393284801
4723,Colorado,2012,26,0.0031831927423188588
4776,Colorado,2012,27,0.0032904231368681577
