,REGION,YEAR,WEEK,ili_ratio
6,Connecticut,2010,40,0.0007830853563017931
58,Connecticut,2010,41,0.0023809523809460824
110,Connecticut,2010,42,0.003741581441746716
162,Connecticut,2010,43,0.003335417969557358
214,Connecticut,2010,44,0.003967425349751582
266,Connecticut,2010,45,0.003195617438933587
318,Connecticut,2010,46,0.006188466947943211
370,Connecticut,2010,47,0.0071661237784549445
422,Connecticut,2010,48,0.00442993704825267
474,Connecticut,2010,49,0.006548974943033745
526,Connecticut,2010,50,0.006594131223189601
578,Connecticut,2010,51,0.008735632183867883
630,Connecticut,2010,52,0.008535784635531611
682,Connecticut,2011,1,0.009231905465253945
734,Connecticut,2011,2,0.01046475838716385
786,Connecticut,2011,3,0.011835948252100645
838,Connecticut,2011,4,0.010716300056371359
890,Connecticut,2011,5,0.01646185949451319
942,Connecticut,2011,6,0.017637332353449133
994,Connecticut,2011,7,0.019832605531259404
1046,Connecticut,2011,8,0.019809112191572466
1098,Connecticut,2011,9,0.01342993461739984
1150,Connecticut,2011,10,0.011573350015603463
1202,Connecticut,2011,11,0.008885686839555991
1254,Connecticut,2011,12,0.0035587188612015213
1306,Connecticut,2011,13,0.006730137885740758
1358,Connecticut,2011,14,0.0034430815579869958
1410,Connecticut,2011,15,0.0024427480915955946
1462,Connecticut,2011,16,0.0023061400980043064
1514,Connecticut,2011,17,0.002308402585405567
1566,Connecticut,2011,18,0.0011929615269871967
1618,Connecticut,2011,19,0.0012842465753369681
1670,Connecticut,2011,20,0.0009402914903575916
1722,Connecticut,2011,21,0.0006265664160361744
1774,Connecticut,2011,22,0.0017467248908144392
1826,Connecticut,2011,23,0.0007092198581509985
1878,Connecticut,2011,24,0.0
1930,Connecticut,2011,25,0.0
1982,Connecticut,2011,26,0.0
2034,Connecticut,2011,27,0.0
2086,Connecticut,2011,28,0.0
2138,Connecticut,2011,29,0.0
2190,Connecticut,2011,30,0.0
2242,Connecticut,2011,31,0.0
2294,Connecticut,2011,32,0.0
2346,Connecticut,2011,33,0.001359619306584911
2398,Connecticut,2011,34,0.0005417118093145086
2450,Connecticut,2011,35,0.0
2502,Connecticut,2011,36,0.0
2554,Connecticut,2011,37,0.0004773269689726078
2606,Connecticut,2011,38,0.0
2658,Connecticut,2011,39,0.0002400960384147897
2710,Connecticut,2011,40,0.0007712082262190972
2763,Connecticut,2011,41,0.0010633772862589038
2816,Connecticut,2011,42,0.0036559139784867615
2869,Connecticut,2011,43,0.001907183725361502
2922,Connecticut,2011,44,0.0018552875695683666
2975,Connecticut,2011,45,0.0030332056194076738
3028,Connecticut,2011,46,0.001993475897060541
3081,Connecticut,2011,47,0.0
3134,Connecticut,2011,48,0.0015765765765730258
3187,Connecticut,2011,49,0.003269309358384678
3240,Connecticut,2011,50,0.0059405940593891355
3293,Connecticut,2011,51,0.003652597402582579
3346,Connecticut,2011,52,0.005885815185368536
