,REGION,YEAR,WEEK,ili_ratio
7,Delaware,2010,40,0.0010012515644530632
59,Delaware,2010,41,0.0036855036854946304
111,Delaware,2010,42,0.003370245546453129
163,Delaware,2010,43,0.004604944255926793
215,Delaware,2010,44,0.0022233201580972744
267,Delaware,2010,45,0.007946598855664505
319,Delaware,2010,46,0.003908794788260884
371,Delaware,2010,47,0.005033557046958752
423,Delaware,2010,48,0.0027000490917950416
475,Delaware,2010,49,0.003611556982329007
527,Delaware,2010,50,0.0029390154298238086
579,Delaware,2010,51,0.00504266873543428
631,Delaware,2010,52,0.005089740155357381
683,Delaware,2011,1,0.007839038411267731
735,Delaware,2011,2,0.025304136252979795
787,Delaware,2011,3,0.019862677783178365
839,Delaware,2011,4,0.019933554817228444
891,Delaware,2011,5,0.019986821875642463
943,Delaware,2011,6,0.021036974075603405
995,Delaware,2011,7,0.026928048255004465
1047,Delaware,2011,8,0.02329873125715502
1099,Delaware,2011,9,0.02146129732331454
1151,Delaware,2011,10,0.01685522973905136
1203,Delaware,2011,11,0.009477628388782284
1255,Delaware,2011,12,0.005263157894724251
1307,Delaware,2011,13,0.009685802031633155
1359,Delaware,2011,14,0.004751187796937357
1411,Delaware,2011,15,0.0011534025374822566
1463,Delaware,2011,16,0.0008201202843061233
1515,Delaware,2011,17,0.000457247370825527
1567,Delaware,2011,18,0.0008633093525155013
1619,Delaware,2011,19,0.0004559963520271045
1671,Delaware,2011,20,0.0010764262647950677
1723,Delaware,2011,21,0.0
1775,Delaware,2011,22,0.0
1827,Delaware,2011,23,0.0
1879,Delaware,2011,24,0.0
1931,Delaware,2011,25,0.0
1983,Delaware,2011,26,0.0
2035,Delaware,2011,27,0.0
2087,Delaware,2011,28,0.0
2139,Delaware,2011,29,0.0
2191,Delaware,2011,30,0.0
2243,Delaware,2011,31,0.0
2295,Delaware,2011,32,0.0
2347,Delaware,2011,33,0.0
2399,Delaware,2011,34,0.0
2451,Delaware,2011,35,0.0
2503,Delaware,2011,36,0.0
2555,Delaware,2011,37,0.0
2607,Delaware,2011,38,0.0
2659,Delaware,2011,39,0.0
2711,Delaware,2011,40,0.0016077170417954736
2764,Delaware,2011,41,0.0011305822498554818
2817,Delaware,2011,42,0.0006381620931696294
2870,Delaware,2011,43,0.0008319467554053469
2923,Delaware,2011,44,0.0022250476795860614
2976,Delaware,2011,45,0.002833663927450174
3029,Delaware,2011,46,0.0035714285714187597
3082,Delaware,2011,47,0.0009578544061272099
3135,Delaware,2011,48,0.004207995190849991
3188,Delaware,2011,49,0.006841817186626049
3241,Delaware,2011,50,0.004214963119061605
3294,Delaware,2011,51,0.0015961691939303108
3347,Delaware,2011,52,0.002386634844861615
3400,Delaware,2012,1,0.005122674575343428
3453,Delaware,2012,2,0.0031380753137993252
3506,Delaware,2012,3,0.0022414345180844014
3559,Delaware,2012,4,0.002633658151165042
3612,Delaware,2012,5,0.0040716612377739644
3665,Delaware,2012,6,0.0015970188980527096
3718,Delaware,2012,7,0.003704683778767651
3771,Delaware,2012,8,0.0010612894666992272
3824,Delaware,2012,9,0.003544842254507108
3877,Delaware,2012,10,0.0054399999999825924
3930,Delaware,2012,11,0.004686373467899472
3983,Delaware,2012,12,0.004195804195789525
4036,Delaware,2012,13,0.0014109347442631008
4089,Delaware,2012,14,0.004515599343167013
4142,Delaware,2012,15,0.005773195876264853
4195,Delaware,2012,16,0.0014958863126346453
4248,Delaware,2012,17,0.0
4301,Delaware,2012,18,0.001157854110377623
4354,Delaware,2012,19,0.0020374898125426347
4407,Delaware,2012,20,0.0009136592051123177
4460,Delaware,2012,21,0.0
4513,Delaware,2012,22,0.0018484288354556667
4566,Delaware,2012,23,0.0
4619,Delaware,2012,24,0.0
4672,Delaware,2012,25,0.0
4725,Delaware,2012,26,0.0
4778,Delaware,2012,27,0.0
4831,Delaware,2012,28,0.0
4884,Delaware,2012,29,0.0
4937,Delaware,2012,30,0.0
4990,Delaware,2012,31,0.0
5043,Delaware,2012,32,0.0
5096,Delaware,2012,33,0.0011350737797828027
5149,Delaware,2012,34,0.0028490028489216806
5202,Delaware,2012,35,0.005633802816742709
5255,Delaware,2012,36,0.0017421602787304692
5308,Delaware,2012,37,0.0
5361,Delaware,2012,38,0.0
5414,Delaware,2012,39,0.0
5467,Delaware,2012,40,0.0015948963317333497
5520,Delaware,2012,41,0.0026899798251422665
5573,Delaware,2012,42,0.002980132450321258
5626,Delaware,2012,43,0.004566210045648201
5679,Delaware,2012,44,0.002393489707982798
5732,Delaware,2012,45,0.004575163398677859
5785,Delaware,2012,46,0.004859086491723813
5838,Delaware,2012,47,0.009055236945339405
5891,Delaware,2012,48,0.008372579801129324
5944,Delaware,2012,49,0.0145420792078758
5997,Delaware,2012,50,0.02054584483281035
6050,Delaware,2012,51,0.02386363636356857
6103,Delaware,2012,52,0.042105263157736446
6156,Delaware,2013,1,0.0516277540281104
6209,Delaware,2013,2,0.0511517615174419
6262,Delaware,2013,3,0.05499814195445932
6315,Delaware,2013,4,0.050470487596020235
6368,Delaware,2013,5,0.03087885985735994
6421,Delaware,2013,6,0.020108522183146797
6474,Delaware,2013,7,0.016374269005784117
6527,Delaware,2013,8,0.01675552170595295
6580,Delaware,2013,9,0.011164274322124544
6633,Delaware,2013,10,0.011210762331796673
6686,Delaware,2013,11,0.009674922600581753
6739,Delaware,2013,12,0.008583690987090973
6792,Delaware,2013,13,0.008060453400463172
6845,Delaware,2013,14,0.005527406724986056
6898,Delaware,2013,15,0.0024307243558462288
6951,Delaware,2013,16,0.003639672429464788
7004,Delaware,2013,17,0.000434027777775894
7057,Delaware,2013,18,0.0
7110,Delaware,2013,19,0.0
7163,Delaware,2013,20,0.0
7216,Delaware,2013,21,0.0
7269,Delaware,2013,22,0.0
7322,Delaware,2013,23,0.0
7375,Delaware,2013,24,0.0
7428,Delaware,2013,25,0.0
7481,Delaware,2013,26,0.0
7534,Delaware,2013,27,0.0
7587,Delaware,2013,28,0.0
7640,Delaware,2013,29,0.0
7693,Delaware,2013,30,0.0
7746,Delaware,2013,31,0.0
