,REGION,YEAR,WEEK,ili_ratio
8,District of Columbia,2010,40,0.028087726048372116
60,District of Columbia,2010,41,0.0289079229121024
112,District of Columbia,2010,42,0.024104234527608782
164,District of Columbia,2010,43,0.031163221227919893
216,District of Columbia,2010,44,0.02991183879083781
268,District of Columbia,2010,45,0.02329507089796322
320,District of Columbia,2010,46,0.01584399756241364
372,District of Columbia,2010,47,0.03335186214545108
424,District of Columbia,2010,48,0.04158964879839313
476,District of Columbia,2010,49,0.03260515161384869
528,District of Columbia,2010,50,0.04331254331239324
580,District of Columbia,2010,51,0.057682223387217194
632,District of Columbia,2010,52,0.06847457627072222
684,District of Columbia,2011,1,0.04758735440915945
736,District of Columbia,2011,2,0.048618048617886725
788,District of Columbia,2011,3,0.038946587536947526
840,District of Columbia,2011,4,0.03924472417608573
892,District of Columbia,2011,5,0.03357617991753698
944,District of Columbia,2011,6,0.03478260869554015
996,District of Columbia,2011,7,0.027956989247211624
1048,District of Columbia,2011,8,0.0164396430248171
1100,District of Columbia,2011,9,0.02029520295195463
1152,District of Columbia,2011,10,0.023093841642144085
1204,District of Columbia,2011,11,0.029916625796812573
1256,District of Columbia,2011,12,0.02892994074580366
1308,District of Columbia,2011,13,0.023725212464505225
1360,District of Columbia,2011,14,0.001951854261535772
1412,District of Columbia,2011,15,0.0006830601092849518
1464,District of Columbia,2011,16,0.000754147812965655
1516,District of Columbia,2011,17,0.0
1568,District of Columbia,2011,18,0.0
1620,District of Columbia,2011,19,0.0
1672,District of Columbia,2011,20,0.021321961620355427
1724,District of Columbia,2011,21,0.020845070422417775
1776,District of Columbia,2011,22,0.023767082590470785
1828,District of Columbia,2011,23,0.02396736358988288
1880,District of Columbia,2011,24,0.027230590961603532
1932,District of Columbia,2011,25,0.019452887537875666
1984,District of Columbia,2011,26,0.024041585444938004
2036,District of Columbia,2011,27,0.018218623481658446
2088,District of Columbia,2011,28,0.03409090909063238
2140,District of Columbia,2011,29,0.019766852508769556
2192,District of Columbia,2011,30,0.02011494252862003
2244,District of Columbia,2011,31,0.01980676328492847
2296,District of Columbia,2011,32,0.01972242512768647
2348,District of Columbia,2011,33,0.023939808481368403
2400,District of Columbia,2011,34,0.029992684710826684
2452,District of Columbia,2011,35,0.024193548386919405
