,REGION,YEAR,WEEK,ili_ratio
10,Georgia,2010,40,0.016049015230437058
62,Georgia,2010,41,0.017130725493541294
114,Georgia,2010,42,0.020124860420256796
166,Georgia,2010,43,0.02387469174276473
218,Georgia,2010,44,0.02656141523745171
270,Georgia,2010,45,0.034130530864795436
322,Georgia,2010,46,0.045551768715467025
374,Georgia,2010,47,0.054632045137397736
426,Georgia,2010,48,0.03481783520439663
478,Georgia,2010,49,0.04489621912551094
530,Georgia,2010,50,0.06304013424694084
582,Georgia,2010,51,0.07278841935953421
634,Georgia,2010,52,0.060682680151688866
686,Georgia,2011,1,0.04822143236963751
738,Georgia,2011,2,0.04111478027359977
790,Georgia,2011,3,0.03520761009210967
842,Georgia,2011,4,0.0436670687575275
894,Georgia,2011,5,0.047955088013838784
946,Georgia,2011,6,0.04871945458722552
998,Georgia,2011,7,0.047121359971227184
1050,Georgia,2011,8,0.04056527043512593
1102,Georgia,2011,9,0.028214516476408515
1154,Georgia,2011,10,0.023684524519739986
1206,Georgia,2011,11,0.021587142419425203
1258,Georgia,2011,12,0.017658461456751998
1310,Georgia,2011,13,0.016404551486569614
1362,Georgia,2011,14,0.015294183195895004
1414,Georgia,2011,15,0.013309549945111606
1466,Georgia,2011,16,0.0132493307735951
1518,Georgia,2011,17,0.013587666579562296
1570,Georgia,2011,18,0.01309992363272834
1622,Georgia,2011,19,0.014542853737032263
1674,Georgia,2011,20,0.015780170335845802
1726,Georgia,2011,21,0.012406865353907528
1778,Georgia,2011,22,0.013207848141645172
1830,Georgia,2011,23,0.009657481328866322
1882,Georgia,2011,24,0.00817922018197675
1934,Georgia,2011,25,0.006678525731046819
1986,Georgia,2011,26,0.006072215997395426
2038,Georgia,2011,27,0.007440426316316171
2090,Georgia,2011,28,0.005986366310250879
2142,Georgia,2011,29,0.005131280821003221
2194,Georgia,2011,30,0.006293025519780859
2246,Georgia,2011,31,0.006902950454627239
2298,Georgia,2011,32,0.008076678172858313
2350,Georgia,2011,33,0.009114541544976054
2402,Georgia,2011,34,0.011930649426972693
2454,Georgia,2011,35,0.011908041754672328
2506,Georgia,2011,36,0.014935109524131383
2558,Georgia,2011,37,0.013951959847032161
2610,Georgia,2011,38,0.013015371354686679
2662,Georgia,2011,39,0.016361047339508775
2714,Georgia,2011,40,0.014885014550226654
2767,Georgia,2011,41,0.014774289036892175
2820,Georgia,2011,42,0.013028878441903822
2873,Georgia,2011,43,0.013850316883851794
2926,Georgia,2011,44,0.016288392050582575
2979,Georgia,2011,45,0.017363433667776654
3032,Georgia,2011,46,0.015335687141197388
3085,Georgia,2011,47,0.021233605104565317
3138,Georgia,2011,48,0.015673981191217847
3191,Georgia,2011,49,0.018229274557725387
3244,Georgia,2011,50,0.023395523966652537
3297,Georgia,2011,51,0.035663534265397354
3350,Georgia,2011,52,0.03575184016822605
3403,Georgia,2012,1,0.024465691788516604
3456,Georgia,2012,2,0.01681905752117158
3509,Georgia,2012,3,0.019247431612817414
3562,Georgia,2012,4,0.01868397310904261
3615,Georgia,2012,5,0.02107458427089044
3668,Georgia,2012,6,0.020097712636014852
3721,Georgia,2012,7,0.02062832771164368
3774,Georgia,2012,8,0.011764340700269504
3827,Georgia,2012,9,0.020130352281159385
3880,Georgia,2012,10,0.01924512650352019
3933,Georgia,2012,11,0.02264539372104307
3986,Georgia,2012,12,0.01920178621266559
4039,Georgia,2012,13,0.01807228915662142
4092,Georgia,2012,14,0.016249259270805522
4145,Georgia,2012,15,0.014451134784618049
4198,Georgia,2012,16,0.013766730401525588
4251,Georgia,2012,17,0.010140222884103564
4304,Georgia,2012,18,0.006503883747721224
4357,Georgia,2012,19,0.006853785900780804
4410,Georgia,2012,20,0.008274984086565773
4463,Georgia,2012,21,0.015660985720860807
4516,Georgia,2012,22,0.01612903225805927
4569,Georgia,2012,23,0.012303416485896047
4622,Georgia,2012,24,0.011657289174889101
4675,Georgia,2012,25,0.008795282224091391
4728,Georgia,2012,26,0.008306065945126638
4781,Georgia,2012,27,0.00981228668941599
4834,Georgia,2012,28,0.00820067534973164
4887,Georgia,2012,29,0.008426966292131632
4940,Georgia,2012,30,0.008518013201073595
4993,Georgia,2012,31,0.007777489722599986
5046,Georgia,2012,32,0.010099194939616842
5099,Georgia,2012,33,0.011093817266612216
5152,Georgia,2012,34,0.014052953156818723
5205,Georgia,2012,35,0.013046766670864412
5258,Georgia,2012,36,0.007874880961098866
5311,Georgia,2012,37,0.008377196233965314
5364,Georgia,2012,38,0.007752792475011848
5417,Georgia,2012,39,0.008441296289496664
5470,Georgia,2012,40,0.009513395297973569
5523,Georgia,2012,41,0.011684370257962182
