,REGION,YEAR,WEEK,ili_ratio
11,Hawaii,2010,40,0.010293360782242444
63,Hawaii,2010,41,0.017524644030572155
115,Hawaii,2010,42,0.0075512405609085695
167,Hawaii,2010,43,0.015743440233144355
219,Hawaii,2010,44,0.017739816031420896
271,Hawaii,2010,45,0.011742892459754371
323,Hawaii,2010,46,0.013120365088345007
375,Hawaii,2010,47,0.01574222112899306
427,Hawaii,2010,48,0.019630484988339317
479,Hawaii,2010,49,0.02422145328705755
531,Hawaii,2010,50,0.025122549019453908
583,Hawaii,2010,51,0.022170361726695793
635,Hawaii,2010,52,0.03343782654092541
687,Hawaii,2011,1,0.024427480915906224
739,Hawaii,2011,2,0.020187099950663777
791,Hawaii,2011,3,0.03216704288920899
843,Hawaii,2011,4,0.039488966318005296
895,Hawaii,2011,5,0.03738872403538642
947,Hawaii,2011,6,0.047175305765595955
999,Hawaii,2011,7,0.05722713864273023
1051,Hawaii,2011,8,0.055485498108099086
1103,Hawaii,2011,9,0.052543320290371474
1155,Hawaii,2011,10,0.05173876166198695
1207,Hawaii,2011,11,0.04236796285523873
1259,Hawaii,2011,12,0.01973684210510085
1311,Hawaii,2011,13,0.027595269382210283
1363,Hawaii,2011,14,0.02799479166648441
1415,Hawaii,2011,15,0.018505338078160107
1467,Hawaii,2011,16,0.025544703230461725
1519,Hawaii,2011,17,0.017713365539309876
1571,Hawaii,2011,18,0.006037735849011037
1623,Hawaii,2011,19,0.014117647058712804
1675,Hawaii,2011,20,0.014074074073969822
1727,Hawaii,2011,21,0.0186625194399793
1779,Hawaii,2011,22,0.011375387797193636
1831,Hawaii,2011,23,0.012333965844285259
1883,Hawaii,2011,24,0.007565337001323485
1935,Hawaii,2011,25,0.011612021857844181
1987,Hawaii,2011,26,0.0157618213658865
2039,Hawaii,2011,27,0.023509655751271962
2091,Hawaii,2011,28,0.016320474777327
2143,Hawaii,2011,29,0.01127554615918763
2195,Hawaii,2011,30,0.015197568388942269
2247,Hawaii,2011,31,0.0014306151645105108
2299,Hawaii,2011,32,0.004689331770195256
2351,Hawaii,2011,33,0.007368421052554017
2403,Hawaii,2011,34,0.00970319634697658
2455,Hawaii,2011,35,0.00643316654748797
2507,Hawaii,2011,36,0.008875739644904766
2559,Hawaii,2011,37,0.01285520974280883
2611,Hawaii,2011,38,0.008152173912988097
2663,Hawaii,2011,39,0.009149623250758077
2715,Hawaii,2011,40,0.007266246229772918
2768,Hawaii,2011,41,0.0046682826106451795
2821,Hawaii,2011,42,0.00737278651832837
2874,Hawaii,2011,43,0.008304544246606229
2927,Hawaii,2011,44,0.010083569307265637
2980,Hawaii,2011,45,0.009558640179528252
3033,Hawaii,2011,46,0.009101014311512366
3086,Hawaii,2011,47,0.009572500815827724
3139,Hawaii,2011,48,0.009312669400229819
3192,Hawaii,2011,49,0.00889586603871653
3245,Hawaii,2011,50,0.009468262384480026
3298,Hawaii,2011,51,0.008542538354246388
3351,Hawaii,2011,52,0.010875475802054512
3404,Hawaii,2012,1,0.011479820627792394
3457,Hawaii,2012,2,0.008937508937502546
3510,Hawaii,2012,3,0.012756421306660267
3563,Hawaii,2012,4,0.010189640532118462
3616,Hawaii,2012,5,0.011046468812128252
3669,Hawaii,2012,6,0.009266575677028039
3722,Hawaii,2012,7,0.010915792458172018
3775,Hawaii,2012,8,0.010642103380423321
3828,Hawaii,2012,9,0.012074015860532918
3881,Hawaii,2012,10,0.012721321231950066
3934,Hawaii,2012,11,0.01579378678386665
3987,Hawaii,2012,12,0.023052464228918157
4040,Hawaii,2012,13,0.028952843273206522
4093,Hawaii,2012,14,0.027581065970907506
4146,Hawaii,2012,15,0.028860759493524756
4199,Hawaii,2012,16,0.02906071613892548
4252,Hawaii,2012,17,0.025052342791116126
4305,Hawaii,2012,18,0.025481395685517966
4358,Hawaii,2012,19,0.027379980707852355
4411,Hawaii,2012,20,0.02670554830786071
4464,Hawaii,2012,21,0.027053802773946763
4517,Hawaii,2012,22,0.0281912914030255
4570,Hawaii,2012,23,0.018750486267782814
4623,Hawaii,2012,24,0.017099547093061187
4676,Hawaii,2012,25,0.013932242101245577
4729,Hawaii,2012,26,0.012138684470061346
4782,Hawaii,2012,27,0.014595699133974314
4835,Hawaii,2012,28,0.00936372707037427
4888,Hawaii,2012,29,0.012304165074503397
4941,Hawaii,2012,30,0.015885623510710177
4994,Hawaii,2012,31,0.017628205128191674
5047,Hawaii,2012,32,0.018096611391479382
5100,Hawaii,2012,33,0.017488076311591088
5153,Hawaii,2012,34,0.017048003589040638
5206,Hawaii,2012,35,0.015378927911264044
5259,Hawaii,2012,36,0.015300755474786935
5312,Hawaii,2012,37,0.0123418934457552
5365,Hawaii,2012,38,0.012698648447933537
5418,Hawaii,2012,39,0.013498055364894762
5471,Hawaii,2012,40,0.01403141361255565
5524,Hawaii,2012,41,0.014461255537896463
5577,Hawaii,2012,42,0.012486920125558083
5630,Hawaii,2012,43,0.014032600992194165
5683,Hawaii,2012,44,0.012582340315289332
5736,Hawaii,2012,45,0.01389396709322567
5789,Hawaii,2012,46,0.01481229250020021
5842,Hawaii,2012,47,0.019612163948854545
5895,Hawaii,2012,48,0.013734277866117004
5948,Hawaii,2012,49,0.01599710459644155
6001,Hawaii,2012,50,0.018698635301199803
6054,Hawaii,2012,51,0.01872024529975089
6107,Hawaii,2012,52,0.016383850204778953
6160,Hawaii,2013,1,0.025294418842780036
6213,Hawaii,2013,2,0.028331017446326746
6266,Hawaii,2013,3,0.033517350157706675
6319,Hawaii,2013,4,0.04844930098019568
6372,Hawaii,2013,5,0.0377211053491243
6425,Hawaii,2013,6,0.04027885360154703
6478,Hawaii,2013,7,0.032023289664978
6531,Hawaii,2013,8,0.03146258503374607
6584,Hawaii,2013,9,0.04051012753157907
6637,Hawaii,2013,10,0.04511834319493256
6690,Hawaii,2013,11,0.03085026335567457
6743,Hawaii,2013,12,0.03179650238448493
6796,Hawaii,2013,13,0.024553571428297394
6849,Hawaii,2013,14,0.01956947162407466
6902,Hawaii,2013,15,0.03455882352915766
6955,Hawaii,2013,16,0.024509803921368385
7008,Hawaii,2013,17,0.03505843071757047
7061,Hawaii,2013,18,0.028659953524177693
7114,Hawaii,2013,19,0.03938356164349843
