,REGION,YEAR,WEEK,ili_ratio
12,Idaho,2010,40,0.0041493775933519345
64,Idaho,2010,41,0.01457975986274747
116,Idaho,2010,42,0.014081408140783099
168,Idaho,2010,43,0.01280070624583359
220,Idaho,2010,44,0.018272425249131495
272,Idaho,2010,45,0.014943359845709946
324,Idaho,2010,46,0.019588247051729787
376,Idaho,2010,47,0.030688158710382246
428,Idaho,2010,48,0.0180142438206577
480,Idaho,2010,49,0.017226712037394242
532,Idaho,2010,50,0.013650151668317366
584,Idaho,2010,51,0.03205531112497783
636,Idaho,2010,52,0.025981524249347628
688,Idaho,2011,1,0.02039064176857611
740,Idaho,2011,2,0.022562291544001252
792,Idaho,2011,3,0.03580901856756011
844,Idaho,2011,4,0.034288019362577075
896,Idaho,2011,5,0.039424403705816236
948,Idaho,2011,6,0.045602605863099346
1000,Idaho,2011,7,0.060103833865694685
1052,Idaho,2011,8,0.06260907504349343
1104,Idaho,2011,9,0.05598455598444791
1156,Idaho,2011,10,0.06487307441947304
1208,Idaho,2011,11,0.04387489139868837
1260,Idaho,2011,12,0.0438770451164009
1312,Idaho,2011,13,0.028349082823712204
1364,Idaho,2011,14,0.028609625668372704
1416,Idaho,2011,15,0.02933918288996617
1468,Idaho,2011,16,0.014864470999665216
1520,Idaho,2011,17,0.018604651162739797
1572,Idaho,2011,18,0.015851325498726834
1624,Idaho,2011,19,0.01451378809865163
1676,Idaho,2011,20,0.018346034434043618
1728,Idaho,2011,21,0.015542430836134467
1780,Idaho,2011,22,0.023529411764621998
1832,Idaho,2011,23,0.01706036745401227
1884,Idaho,2011,24,0.014910199932175839
1936,Idaho,2011,25,0.01604464597134271
1988,Idaho,2011,26,0.012570548999454667
2040,Idaho,2011,27,0.00899593731860419
2092,Idaho,2011,28,0.006451612903206887
2144,Idaho,2011,29,0.00925658085042159
2196,Idaho,2011,30,0.006574621959215731
2248,Idaho,2011,31,0.003873659117986074
2300,Idaho,2011,32,0.006976038823151422
2352,Idaho,2011,33,0.0071964017990788715
2404,Idaho,2011,34,0.0041891083183596975
2456,Idaho,2011,35,0.012342292923718206
2508,Idaho,2011,36,0.012916791829339391
2560,Idaho,2011,37,0.006578947368404406
2612,Idaho,2011,38,0.008576789064570956
2664,Idaho,2011,39,0.008418837148096768
2716,Idaho,2011,40,0.009140767824473385
2769,Idaho,2011,41,0.012588512981870999
2822,Idaho,2011,42,0.011892450878976493
2875,Idaho,2011,43,0.015260115606901133
2928,Idaho,2011,44,0.018785495849675
2981,Idaho,2011,45,0.015387858347353735
3034,Idaho,2011,46,0.020267531414632615
3087,Idaho,2011,47,0.014476918874584877
3140,Idaho,2011,48,0.021075268817158977
3193,Idaho,2011,49,0.01628010704724291
3246,Idaho,2011,50,0.02114164904857613
3299,Idaho,2011,51,0.016614150673111963
3352,Idaho,2011,52,0.027811366384438298
3405,Idaho,2012,1,0.016240745163562834
3458,Idaho,2012,2,0.015285996055189138
3511,Idaho,2012,3,0.017586580086532504
3564,Idaho,2012,4,0.02009456264770663
3617,Idaho,2012,5,0.023866348448630392
3670,Idaho,2012,6,0.019749518304384032
3723,Idaho,2012,7,0.03413607668918837
3776,Idaho,2012,8,0.023209549071566735
3829,Idaho,2012,9,0.02820186598806573
3882,Idaho,2012,10,0.023728813559271762
3935,Idaho,2012,11,0.033511205976449285
3988,Idaho,2012,12,0.03555253623180355
4041,Idaho,2012,13,0.02814401622710917
4094,Idaho,2012,14,0.031754294638126616
4147,Idaho,2012,15,0.02394859813077118
4200,Idaho,2012,16,0.02783535682550241
