,REGION,YEAR,WEEK,ili_ratio
13,Illinois,2010,40,0.012820512820509567
65,Illinois,2010,41,0.014508874594957076
117,Illinois,2010,42,0.01566071689119798
169,Illinois,2010,43,0.014576168082165936
221,Illinois,2010,44,0.014893008626027049
273,Illinois,2010,45,0.015539218026443993
325,Illinois,2010,46,0.016324212190058203
377,Illinois,2010,47,0.018166949004025306
429,Illinois,2010,48,0.01621315750626969
481,Illinois,2010,49,0.018528831063631214
533,Illinois,2010,50,0.02050969910286064
585,Illinois,2010,51,0.03090330448230841
637,Illinois,2010,52,0.035515557574371026
689,Illinois,2011,1,0.029907114422774855
741,Illinois,2011,2,0.032835667744078596
793,Illinois,2011,3,0.04034624057414826
845,Illinois,2011,4,0.04718792216717295
897,Illinois,2011,5,0.04968296010914475
949,Illinois,2011,6,0.0423328401660759
1001,Illinois,2011,7,0.040436218202101935
1053,Illinois,2011,8,0.038592173270972537
1105,Illinois,2011,9,0.036952960449324376
1157,Illinois,2011,10,0.03190152036241268
1209,Illinois,2011,11,0.033730002364243644
1261,Illinois,2011,12,0.026360265368406438
1313,Illinois,2011,13,0.0255181347150193
1365,Illinois,2011,14,0.02153176631328049
1417,Illinois,2011,15,0.015706272310041892
1469,Illinois,2011,16,0.01721911321566476
1521,Illinois,2011,17,0.015249470907136159
1573,Illinois,2011,18,0.013480426645649544
1625,Illinois,2011,19,0.0159068274869935
1677,Illinois,2011,20,0.011969465648851306
1729,Illinois,2011,21,0.012384605382911069
1781,Illinois,2011,22,0.016838532828606957
1833,Illinois,2011,23,0.012613018436882586
1885,Illinois,2011,24,0.011072344061516992
1937,Illinois,2011,25,0.010648629899406643
1989,Illinois,2011,26,0.01247859870933344
2041,Illinois,2011,27,0.01521596858638121
2093,Illinois,2011,28,0.008228232278947789
2145,Illinois,2011,29,0.011402702610704448
2197,Illinois,2011,30,0.011824885404898748
2249,Illinois,2011,31,0.013911458126901862
2301,Illinois,2011,32,0.010115884499644626
2353,Illinois,2011,33,0.011491396981175387
2405,Illinois,2011,34,0.012163070716945125
2457,Illinois,2011,35,0.013125038065651648
2509,Illinois,2011,36,0.014125807977293355
2561,Illinois,2011,37,0.013362147683687417
2613,Illinois,2011,38,0.019304192685095697
2665,Illinois,2011,39,0.015365685303557707
2717,Illinois,2011,40,0.018399684339497353
2770,Illinois,2011,41,0.016444711389098348
2823,Illinois,2011,42,0.01653526062198499
2876,Illinois,2011,43,0.01693836803650593
2929,Illinois,2011,44,0.017087969811964348
2982,Illinois,2011,45,0.016464740602667984
3035,Illinois,2011,46,0.01768478331281603
3088,Illinois,2011,47,0.020339247214063348
3141,Illinois,2011,48,0.017141461465013847
3194,Illinois,2011,49,0.016262829826119825
3247,Illinois,2011,50,0.020991380482360992
3300,Illinois,2011,51,0.021425838540996958
3353,Illinois,2011,52,0.02688455455982423
3406,Illinois,2012,1,0.022021624838800213
3459,Illinois,2012,2,0.018666366805348326
3512,Illinois,2012,3,0.020819825660970435
3565,Illinois,2012,4,0.020625734302245197
3618,Illinois,2012,5,0.024577041235769856
3671,Illinois,2012,6,0.024043370447798893
3724,Illinois,2012,7,0.02926567035801973
3777,Illinois,2012,8,0.03368525810219513
3830,Illinois,2012,9,0.03380031613363493
3883,Illinois,2012,10,0.03949129852743458
3936,Illinois,2012,11,0.046687526731637514
3989,Illinois,2012,12,0.03379123850729394
4042,Illinois,2012,13,0.024438393464936595
4095,Illinois,2012,14,0.023224232380420932
4148,Illinois,2012,15,0.022553041847374857
4201,Illinois,2012,16,0.019841817262146542
4254,Illinois,2012,17,0.01933714391075428
4307,Illinois,2012,18,0.017957324382637748
