,REGION,YEAR,WEEK,ili_ratio
14,Indiana,2010,40,0.00518962075847889
66,Indiana,2010,41,0.006531373921151907
118,Indiana,2010,42,0.005843456866057324
170,Indiana,2010,43,0.005810841807473193
222,Indiana,2010,44,0.008422544080597904
274,Indiana,2010,45,0.007520545821051697
326,Indiana,2010,46,0.008208366219409464
378,Indiana,2010,47,0.007950530035326909
430,Indiana,2010,48,0.008871886700302074
482,Indiana,2010,49,0.009499575911781594
534,Indiana,2010,50,0.009641873278227428
586,Indiana,2010,51,0.013629548861914094
638,Indiana,2010,52,0.017327048031574307
690,Indiana,2011,1,0.017518248175164213
742,Indiana,2011,2,0.024037558685423437
794,Indiana,2011,3,0.043882292204402096
846,Indiana,2011,4,0.06904470300055951
898,Indiana,2011,5,0.06771601901945588
950,Indiana,2011,6,0.06072106261855151
1002,Indiana,2011,7,0.05975221238933823
1054,Indiana,2011,8,0.05023452867298363
1106,Indiana,2011,9,0.038081699835374766
1158,Indiana,2011,10,0.02727490230478724
1210,Indiana,2011,11,0.020500741516164614
1262,Indiana,2011,12,0.01665131982810263
1314,Indiana,2011,13,0.009844473858363794
1366,Indiana,2011,14,0.009223342815266595
1418,Indiana,2011,15,0.005811469105199717
1470,Indiana,2011,16,0.00474655203295294
1522,Indiana,2011,17,0.005131184044917096
1574,Indiana,2011,18,0.0044397258951795774
1626,Indiana,2011,19,0.006830284788137496
1678,Indiana,2011,20,0.005200774068692306
1730,Indiana,2011,21,0.004584752423363133
1782,Indiana,2011,22,0.007218045112771101
1834,Indiana,2011,23,0.004329608938541439
1886,Indiana,2011,24,0.004416310908281442
1938,Indiana,2011,25,0.0031097290093245822
1990,Indiana,2011,26,0.005174428309121726
2042,Indiana,2011,27,0.004471195184859035
2094,Indiana,2011,28,0.0023565056387773835
2146,Indiana,2011,29,0.00298039215685807
2198,Indiana,2011,30,0.002809865750854184
2250,Indiana,2011,31,0.0021237864077637684
2302,Indiana,2011,32,0.0019286403085793497
2354,Indiana,2011,33,0.0024021478027378804
2406,Indiana,2011,34,0.003376341492821203
2458,Indiana,2011,35,0.0032739177882826795
2510,Indiana,2011,36,0.0046498905908032686
2562,Indiana,2011,37,0.0038274182324242313
2614,Indiana,2011,38,0.00654159466797514
2666,Indiana,2011,39,0.008503589177240747
2718,Indiana,2011,40,0.00835990692061677
2771,Indiana,2011,41,0.011312023309614094
2824,Indiana,2011,42,0.012131392310552321
2877,Indiana,2011,43,0.010616284300485274
2930,Indiana,2011,44,0.013410818059889662
2983,Indiana,2011,45,0.011278847822304981
3036,Indiana,2011,46,0.01025503834491684
3089,Indiana,2011,47,0.01103431550865644
3142,Indiana,2011,48,0.011244377811083915
3195,Indiana,2011,49,0.011136085002031941
3248,Indiana,2011,50,0.010366344605464607
3301,Indiana,2011,51,0.01127581401240178
3354,Indiana,2011,52,0.014925373134307921
3407,Indiana,2012,1,0.010686490881623083
3460,Indiana,2012,2,0.011159069375712012
3513,Indiana,2012,3,0.009722222222211835
3566,Indiana,2012,4,0.012928939438113221
3619,Indiana,2012,5,0.013835431186919966
3672,Indiana,2012,6,0.012902559867864467
3725,Indiana,2012,7,0.01110438118311013
3778,Indiana,2012,8,0.01875768757685654
3831,Indiana,2012,9,0.01769106348562708
3884,Indiana,2012,10,0.020076979090793635
3937,Indiana,2012,11,0.024425607851857652
3990,Indiana,2012,12,0.020089518059727186
4043,Indiana,2012,13,0.01611204717774209
4096,Indiana,2012,14,0.017346572556505145
4149,Indiana,2012,15,0.010398423817852016
4202,Indiana,2012,16,0.009158615136866789
4255,Indiana,2012,17,0.007138221933801494
4308,Indiana,2012,18,0.0078026680090513435
4361,Indiana,2012,19,0.0073529411764609335
4414,Indiana,2012,20,0.005273952534419464
4467,Indiana,2012,21,0.005025125628132558
4520,Indiana,2012,22,0.00839679750047179
4573,Indiana,2012,23,0.0031598513011093683
4626,Indiana,2012,24,0.002917046490423123
4679,Indiana,2012,25,0.003677146534282631
4732,Indiana,2012,26,0.005717665615130683
4785,Indiana,2012,27,0.004847309743080836
4838,Indiana,2012,28,0.0043095371931716146
4891,Indiana,2012,29,0.0034595425715866625
4944,Indiana,2012,30,0.004690600757703968
4997,Indiana,2012,31,0.006724473544493498
5050,Indiana,2012,32,0.0037102473498167666
5103,Indiana,2012,33,0.004270696452029779
5156,Indiana,2012,34,0.00581648974842836
5209,Indiana,2012,35,0.006394217403382827
5262,Indiana,2012,36,0.00786275911364137
5315,Indiana,2012,37,0.0066967160334749564
5368,Indiana,2012,38,0.008503617210295083
5421,Indiana,2012,39,0.005713543695616526
5474,Indiana,2012,40,0.007049448304038568
5527,Indiana,2012,41,0.006465318186010469
5580,Indiana,2012,42,0.00715717148582197
5633,Indiana,2012,43,0.0050613928203158106
5686,Indiana,2012,44,0.006507995537368438
5739,Indiana,2012,45,0.010050251256271504
5792,Indiana,2012,46,0.007369339668372569
5845,Indiana,2012,47,0.010236113006673623
5898,Indiana,2012,48,0.014792319749201808
5951,Indiana,2012,49,0.024150795209086834
6004,Indiana,2012,50,0.04450923226429105
6057,Indiana,2012,51,0.05222565006605087
6110,Indiana,2012,52,0.07175149482270417
6163,Indiana,2013,1,0.04396019649824416
6216,Indiana,2013,2,0.041140350877156895
6269,Indiana,2013,3,0.048247167138767484
6322,Indiana,2013,4,0.031910728269350125
6375,Indiana,2013,5,0.03500931098693202
6428,Indiana,2013,6,0.03142026879764673
6481,Indiana,2013,7,0.02635805384976253
6534,Indiana,2013,8,0.027456232660453977
6587,Indiana,2013,9,0.025944781672189204
6640,Indiana,2013,10,0.025532791104678744
6693,Indiana,2013,11,0.023993892463710333
6746,Indiana,2013,12,0.019317957815868994
6799,Indiana,2013,13,0.01529657752832035
6852,Indiana,2013,14,0.012236798588896222
6905,Indiana,2013,15,0.010504656703475735
6958,Indiana,2013,16,0.00828227819377322
7011,Indiana,2013,17,0.006089238845137963
7064,Indiana,2013,18,0.0034021586109767685
7117,Indiana,2013,19,0.004332651341913187
7170,Indiana,2013,20,0.0038265306122400172
7223,Indiana,2013,21,0.004082965866398689
7276,Indiana,2013,22,0.003686635944693665
7329,Indiana,2013,23,0.0038684719535715343
7382,Indiana,2013,24,0.0049164208456147175
7435,Indiana,2013,25,0.0022835789910685416
7488,Indiana,2013,26,0.0032245062474743564
7541,Indiana,2013,27,0.004538939321537174
7594,Indiana,2013,28,0.0029901751388231737
7647,Indiana,2013,29,0.00295624753645456
7700,Indiana,2013,30,0.0018993352326649585
7753,Indiana,2013,31,0.002450980392152242
7806,Indiana,2013,32,0.0018201674554025843
7859,Indiana,2013,33,0.004180602006681972
7912,Indiana,2013,34,0.0027397260273930905
7965,Indiana,2013,35,0.003499222395018793
8018,Indiana,2013,36,0.005384006334116573
8071,Indiana,2013,37,0.0037716872014033546
8124,Indiana,2013,38,0.005761424643176953
8177,Indiana,2013,39,0.0065439050372750815
8230,Indiana,2013,40,0.00918554807102553
8284,Indiana,2013,41,0.00899060073558542
8338,Indiana,2013,42,0.009840871021765242
8392,Indiana,2013,43,0.011102645041894956
8446,Indiana,2013,44,0.01018076044046314
8500,Indiana,2013,45,0.01123260437374629
8554,Indiana,2013,46,0.011286222674111553
8608,Indiana,2013,47,0.010211524434708541
8662,Indiana,2013,48,0.015297271723678762
8716,Indiana,2013,49,0.012778505897757995
8770,Indiana,2013,50,0.016910157598047957
8824,Indiana,2013,51,0.029522613065289544
8878,Indiana,2013,52,0.057212530481978593
8932,Indiana,2014,1,0.04016570605180086
8986,Indiana,2014,2,0.034993270524840185
9040,Indiana,2014,3,0.029886363636329672
9094,Indiana,2014,4,0.03388572841944857
9148,Indiana,2014,5,0.030464584919991794
9202,Indiana,2014,6,0.02402038092924418
9256,Indiana,2014,7,0.0194610778442871
9310,Indiana,2014,8,0.01962049825736463
9364,Indiana,2014,9,0.017792344609601083
9418,Indiana,2014,10,0.013489940690762309
9472,Indiana,2014,11,0.01333333333331462
9526,Indiana,2014,12,0.013592007434928447
9580,Indiana,2014,13,0.009191834785711839
9634,Indiana,2014,14,0.008869683875359483
9688,Indiana,2014,15,0.005677210056765522
9742,Indiana,2014,16,0.00565355042966344
9796,Indiana,2014,17,0.006166748889977594
9850,Indiana,2014,18,0.007450331125819003
9904,Indiana,2014,19,0.006474630021133094
9958,Indiana,2014,20,0.011911679256229065
10012,Indiana,2014,21,0.006475285991783995
10066,Indiana,2014,22,0.005341579983116836
10120,Indiana,2014,23,0.0051755175517435295
10174,Indiana,2014,24,0.004859730505843031
10228,Indiana,2014,25,0.0037602300375939833
10282,Indiana,2014,26,0.008464681844692163
10336,Indiana,2014,27,0.0034722222222121754
10390,Indiana,2014,28,0.004840764331197858
10444,Indiana,2014,29,0.001207437816949511
10498,Indiana,2014,30,0.0018591680223056957
10552,Indiana,2014,31,0.005615234374986291
10606,Indiana,2014,32,0.0052677787532808
10660,Indiana,2014,33,0.004914640455238193
10714,Indiana,2014,34,0.003980616130141951
10768,Indiana,2014,35,0.0036900369003630834
10822,Indiana,2014,36,0.004742436631226914
10876,Indiana,2014,37,0.0048492195787167005
10930,Indiana,2014,38,0.005850972293915246
10984,Indiana,2014,39,0.00459296800759488
11038,Indiana,2014,40,0.005143687800508617
11092,Indiana,2014,41,0.007919966652763734
11146,Indiana,2014,42,0.006880466472295182
11200,Indiana,2014,43,0.007558139534874932
11254,Indiana,2014,44,0.006946637196077311
11308,Indiana,2014,45,0.008290481687471622
11362,Indiana,2014,46,0.010302570220138484
11416,Indiana,2014,47,0.01867968584162738
11470,Indiana,2014,48,0.023153252480663078
11524,Indiana,2014,49,0.034507113308410345
11578,Indiana,2014,50,0.05632780082981708
11632,Indiana,2014,51,0.0704393505252263
11686,Indiana,2014,52,0.08964986533264785
11740,Indiana,2014,53,0.052338957055114384
11794,Indiana,2015,1,0.03408928826125504
11848,Indiana,2015,2,0.03310083934267277
11902,Indiana,2015,3,0.019916261174584227
11956,Indiana,2015,4,0.017768301350369855
12010,Indiana,2015,5,0.02117863720071227
12064,Indiana,2015,6,0.019282271023010944
12118,Indiana,2015,7,0.015212740670293304
