,REGION,YEAR,WEEK,ili_ratio
15,Iowa,2010,40,0.0056306306305989266
67,Iowa,2010,41,0.008609556607797634
119,Iowa,2010,42,0.004070004069987505
171,Iowa,2010,43,0.0018322475569995272
223,Iowa,2010,44,0.0035878014749778997
275,Iowa,2010,45,0.004186602870805051
327,Iowa,2010,46,0.004842056721224713
379,Iowa,2010,47,0.005336891260804957
431,Iowa,2010,48,0.008274984086542729
483,Iowa,2010,49,0.009543285616872723
535,Iowa,2010,50,0.014985380116904293
587,Iowa,2010,51,0.020725388600938647
639,Iowa,2010,52,0.014560582423221214
691,Iowa,2011,1,0.005790645879706946
743,Iowa,2011,2,0.004591167468289044
795,Iowa,2011,3,0.01006634637380447
847,Iowa,2011,4,0.021904142268440892
899,Iowa,2011,5,0.026133743274337345
951,Iowa,2011,6,0.017285531370001526
1003,Iowa,2011,7,0.021929824561357707
1055,Iowa,2011,8,0.02210287130753542
1107,Iowa,2011,9,0.021833117163809267
1159,Iowa,2011,10,0.014401675831331758
1211,Iowa,2011,11,0.018765993744615395
1263,Iowa,2011,12,0.006443298969055559
1315,Iowa,2011,13,0.005684509711010495
1367,Iowa,2011,14,0.00932598558707365
1419,Iowa,2011,15,0.006309148264955795
1471,Iowa,2011,16,0.004422821760263499
1523,Iowa,2011,17,0.005529953917025208
1575,Iowa,2011,18,0.0024213075060415435
1627,Iowa,2011,19,0.0016741071428478008
1679,Iowa,2011,20,0.001696832579175923
1731,Iowa,2011,21,0.0011574074074007096
1783,Iowa,2011,22,0.0006747638326540165
1835,Iowa,2011,23,0.0
1887,Iowa,2011,24,0.0
1939,Iowa,2011,25,0.0
1991,Iowa,2011,26,0.0
2043,Iowa,2011,27,0.000794281175529831
2095,Iowa,2011,28,0.0
2147,Iowa,2011,29,0.0
2199,Iowa,2011,30,0.0
2251,Iowa,2011,31,0.0009191176470503758
2303,Iowa,2011,32,0.0008403361344467199
2355,Iowa,2011,33,0.0
2407,Iowa,2011,34,0.0005405405405376187
2459,Iowa,2011,35,0.002122015915108106
2511,Iowa,2011,36,0.0033156498673520183
2563,Iowa,2011,37,0.006960556844515265
2615,Iowa,2011,38,0.0028420625253640194
2667,Iowa,2011,39,0.005145797598605721
2719,Iowa,2011,40,0.010350776308193357
2772,Iowa,2011,41,0.012097964001144592
2825,Iowa,2011,42,0.011294261294226818
2878,Iowa,2011,43,0.008628775089085296
2931,Iowa,2011,44,0.010627356873481956
2984,Iowa,2011,45,0.00500166722239913
3037,Iowa,2011,46,0.008815903197910431
3090,Iowa,2011,47,0.0027617373838745626
3143,Iowa,2011,48,0.006125080593155827
3196,Iowa,2011,49,0.008123055651558722
3249,Iowa,2011,50,0.011620977353958221
3302,Iowa,2011,51,0.01473214285707709
3355,Iowa,2011,52,0.006363899334664843
3408,Iowa,2012,1,0.00931394820534004
3461,Iowa,2012,2,0.006267806267794363
3514,Iowa,2012,3,0.0077125658389621665
3567,Iowa,2012,4,0.008213911219838844
3620,Iowa,2012,5,0.009142053445834842
3673,Iowa,2012,6,0.01102307957283668
3726,Iowa,2012,7,0.011278819041281673
3779,Iowa,2012,8,0.008227067050579542
3832,Iowa,2012,9,0.01192104748873965
3885,Iowa,2012,10,0.009704641350190496
3938,Iowa,2012,11,0.011931187569334265
3991,Iowa,2012,12,0.007766582703594109
4044,Iowa,2012,13,0.00729927007296733
4097,Iowa,2012,14,0.0034501061571033703
4150,Iowa,2012,15,0.0034196384953507093
4203,Iowa,2012,16,0.004448838358861965
4256,Iowa,2012,17,0.0033516878142127084
4309,Iowa,2012,18,0.0016260162601581952
4362,Iowa,2012,19,0.0014189428875437428
4415,Iowa,2012,20,0.0003424657534234847
4468,Iowa,2012,21,0.00030712530712436386
4521,Iowa,2012,22,0.0
4574,Iowa,2012,23,0.0
4627,Iowa,2012,24,0.0
4680,Iowa,2012,25,0.000350877192981225
4733,Iowa,2012,26,0.0010626992560992274
4786,Iowa,2012,27,0.0004286326618069926
4839,Iowa,2012,28,0.00031515915537247034
4892,Iowa,2012,29,0.0
4945,Iowa,2012,30,0.0
4998,Iowa,2012,31,0.0
5051,Iowa,2012,32,0.0
5104,Iowa,2012,33,0.0
5157,Iowa,2012,34,0.0
5210,Iowa,2012,35,0.000683526999311801
5263,Iowa,2012,36,0.0017094017093870993
5316,Iowa,2012,37,0.00459016393439613
5369,Iowa,2012,38,0.000649772579592919
5422,Iowa,2012,39,0.004189108318347163
5475,Iowa,2012,40,0.0048112509252227565
5528,Iowa,2012,41,0.0021105951878340624
5581,Iowa,2012,42,0.004083299305822445
5634,Iowa,2012,43,0.005718954248342651
5687,Iowa,2012,44,0.006865912762492464
5740,Iowa,2012,45,0.008682328907003666
5793,Iowa,2012,46,0.01298174442185403
5846,Iowa,2012,47,0.012315270935884758
5899,Iowa,2012,48,0.006218905472623925
5952,Iowa,2012,49,0.01010459138448838
6005,Iowa,2012,50,0.01581463773443212
6058,Iowa,2012,51,0.016980266177067552
6111,Iowa,2012,52,0.04874041621002881
6164,Iowa,2013,1,0.048780487804665595
6217,Iowa,2013,2,0.03240418118455608
6270,Iowa,2013,3,0.034647550776479547
6323,Iowa,2013,4,0.035178953808396515
6376,Iowa,2013,5,0.025134649910158187
6429,Iowa,2013,6,0.020332090816603417
6482,Iowa,2013,7,0.018009168303804817
6535,Iowa,2013,8,0.009708737864048213
6588,Iowa,2013,9,0.013327601031756975
6641,Iowa,2013,10,0.01598721023175065
6694,Iowa,2013,11,0.011339092872508968
6747,Iowa,2013,12,0.005376344085973331
6800,Iowa,2013,13,0.0053256861941608944
6853,Iowa,2013,14,0.005190311418662672
6906,Iowa,2013,15,0.0037194473963670593
6959,Iowa,2013,16,0.004522613065303906
7012,Iowa,2013,17,0.001669449081793715
7065,Iowa,2013,18,0.002773925104009367
7118,Iowa,2013,19,0.0025588536335590644
7171,Iowa,2013,20,0.0008703220191395099
7224,Iowa,2013,21,0.0
7277,Iowa,2013,22,0.0
7330,Iowa,2013,23,0.0
7383,Iowa,2013,24,0.0
7436,Iowa,2013,25,0.0
7489,Iowa,2013,26,0.0
7542,Iowa,2013,27,0.0
7595,Iowa,2013,28,0.0009389671361414182
7648,Iowa,2013,29,0.0
7701,Iowa,2013,30,0.0
7754,Iowa,2013,31,0.0
7807,Iowa,2013,32,0.0
7860,Iowa,2013,33,0.0
7913,Iowa,2013,34,0.0
7966,Iowa,2013,35,0.0
8019,Iowa,2013,36,0.001650165016488035
8072,Iowa,2013,37,0.0007168458781310621
8125,Iowa,2013,38,0.0
8178,Iowa,2013,39,0.001628511477873656
8231,Iowa,2013,40,0.0017069074690962457
8285,Iowa,2013,41,0.0019818562456379676
8339,Iowa,2013,42,0.0020869470945354277
8393,Iowa,2013,43,0.0021774489742373217
8447,Iowa,2013,44,0.002913608751820205
8501,Iowa,2013,45,0.002615189668652068
8555,Iowa,2013,46,0.002017189966671924
8609,Iowa,2013,47,0.00220149824185837
8663,Iowa,2013,48,0.001925669170035846
8717,Iowa,2013,49,0.0023604594260046748
8771,Iowa,2013,50,0.0026982277549510336
8825,Iowa,2013,51,0.004146488146107003
8879,Iowa,2013,52,0.004914004914002592
8933,Iowa,2014,1,0.005369490477843949
8987,Iowa,2014,2,0.0057212376286437635
9041,Iowa,2014,3,0.006469556805125319
9095,Iowa,2014,4,0.005735430157260026
9149,Iowa,2014,5,0.00547358400761356
9203,Iowa,2014,6,0.004573022411051609
9257,Iowa,2014,7,0.004197437354035158
9311,Iowa,2014,8,0.0038729403771007734
9365,Iowa,2014,9,0.0030072527861303715
9419,Iowa,2014,10,0.0024729520865525586
9473,Iowa,2014,11,0.0024938433242923737
9527,Iowa,2014,12,0.0026839949145350036
9581,Iowa,2014,13,0.0017298937784516754
9635,Iowa,2014,14,0.0017539870724650813
9689,Iowa,2014,15,0.002251020998809451
9743,Iowa,2014,16,0.001957750481542847
9797,Iowa,2014,17,0.0021558763964192344
9851,Iowa,2014,18,0.001740561410170657
9905,Iowa,2014,19,0.0013402634761853682
9959,Iowa,2014,20,0.001335616438355707
10013,Iowa,2014,21,0.0013558862411439084
10067,Iowa,2014,22,0.001911208441169854
10121,Iowa,2014,23,0.0014680181754626116
10175,Iowa,2014,24,0.0014206021967355876
10229,Iowa,2014,25,0.0018354012187057353
10283,Iowa,2014,26,0.0010990959049809966
10337,Iowa,2014,27,0.001489986414829094
10391,Iowa,2014,28,0.0014680081635570668
10445,Iowa,2014,29,0.001335955765019729
10499,Iowa,2014,30,0.0013815764907951975
10553,Iowa,2014,31,0.0012046485260766707
10607,Iowa,2014,32,0.0012481186446895312
10661,Iowa,2014,33,0.0
10715,Iowa,2014,34,0.0013296988232160995
10769,Iowa,2014,35,0.0018032268269529252
10823,Iowa,2014,36,0.0
10877,Iowa,2014,37,0.0021462614020130205
10931,Iowa,2014,38,0.0028969099627054818
10985,Iowa,2014,39,0.0018562059151089418
11039,Iowa,2014,40,0.0025404300142504057
11093,Iowa,2014,41,0.003157308239954449
11147,Iowa,2014,42,0.002751151139554965
11201,Iowa,2014,43,0.002875026204665067
11255,Iowa,2014,44,0.003433904672457316
11309,Iowa,2014,45,0.0028858329161627594
11363,Iowa,2014,46,0.0023133235724737003
11417,Iowa,2014,47,0.0034228015630784043
11471,Iowa,2014,48,0.0039107055564592185
11525,Iowa,2014,49,0.0037361968283829918
11579,Iowa,2014,50,0.007941234862018793
11633,Iowa,2014,51,0.008107382550333395
11687,Iowa,2014,52,0.009239399439032651
11741,Iowa,2014,53,0.007879308413305993
11795,Iowa,2015,1,0.04015444015428512
11849,Iowa,2015,2,0.023932987634527593
11903,Iowa,2015,3,0.025847457627009122
11957,Iowa,2015,4,0.02321981424139621
12011,Iowa,2015,5,0.01606260296533747
12065,Iowa,2015,6,0.01924165251828386
12119,Iowa,2015,7,0.013264869490743411
12173,Iowa,2015,8,0.015541740674886582
12227,Iowa,2015,9,0.009134406263553135
12281,Iowa,2015,10,0.010281627179211973
12335,Iowa,2015,11,0.015987210231686755
12389,Iowa,2015,12,0.007169970476561915
12443,Iowa,2015,13,0.011103400416300462
12497,Iowa,2015,14,0.0049212598424954665
12551,Iowa,2015,15,0.003668763102706139
12605,Iowa,2015,16,0.004475385380385503
12659,Iowa,2015,17,0.0013422818791856224
12713,Iowa,2015,18,0.0023798191337345083
12767,Iowa,2015,19,0.0032432432432081813
12821,Iowa,2015,20,0.0010869565217273157
12875,Iowa,2015,21,0.00087565674254925
12929,Iowa,2015,22,0.0
12983,Iowa,2015,23,0.0
13037,Iowa,2015,24,0.0
13091,Iowa,2015,25,0.0
13145,Iowa,2015,26,0.0
13199,Iowa,2015,27,0.0
13253,Iowa,2015,28,0.0011600928074111357
13307,Iowa,2015,29,0.0
13361,Iowa,2015,30,0.0
13415,Iowa,2015,31,0.0
13469,Iowa,2015,32,0.0
13523,Iowa,2015,33,0.0
