,REGION,YEAR,WEEK,ili_ratio
16,Kansas,2010,40,0.004422270098645625
68,Kansas,2010,41,0.0057748968768346785
120,Kansas,2010,42,0.004797500836768049
172,Kansas,2010,43,0.005380710659893014
224,Kansas,2010,44,0.004812886749823384
276,Kansas,2010,45,0.007249926521007886
328,Kansas,2010,46,0.00595801021372616
380,Kansas,2010,47,0.008905109489038094
432,Kansas,2010,48,0.0071942446043087045
484,Kansas,2010,49,0.008284365668039414
536,Kansas,2010,50,0.008626001232277032
588,Kansas,2010,51,0.009688670714365471
640,Kansas,2010,52,0.013645552560623912
692,Kansas,2011,1,0.01057923955168055
744,Kansas,2011,2,0.010619706949844576
796,Kansas,2011,3,0.016029459547258713
848,Kansas,2011,4,0.028456874633259868
900,Kansas,2011,5,0.033140208574700875
952,Kansas,2011,6,0.03195277361316346
1004,Kansas,2011,7,0.03722456633845548
1056,Kansas,2011,8,0.03395972023254912
1108,Kansas,2011,9,0.03086964191212659
1160,Kansas,2011,10,0.02504173622702048
1212,Kansas,2011,11,0.017691659646145514
1264,Kansas,2011,12,0.015586945932755988
1316,Kansas,2011,13,0.011331058020462347
1368,Kansas,2011,14,0.008921743563587915
1420,Kansas,2011,15,0.006161652772736303
1472,Kansas,2011,16,0.0056214102407361344
1524,Kansas,2011,17,0.006880733944944265
1576,Kansas,2011,18,0.0047690014903058586
1628,Kansas,2011,19,0.004243087872975304
1680,Kansas,2011,20,0.0063829787233938085
1732,Kansas,2011,21,0.00667022411951262
1784,Kansas,2011,22,0.005171475231341395
1836,Kansas,2011,23,0.004654771140406892
1888,Kansas,2011,24,0.0015290519877636875
1940,Kansas,2011,25,0.0038834951456202956
1992,Kansas,2011,26,0.0010726736390424439
2044,Kansas,2011,27,0.0010911074740832213
2096,Kansas,2011,28,0.0009960159362525
2148,Kansas,2011,29,0.004031097034252718
2200,Kansas,2011,30,0.00344149459192861
2252,Kansas,2011,31,0.0019255455712390067
2304,Kansas,2011,32,0.002089318359879631
2356,Kansas,2011,33,0.0004573519323108682
2408,Kansas,2011,34,0.002638522427434832
2460,Kansas,2011,35,0.0041913214990034735
2512,Kansas,2011,36,0.00869133349886096
