,REGION,YEAR,WEEK,ili_ratio
17,Kentucky,2010,40,0.0014293237042041454
69,Kentucky,2010,41,0.0022397507060061936
121,Kentucky,2010,42,0.0015615240474693556
173,Kentucky,2010,43,0.0015010841163053865
225,Kentucky,2010,44,0.002896783046193858
277,Kentucky,2010,45,0.002229946874793579
329,Kentucky,2010,46,0.004632104044180395
381,Kentucky,2010,47,0.0053961456102737506
433,Kentucky,2010,48,0.006734619584997734
485,Kentucky,2010,49,0.005987227248532472
537,Kentucky,2010,50,0.00629650829993761
589,Kentucky,2010,51,0.012874043145430693
641,Kentucky,2010,52,0.009541441184840828
693,Kentucky,2011,1,0.012709470909421285
745,Kentucky,2011,2,0.007105568445470486
797,Kentucky,2011,3,0.014990296459870848
849,Kentucky,2011,4,0.020209290736935823
901,Kentucky,2011,5,0.032020658489327294
953,Kentucky,2011,6,0.03038818455101922
1005,Kentucky,2011,7,0.021410907197695294
1057,Kentucky,2011,8,0.02572437370395913
1109,Kentucky,2011,9,0.017836346920001325
1161,Kentucky,2011,10,0.009492419248510551
1213,Kentucky,2011,11,0.006385101429992427
1265,Kentucky,2011,12,0.004893155775778945
1317,Kentucky,2011,13,0.007008443242642785
1369,Kentucky,2011,14,0.0035610229847818377
1421,Kentucky,2011,15,0.003004051977083272
1473,Kentucky,2011,16,0.001871657754009444
1525,Kentucky,2011,17,0.001838042222454659
1577,Kentucky,2011,18,0.0055448594532109775
1629,Kentucky,2011,19,0.0013392542468447597
1681,Kentucky,2011,20,0.001268230818007984
1733,Kentucky,2011,21,0.0004862039625619994
1785,Kentucky,2011,22,0.0032346598706104344
1837,Kentucky,2011,23,0.0004279295342697183
1889,Kentucky,2011,24,0.0008028366896361792
1941,Kentucky,2011,25,0.0007320644216685709
1993,Kentucky,2011,26,0.0021135078013289526
2045,Kentucky,2011,27,0.0005083367222442981
2097,Kentucky,2011,28,0.00030948254518426
2149,Kentucky,2011,29,0.0018702344986319447
2201,Kentucky,2011,30,0.00013099292638188957
2253,Kentucky,2011,31,0.002277678748264728
2305,Kentucky,2011,32,0.0
2357,Kentucky,2011,33,0.00013289036544841668
2409,Kentucky,2011,34,0.00019336126329346222
2461,Kentucky,2011,35,0.0004941525284133634
2513,Kentucky,2011,36,0.00048399363894041067
2565,Kentucky,2011,37,0.0004559369504328431
2617,Kentucky,2011,38,0.00027825699816334896
2669,Kentucky,2011,39,0.000636689216075896
2721,Kentucky,2011,40,0.004292350208735055
2774,Kentucky,2011,41,0.0031508233755406035
2827,Kentucky,2011,42,0.002513722874876872
2880,Kentucky,2011,43,0.003561941560007509
2933,Kentucky,2011,44,0.0046822742474890286
2986,Kentucky,2011,45,0.00289823958780437
3039,Kentucky,2011,46,0.0037359900373574516
3092,Kentucky,2011,47,0.002553063676410416
3145,Kentucky,2011,48,0.003967640542070404
3198,Kentucky,2011,49,0.004536371982500115
3251,Kentucky,2011,50,0.0025063993174048067
3304,Kentucky,2011,51,0.0026556826188268083
3357,Kentucky,2011,52,0.002798789712554615
3410,Kentucky,2012,1,0.0034594353308763197
3463,Kentucky,2012,2,0.0037888894818273178
3516,Kentucky,2012,3,0.002569832402233201
3569,Kentucky,2012,4,0.004925317201132327
3622,Kentucky,2012,5,0.005125967935431821
3675,Kentucky,2012,6,0.00476057126854956
3728,Kentucky,2012,7,0.007088144506683955
3781,Kentucky,2012,8,0.0074640704682394695
3834,Kentucky,2012,9,0.0067045120876936945
3887,Kentucky,2012,10,0.005504875747087394
3940,Kentucky,2012,11,0.006789158898643898
3993,Kentucky,2012,12,0.005160159672862837
4046,Kentucky,2012,13,0.0032310177705962466
4099,Kentucky,2012,14,0.0033182311275583446
4152,Kentucky,2012,15,0.0009907185316503334
4205,Kentucky,2012,16,0.0014414640260707937
4258,Kentucky,2012,17,0.0011911852293025654
4311,Kentucky,2012,18,0.0013697642563612069
4364,Kentucky,2012,19,0.00045315509233009334
4417,Kentucky,2012,20,0.0002882259691596136
4470,Kentucky,2012,21,0.0003331852509993707
4523,Kentucky,2012,22,0.0007561436672962146
4576,Kentucky,2012,23,0.0006840881105477027
4629,Kentucky,2012,24,0.00011317338162057877
4682,Kentucky,2012,25,9.974564859603025e-05
4735,Kentucky,2012,26,0.0
4788,Kentucky,2012,27,0.00045245944024274287
4841,Kentucky,2012,28,0.00011442302191194323
4894,Kentucky,2012,29,5.9794307581882446e-05
4947,Kentucky,2012,30,5.6924916035716443e-05
5000,Kentucky,2012,31,0.0006546644844513613
5053,Kentucky,2012,32,0.00019074262461839348
5106,Kentucky,2012,33,0.00027165054873396085
5159,Kentucky,2012,34,0.00026183493925415694
5212,Kentucky,2012,35,0.0004616592031760022
5265,Kentucky,2012,36,0.0011166945840302281
5318,Kentucky,2012,37,0.0008170351835771755
5371,Kentucky,2012,38,0.0006185885870402502
5424,Kentucky,2012,39,0.0005490231962297895
5477,Kentucky,2012,40,0.0010639914880675562
5530,Kentucky,2012,41,0.0020354906054269126
5583,Kentucky,2012,42,0.0011232662629414322
5636,Kentucky,2012,43,0.0009724788485845704
5689,Kentucky,2012,44,0.00044083072100291885
5742,Kentucky,2012,45,0.0012802130274471117
5795,Kentucky,2012,46,0.0009995502024084163
5848,Kentucky,2012,47,0.0028589766030673557
