,REGION,YEAR,WEEK,ili_ratio
18,Louisiana,2010,40,0.022810804503807937
70,Louisiana,2010,41,0.020477600655270316
122,Louisiana,2010,42,0.024297370806875614
174,Louisiana,2010,43,0.0192853762422981
226,Louisiana,2010,44,0.028093416319289615
278,Louisiana,2010,45,0.020857734931065474
330,Louisiana,2010,46,0.028150624118646182
382,Louisiana,2010,47,0.029270600959893683
434,Louisiana,2010,48,0.0266482194417549
486,Louisiana,2010,49,0.028048571917206517
538,Louisiana,2010,50,0.03379393211171989
590,Louisiana,2010,51,0.03826381206478931
642,Louisiana,2010,52,0.056307082543487715
694,Louisiana,2011,1,0.04388386482625231
746,Louisiana,2011,2,0.0572040025449377
798,Louisiana,2011,3,0.07828916782888039
850,Louisiana,2011,4,0.06634190116013951
902,Louisiana,2011,5,0.10045967777922057
954,Louisiana,2011,6,0.07284677529778956
1006,Louisiana,2011,7,0.07370810522095797
1058,Louisiana,2011,8,0.050529597872414816
1110,Louisiana,2011,9,0.04112864658055535
1162,Louisiana,2011,10,0.03540243540241437
1214,Louisiana,2011,11,0.03352629040036974
1266,Louisiana,2011,12,0.029168328679682304
1318,Louisiana,2011,13,0.018265691253893917
1370,Louisiana,2011,14,0.024849678071609187
1422,Louisiana,2011,15,0.014856651728150986
1474,Louisiana,2011,16,0.015375974162735817
1526,Louisiana,2011,17,0.019008825526125404
1578,Louisiana,2011,18,0.015069615069602726
1630,Louisiana,2011,19,0.007478333799267906
1682,Louisiana,2011,20,0.010800970873779854
1734,Louisiana,2011,21,0.0115239558597489
1786,Louisiana,2011,22,0.008518127419916565
1838,Louisiana,2011,23,0.009681528662414216
1890,Louisiana,2011,24,0.011494252873555062
1942,Louisiana,2011,25,0.009731565541107875
1994,Louisiana,2011,26,0.010451203690348528
2046,Louisiana,2011,27,0.007399817850629098
2098,Louisiana,2011,28,0.00916230366491441
2150,Louisiana,2011,29,0.01221332609579847
2202,Louisiana,2011,30,0.011332394555078567
2254,Louisiana,2011,31,0.008726981585261227
2306,Louisiana,2011,32,0.010826865957640291
2358,Louisiana,2011,33,0.011223448659668653
2410,Louisiana,2011,34,0.014471568484129168
2462,Louisiana,2011,35,0.013673436750348893
2514,Louisiana,2011,36,0.01706827309235234
2566,Louisiana,2011,37,0.019841269841157364
2618,Louisiana,2011,38,0.03165098374652138
2670,Louisiana,2011,39,0.02976329974213789
2722,Louisiana,2011,40,0.028485077446143946
2775,Louisiana,2011,41,0.02891585892316615
2828,Louisiana,2011,42,0.02451954937042595
2881,Louisiana,2011,43,0.023504753349784035
2934,Louisiana,2011,44,0.0248977414191565
2987,Louisiana,2011,45,0.02474315068491032
3040,Louisiana,2011,46,0.02821142721291052
3093,Louisiana,2011,47,0.025256923880834996
3146,Louisiana,2011,48,0.029514466245402795
3199,Louisiana,2011,49,0.026864172734097524
3252,Louisiana,2011,50,0.03726450327824943
3305,Louisiana,2011,51,0.027209789083861527
3358,Louisiana,2011,52,0.03019521107795923
3411,Louisiana,2012,1,0.03418877023765571
3464,Louisiana,2012,2,0.024155622060683883
3517,Louisiana,2012,3,0.026312880044194235
3570,Louisiana,2012,4,0.021315228546600364
3623,Louisiana,2012,5,0.020596205962043673
3676,Louisiana,2012,6,0.028578139680528827
3729,Louisiana,2012,7,0.03178628793640055
3782,Louisiana,2012,8,0.025141787990396337
3835,Louisiana,2012,9,0.024183006535931906
3888,Louisiana,2012,10,0.025106837606818446
3941,Louisiana,2012,11,0.027467200930635642
3994,Louisiana,2012,12,0.025193263390374657
4047,Louisiana,2012,13,0.026010848126216707
4100,Louisiana,2012,14,0.022376300031498285
4153,Louisiana,2012,15,0.018104118104104037
4206,Louisiana,2012,16,0.02200842608311513
4259,Louisiana,2012,17,0.019903581267203922
4312,Louisiana,2012,18,0.020997037227862295
4365,Louisiana,2012,19,0.018337507068407515
4418,Louisiana,2012,20,0.01765752936986995
4471,Louisiana,2012,21,0.01655429479799564
4524,Louisiana,2012,22,0.008447729672644528
4577,Louisiana,2012,23,0.016229944867734478
4630,Louisiana,2012,24,0.01396704861345585
4683,Louisiana,2012,25,0.012433606953155218
4736,Louisiana,2012,26,0.011914592426558974
4789,Louisiana,2012,27,0.011674386143003822
4842,Louisiana,2012,28,0.011778490379864467
4895,Louisiana,2012,29,0.010607675906177713
4948,Louisiana,2012,30,0.0098800282286471
5001,Louisiana,2012,31,0.012345007613654368
5054,Louisiana,2012,32,0.013259500101598628
5107,Louisiana,2012,33,0.011174039491805106
5160,Louisiana,2012,34,0.017086375602236584
5213,Louisiana,2012,35,0.019795518816608768
5266,Louisiana,2012,36,0.01592508332891597
5319,Louisiana,2012,37,0.017931858936034103
5372,Louisiana,2012,38,0.01894121031935411
5425,Louisiana,2012,39,0.018166642117141373
5478,Louisiana,2012,40,0.02883100514650308
5531,Louisiana,2012,41,0.028890880382354416
5584,Louisiana,2012,42,0.026555919513326098
5637,Louisiana,2012,43,0.03262359867729953
5690,Louisiana,2012,44,0.033035996210912126
5743,Louisiana,2012,45,0.0423698254723632
5796,Louisiana,2012,46,0.04223687721570456
5849,Louisiana,2012,47,0.0520171750603578
5902,Louisiana,2012,48,0.04950461105966968
5955,Louisiana,2012,49,0.05542601462060265
6008,Louisiana,2012,50,0.06951037128549661
6061,Louisiana,2012,51,0.07910329471257913
6114,Louisiana,2012,52,0.08944904573277297
6167,Louisiana,2013,1,0.07144337732326696
6220,Louisiana,2013,2,0.06499256566989427
6273,Louisiana,2013,3,0.05719792245122752
6326,Louisiana,2013,4,0.05396404452802924
6379,Louisiana,2013,5,0.046764386217417166
6432,Louisiana,2013,6,0.0424230903272685
6485,Louisiana,2013,7,0.03453787570124595
6538,Louisiana,2013,8,0.03508374830238793
6591,Louisiana,2013,9,0.030623555119222653
6644,Louisiana,2013,10,0.032803309417609464
6697,Louisiana,2013,11,0.03763613068544297
6750,Louisiana,2013,12,0.0282754576845305
6803,Louisiana,2013,13,0.029139154964496997
6856,Louisiana,2013,14,0.02851268406251973
6909,Louisiana,2013,15,0.02263785307416095
6962,Louisiana,2013,16,0.018351249920482683
7015,Louisiana,2013,17,0.01885612433158671
7068,Louisiana,2013,18,0.018842145399078913
7121,Louisiana,2013,19,0.020649726600186345
7174,Louisiana,2013,20,0.021355506370753917
7227,Louisiana,2013,21,0.01903315795048588
7280,Louisiana,2013,22,0.016813397762621033
7333,Louisiana,2013,23,0.013428701658422415
7386,Louisiana,2013,24,0.012032974338514814
7439,Louisiana,2013,25,0.01299777844092543
7492,Louisiana,2013,26,0.010607688841123649
7545,Louisiana,2013,27,0.011888136928416268
7598,Louisiana,2013,28,0.01012559977419908
7651,Louisiana,2013,29,0.009322352744446585
7704,Louisiana,2013,30,0.01047641810069691
7757,Louisiana,2013,31,0.015221987314989116
7810,Louisiana,2013,32,0.011177867821709103
7863,Louisiana,2013,33,0.012206540208755346
7916,Louisiana,2013,34,0.013063314405746197
7969,Louisiana,2013,35,0.01570828368971728
8022,Louisiana,2013,36,0.016711273581821035
8075,Louisiana,2013,37,0.0182213306586365
8128,Louisiana,2013,38,0.018815871047731303
8181,Louisiana,2013,39,0.01994980780837385
8234,Louisiana,2013,40,0.0202693511086858
8288,Louisiana,2013,41,0.02238875298051516
8342,Louisiana,2013,42,0.023002696643808114
8396,Louisiana,2013,43,0.026284693201133736
8450,Louisiana,2013,44,0.0265534739731189
8504,Louisiana,2013,45,0.030209065916491844
8558,Louisiana,2013,46,0.030419703738528564
8612,Louisiana,2013,47,0.028394705637269365
8666,Louisiana,2013,48,0.039401103230878046
8720,Louisiana,2013,49,0.04191485273529634
8774,Louisiana,2013,50,0.05181787291877568
8828,Louisiana,2013,51,0.04190615211506192
8882,Louisiana,2013,52,0.08666342940384283
8936,Louisiana,2014,1,0.08012884043605548
8990,Louisiana,2014,2,0.07075129941720877
9044,Louisiana,2014,3,0.060389670349946016
9098,Louisiana,2014,4,0.049033474776032517
9152,Louisiana,2014,5,0.04266578963103431
9206,Louisiana,2014,6,0.03617630885884405
9260,Louisiana,2014,7,0.029620647843400422
9314,Louisiana,2014,8,0.02763177654301618
9368,Louisiana,2014,9,0.027004851598163883
9422,Louisiana,2014,10,0.028295220966075188
9476,Louisiana,2014,11,0.02133237993087197
9530,Louisiana,2014,12,0.024119133903820655
9584,Louisiana,2014,13,0.02224508621300566
9638,Louisiana,2014,14,0.02271638071503156
9692,Louisiana,2014,15,0.0221133957902354
9746,Louisiana,2014,16,0.02174048270713432
9800,Louisiana,2014,17,0.01957792207791572
9854,Louisiana,2014,18,0.01663691993880143
9908,Louisiana,2014,19,0.01751986263495896
9962,Louisiana,2014,20,0.017967236216306158
10016,Louisiana,2014,21,0.017632017126540906
10070,Louisiana,2014,22,0.018009540188850957
10124,Louisiana,2014,23,0.014505012531323776
10178,Louisiana,2014,24,0.014483052394567493
10232,Louisiana,2014,25,0.012544032992521539
10286,Louisiana,2014,26,0.010587834473357292
10340,Louisiana,2014,27,0.013203071352764465
10394,Louisiana,2014,28,0.011868379669462106
10448,Louisiana,2014,29,0.011217847437271307
10502,Louisiana,2014,30,0.009554759325609102
10556,Louisiana,2014,31,0.011937132912765953
10610,Louisiana,2014,32,0.01070505721668249
10664,Louisiana,2014,33,0.011456747153938207
10718,Louisiana,2014,34,0.012195718056503033
10772,Louisiana,2014,35,0.015288132178114224
10826,Louisiana,2014,36,0.016231360563115627
10880,Louisiana,2014,37,0.015974232301025928
10934,Louisiana,2014,38,0.01671263994807336
10988,Louisiana,2014,39,0.01500326157860055
11042,Louisiana,2014,40,0.017934972105993305
11096,Louisiana,2014,41,0.020719962215327285
11150,Louisiana,2014,42,0.026344963818502685
11204,Louisiana,2014,43,0.025181650580191915
11258,Louisiana,2014,44,0.025446795940323372
11312,Louisiana,2014,45,0.030509275163167617
11366,Louisiana,2014,46,0.03312730759030799
11420,Louisiana,2014,47,0.043954108589532546
11474,Louisiana,2014,48,0.059011815252404086
11528,Louisiana,2014,49,0.05489344214171415
11582,Louisiana,2014,50,0.05615956838059835
11636,Louisiana,2014,51,0.06965497798883837
11690,Louisiana,2014,52,0.07283976510065587
11744,Louisiana,2014,53,0.0661987659294616
11798,Louisiana,2015,1,0.04777091521615996
11852,Louisiana,2015,2,0.04798750621138923
11906,Louisiana,2015,3,0.054074754901948956
11960,Louisiana,2015,4,0.04500599063281887
12014,Louisiana,2015,5,0.044046642980767964
12068,Louisiana,2015,6,0.03809107836600582
12122,Louisiana,2015,7,0.038293263104231104
12176,Louisiana,2015,8,0.034336995343362195
12230,Louisiana,2015,9,0.03209774729805285
12284,Louisiana,2015,10,0.03456926089083975
12338,Louisiana,2015,11,0.03105022831049612
12392,Louisiana,2015,12,0.028005913272004763
12446,Louisiana,2015,13,0.026800832083588893
12500,Louisiana,2015,14,0.02336651741076743
12554,Louisiana,2015,15,0.01777596851889143
12608,Louisiana,2015,16,0.019368723098991354
12662,Louisiana,2015,17,0.017769706443525952
12716,Louisiana,2015,18,0.018632351377216073
12770,Louisiana,2015,19,0.01765024119741724
12824,Louisiana,2015,20,0.015676416819009217
12878,Louisiana,2015,21,0.01494247605078266
12932,Louisiana,2015,22,0.01250336440822812
12986,Louisiana,2015,23,0.012494602763381777
13040,Louisiana,2015,24,0.010363684122546896
13094,Louisiana,2015,25,0.01174613047534467
13148,Louisiana,2015,26,0.01107473528057418
13202,Louisiana,2015,27,0.010168058870323647
13256,Louisiana,2015,28,0.01141519098492331
13310,Louisiana,2015,29,0.010165291583360977
13364,Louisiana,2015,30,0.011047576750121845
13418,Louisiana,2015,31,0.009577387486276187
13472,Louisiana,2015,32,0.009241693316708429
13526,Louisiana,2015,33,0.009544988880835176
13580,Louisiana,2015,34,0.014094622497528034
13634,Louisiana,2015,35,0.014878188972893206
13688,Louisiana,2015,36,0.017187344542827287
13742,Louisiana,2015,37,0.017277545956915018
13796,Louisiana,2015,38,0.017549772502944812
13850,Louisiana,2015,39,0.0179190879162116
13904,Louisiana,2015,40,0.018153081959806243
13958,Louisiana,2015,41,0.018137456005869166
14012,Louisiana,2015,42,0.020417672724187652
14066,Louisiana,2015,43,0.018656208913265936
14120,Louisiana,2015,44,0.0192488983403812
14174,Louisiana,2015,45,0.021096039066734434
14228,Louisiana,2015,46,0.021996726677572943
14282,Louisiana,2015,47,0.024348730556469116
14336,Louisiana,2015,48,0.0228758169934589
14390,Louisiana,2015,49,0.020341669601968048
14444,Louisiana,2015,50,0.022088869171312003
14498,Louisiana,2015,51,0.026648414328079708
14552,Louisiana,2015,52,0.024786142001705563
14606,Louisiana,2016,1,0.022600165031625884
