,REGION,YEAR,WEEK,ili_ratio
19,Maine,2010,40,0.003577235772351907
71,Maine,2010,41,0.004348553269770281
123,Maine,2010,42,0.004217432052477012
175,Maine,2010,43,0.0033840947546479247
227,Maine,2010,44,0.001764705882349481
279,Maine,2010,45,0.0035662181877069766
331,Maine,2010,46,0.0052034058656493165
383,Maine,2010,47,0.006175663311971236
435,Maine,2010,48,0.0034795763993895924
487,Maine,2010,49,0.004352192835613739
539,Maine,2010,50,0.003414717432126661
591,Maine,2010,51,0.005995203836916079
643,Maine,2010,52,0.006448284756238204
695,Maine,2011,1,0.005091984231266275
747,Maine,2011,2,0.00471204188480853
799,Maine,2011,3,0.007527504342776438
851,Maine,2011,4,0.010340927451914136
903,Maine,2011,5,0.014700409378461668
955,Maine,2011,6,0.01577535888938985
1007,Maine,2011,7,0.022792888618716315
1059,Maine,2011,8,0.019271131463424403
1111,Maine,2011,9,0.019031409562093406
1163,Maine,2011,10,0.012004604505818115
1215,Maine,2011,11,0.010706975279466688
1267,Maine,2011,12,0.00860450563202659
1319,Maine,2011,13,0.007932573128395418
1371,Maine,2011,14,0.007236335642791014
1423,Maine,2011,15,0.006445312499987412
1475,Maine,2011,16,0.0056331680937232245
1527,Maine,2011,17,0.0046474035158523995
1579,Maine,2011,18,0.004968203497605389
1631,Maine,2011,19,0.005082333807674156
1683,Maine,2011,20,0.0037002775208055034
1735,Maine,2011,21,0.005198019801967332
1787,Maine,2011,22,0.006435366536076006
1839,Maine,2011,23,0.0044236913246389195
1891,Maine,2011,24,0.004030346135599739
1943,Maine,2011,25,0.003657644476947921
1995,Maine,2011,26,0.004660289428489919
2047,Maine,2011,27,0.008734854888676431
2099,Maine,2011,28,0.005965697240850197
2151,Maine,2011,29,0.0060401063058563905
2203,Maine,2011,30,0.004500236854560634
2255,Maine,2011,31,0.003603603603594328
2307,Maine,2011,32,0.004174784302799403
2359,Maine,2011,33,0.004811547714501974
2411,Maine,2011,34,0.0047117516629581165
2463,Maine,2011,35,0.0060551014229305025
2515,Maine,2011,36,0.006026006977462652
2567,Maine,2011,37,0.004024144869203725
2619,Maine,2011,38,0.004233924318591601
2671,Maine,2011,39,0.003902185223715135
2723,Maine,2011,40,0.0038720538720473535
2776,Maine,2011,41,0.004744154523882169
2829,Maine,2011,42,0.004517391959035511
2882,Maine,2011,43,0.006458557588795235
2935,Maine,2011,44,0.003971284557806673
2988,Maine,2011,45,0.0070728178749283515
3041,Maine,2011,46,0.004704097116836565
3094,Maine,2011,47,0.005413385826758333
3147,Maine,2011,48,0.005421686746979786
3200,Maine,2011,49,0.005592841163302025
3253,Maine,2011,50,0.0054635478914026574
3306,Maine,2011,51,0.00563325563324469
3359,Maine,2011,52,0.0056844020008965795
3412,Maine,2012,1,0.0040657592363371655
3465,Maine,2012,2,0.005353856449714985
3518,Maine,2012,3,0.003243981560520328
3571,Maine,2012,4,0.005389927572839162
3624,Maine,2012,5,0.0034448818897581286
3677,Maine,2012,6,0.004068857589977983
3730,Maine,2012,7,0.00478321246720447
3783,Maine,2012,8,0.005406413124523851
3836,Maine,2012,9,0.0039430824618482034
3889,Maine,2012,10,0.003234398782337834
3942,Maine,2012,11,0.0018254231662764265
3995,Maine,2012,12,0.005286767061830684
4048,Maine,2012,13,0.0036918138041674288
4101,Maine,2012,14,0.0029145077720160065
4154,Maine,2012,15,0.0047095761381393516
4207,Maine,2012,16,0.004020908725363851
4260,Maine,2012,17,0.0019220688450079992
4313,Maine,2012,18,0.0034500603760506295
4366,Maine,2012,19,0.005209237714872011
4419,Maine,2012,20,0.0022759103641416738
4472,Maine,2012,21,0.0018130539887151228
4525,Maine,2012,22,0.005683163627739325
4578,Maine,2012,23,0.0033783783783716648
4631,Maine,2012,24,0.000514535631591164
4684,Maine,2012,25,0.004107220060518575
4737,Maine,2012,26,0.005732484076420951
4790,Maine,2012,27,0.005391600454014212
4843,Maine,2012,28,0.0038236043843899474
4896,Maine,2012,29,0.0041028446389384495
4949,Maine,2012,30,0.005693069306916602
5002,Maine,2012,31,0.005057226510500247
5055,Maine,2012,32,0.004333418302308607
5108,Maine,2012,33,0.0035696073431831475
5161,Maine,2012,34,0.003429174360318045
5214,Maine,2012,35,0.002921535893149162
5267,Maine,2012,36,0.0031167585710785983
5320,Maine,2012,37,0.002909393183701352
5373,Maine,2012,38,0.004569190600512252
5426,Maine,2012,39,0.003134796238237495
5479,Maine,2012,40,0.0061889698803380706
5532,Maine,2012,41,0.008094738420014848
5585,Maine,2012,42,0.006971809639274065
5638,Maine,2012,43,0.006553079947565817
5691,Maine,2012,44,0.00702751196171198
5744,Maine,2012,45,0.008236772302096556
5797,Maine,2012,46,0.009412479125536038
5850,Maine,2012,47,0.00865344027013792
5903,Maine,2012,48,0.010078219013221904
5956,Maine,2012,49,0.0075803517283087015
6009,Maine,2012,50,0.013677811550131189
6062,Maine,2012,51,0.021826352110380635
6115,Maine,2012,52,0.04190981432349626
6168,Maine,2013,1,0.028189116859896186
6221,Maine,2013,2,0.02893628583069021
6274,Maine,2013,3,0.03042976636857452
6327,Maine,2013,4,0.020686337395733344
6380,Maine,2013,5,0.019181585677718698
6433,Maine,2013,6,0.015734799877763925
6486,Maine,2013,7,0.011117699377392355
6539,Maine,2013,8,0.01065069063070286
6592,Maine,2013,9,0.010910330719381333
6645,Maine,2013,10,0.008406186953583715
6698,Maine,2013,11,0.00813898888713705
6751,Maine,2013,12,0.0077220077219947595
6804,Maine,2013,13,0.009200507614198604
6857,Maine,2013,14,0.011968503936989026
6910,Maine,2013,15,0.009466566491345656
6963,Maine,2013,16,0.006423982869367552
7016,Maine,2013,17,0.009149891864899102
7069,Maine,2013,18,0.0073677160080251715
7122,Maine,2013,19,0.0065897858319496055
7175,Maine,2013,20,0.004376367614872283
7228,Maine,2013,21,0.008761682242973594
7281,Maine,2013,22,0.00828608809418167
7334,Maine,2013,23,0.008439609902459792
7387,Maine,2013,24,0.008305319359287511
7440,Maine,2013,25,0.007981989357331187
7493,Maine,2013,26,0.008008213552344953
7546,Maine,2013,27,0.010041636051898013
7599,Maine,2013,28,0.008104368452247273
7652,Maine,2013,29,0.006594724220610322
7705,Maine,2013,30,0.006239032949880602
7758,Maine,2013,31,0.006238303181521651
7811,Maine,2013,32,0.006947282386581636
7864,Maine,2013,33,0.005890717042441823
7917,Maine,2013,34,0.003770589402651775
7970,Maine,2013,35,0.006802721088421351
8023,Maine,2013,36,0.005174353205837628
8076,Maine,2013,37,0.004713114754088703
8129,Maine,2013,38,0.00207756232686501
8182,Maine,2013,39,0.0028125799028309575
8235,Maine,2013,40,0.00823958168276305
8289,Maine,2013,41,0.005544683626866366
8343,Maine,2013,42,0.008261617900157897
8397,Maine,2013,43,0.00631412786107922
8451,Maine,2013,44,0.0031428010214041586
8505,Maine,2013,45,0.0032907471931798477
8559,Maine,2013,46,0.006982726938612674
8613,Maine,2013,47,0.004184934236739368
8667,Maine,2013,48,0.012308616031184903
8721,Maine,2013,49,0.007884121745493428
8775,Maine,2013,50,0.009132420091307521
8829,Maine,2013,51,0.01008645533139134
8883,Maine,2013,52,0.01110670368896824
8937,Maine,2014,1,0.011226252158862332
8991,Maine,2014,2,0.011258147343450015
9045,Maine,2014,3,0.012815884476511163
9099,Maine,2014,4,0.018024784078073557
9153,Maine,2014,5,0.01980198019798281
9207,Maine,2014,6,0.01972504482960804
9261,Maine,2014,7,0.01825789273484546
9315,Maine,2014,8,0.018607442977153648
9369,Maine,2014,9,0.014013840830425582
9423,Maine,2014,10,0.015285451197025257
9477,Maine,2014,11,0.012184873949554234
9531,Maine,2014,12,0.010213556174539994
9585,Maine,2014,13,0.011526832955382602
9639,Maine,2014,14,0.01233431516934401
9693,Maine,2014,15,0.012316176470565595
9747,Maine,2014,16,0.009489704565784261
9801,Maine,2014,17,0.010850942318654386
9855,Maine,2014,18,0.00882190773753203
9909,Maine,2014,19,0.008740262207849629
9963,Maine,2014,20,0.010274612366877873
10017,Maine,2014,21,0.007660455486526583
10071,Maine,2014,22,0.007900101936779052
10125,Maine,2014,23,0.010503700167079246
10179,Maine,2014,24,0.006569188387356285
10233,Maine,2014,25,0.006153846153832629
10287,Maine,2014,26,0.005799687709110418
10341,Maine,2014,27,0.00706621303321888
10395,Maine,2014,28,0.0035435861091340807
10449,Maine,2014,29,0.0028241335044856893
10503,Maine,2014,30,0.006342494714574329
10557,Maine,2014,31,0.0072479683724857285
10611,Maine,2014,32,0.0071013557133481784
10665,Maine,2014,33,0.007098491570525513
10719,Maine,2014,34,0.006218905472621346
10773,Maine,2014,35,0.005850585058492686
10827,Maine,2014,36,0.008327024981053931
10881,Maine,2014,37,0.00701426233339487
10935,Maine,2014,38,0.013295553618105284
10989,Maine,2014,39,0.013611229264113971
11043,Maine,2014,40,0.01302261823164321
11097,Maine,2014,41,0.012581699346384671
11151,Maine,2014,42,0.011399832355387426
11205,Maine,2014,43,0.009692787908641871
11259,Maine,2014,44,0.010245568385086607
11313,Maine,2014,45,0.010402455661646654
11367,Maine,2014,46,0.01343283582087046
11421,Maine,2014,47,0.006838163464658356
11475,Maine,2014,48,0.014438635797823155
11529,Maine,2014,49,0.011828320378486265
11583,Maine,2014,50,0.014887857695253503
11637,Maine,2014,51,0.012939325056805492
11691,Maine,2014,52,0.019058295964072148
11745,Maine,2014,53,0.01936776491536205
11799,Maine,2015,1,0.022380291464222102
11853,Maine,2015,2,0.03020532835562497
11907,Maine,2015,3,0.030819672131097018
11961,Maine,2015,4,0.03337612323484515
12015,Maine,2015,5,0.02566111655234934
12069,Maine,2015,6,0.019884877027699487
12123,Maine,2015,7,0.021610555049996337
12177,Maine,2015,8,0.017343045438748973
12231,Maine,2015,9,0.019434628975226867
12285,Maine,2015,10,0.017055479317747393
12339,Maine,2015,11,0.01512887560699453
12393,Maine,2015,12,0.0146160962071885
12447,Maine,2015,13,0.014642387835527234
12501,Maine,2015,14,0.014625228519171305
12555,Maine,2015,15,0.00685312094831107
12609,Maine,2015,16,0.010935143288063848
12663,Maine,2015,17,0.008217220435855275
12717,Maine,2015,18,0.009771386430660452
12771,Maine,2015,19,0.006974716652123845
12825,Maine,2015,20,0.008578670306085829
12879,Maine,2015,21,0.006283662477544247
12933,Maine,2015,22,0.008394758394741207
12987,Maine,2015,23,0.008637236084436397
13041,Maine,2015,24,0.005711022272975993
13095,Maine,2015,25,0.007371007370992279
13149,Maine,2015,26,0.005706874189349658
13203,Maine,2015,27,0.007526444263613657
13257,Maine,2015,28,0.008032128514039248
13311,Maine,2015,29,0.004682410423443236
13365,Maine,2015,30,0.0029431741000612564
13419,Maine,2015,31,0.006356366618810014
13473,Maine,2015,32,0.005753485284342214
13527,Maine,2015,33,0.006058073950269359
13581,Maine,2015,34,0.005812601720516595
13635,Maine,2015,35,0.008926759991866652
13689,Maine,2015,36,0.007771428571410808
13743,Maine,2015,37,0.007312614259578709
13797,Maine,2015,38,0.0019209659714546625
13851,Maine,2015,39,0.005360333531853563
13905,Maine,2015,40,0.011742025937588956
13959,Maine,2015,41,0.008936550491494305
14013,Maine,2015,42,0.01091287025807914
14067,Maine,2015,43,0.010314685314667282
14121,Maine,2015,44,0.010869565217369823
14175,Maine,2015,45,0.013576215844623516
14229,Maine,2015,46,0.009851365364656323
14283,Maine,2015,47,0.006882487891901905
14337,Maine,2015,48,0.010657193605662803
14391,Maine,2015,49,0.00960170697011095
14445,Maine,2015,50,0.008982035928126905
14499,Maine,2015,51,0.00902170848601911
14553,Maine,2015,52,0.016202203499623456
14607,Maine,2016,1,0.008627450980375241
14661,Maine,2016,2,0.008721506442004517
14715,Maine,2016,3,0.00951315053159949
14769,Maine,2016,4,0.008865569024771367
14823,Maine,2016,5,0.011583871686318593
14877,Maine,2016,6,0.00899843505475548
14931,Maine,2016,7,0.009208874005840919
14985,Maine,2016,8,0.008838643370999304
15039,Maine,2016,9,0.00903274369588063
15093,Maine,2016,10,0.01125703564725843
15147,Maine,2016,11,0.01951951951947765
15201,Maine,2016,12,0.014008827480303188
15255,Maine,2016,13,0.018066847335107376
15309,Maine,2016,14,0.010526315789453898
15363,Maine,2016,15,0.01578751857352194
15417,Maine,2016,16,0.013709361535421643
15471,Maine,2016,17,0.01598645852921575
15525,Maine,2016,18,0.011875589066895616
15579,Maine,2016,19,0.009632396304286157
15633,Maine,2016,20,0.007199844327676202
15687,Maine,2016,21,0.005169561621163834
15741,Maine,2016,22,0.008412197686623522
15795,Maine,2016,23,0.005977796754897571
15849,Maine,2016,24,0.006341154090030985
15903,Maine,2016,25,0.00497512437809914
15957,Maine,2016,26,0.0069914298601556355
16011,Maine,2016,27,0.0031241864097809836
16065,Maine,2016,28,0.004363953742080812
16119,Maine,2016,29,0.007076514816437248
16173,Maine,2016,30,0.005310909493238967
16227,Maine,2016,31,0.004424778761051643
16281,Maine,2016,32,0.004716981132064877
16335,Maine,2016,33,0.005785301049912609
16389,Maine,2016,34,0.004391743522168661
16443,Maine,2016,35,0.004450738417955795
16497,Maine,2016,36,0.007204610950991343
16551,Maine,2016,37,0.006794317479911892
16605,Maine,2016,38,0.01029159519723351
16659,Maine,2016,39,0.00596506178098431
16713,Maine,2016,40,0.008334843268692998
16767,Maine,2016,41,0.007411524921238815
16821,Maine,2016,42,0.00847301528825111
16875,Maine,2016,43,0.009374402142702555
16929,Maine,2016,44,0.008920275041797212
16983,Maine,2016,45,0.005957754107228818
17037,Maine,2016,46,0.007610619469013078
17091,Maine,2016,47,0.0072192513368790935
17145,Maine,2016,48,0.008155699721949666
17199,Maine,2016,49,0.007731958762872364
17253,Maine,2016,50,0.005739795918355145
17307,Maine,2016,51,0.0069211877651106915
17361,Maine,2016,52,0.010444743935274782
17415,Maine,2017,1,0.00892857142855331
17469,Maine,2017,2,0.006465517241365376
17523,Maine,2017,3,0.009083728278023137
17577,Maine,2017,4,0.008131734092278652
17631,Maine,2017,5,0.00931445603575016
17685,Maine,2017,6,0.01611170784099654
17739,Maine,2017,7,0.012090211578674518
17793,Maine,2017,8,0.012315812623680854
17847,Maine,2017,9,0.013825723121677597
17901,Maine,2017,10,0.016396497111950074
17955,Maine,2017,11,0.01845018450180497
18009,Maine,2017,12,0.02241379310339997
18063,Maine,2017,13,0.01666666666662913
18117,Maine,2017,14,0.018733850129158628
18171,Maine,2017,15,0.02106800166870866
18225,Maine,2017,16,0.012036108324944745
18279,Maine,2017,17,0.00965250965248636
18333,Maine,2017,18,0.008810572687204242
18387,Maine,2017,19,0.007419818094764433
18441,Maine,2017,20,0.004295302013411288
18495,Maine,2017,21,0.005355548943750802
18549,Maine,2017,22,0.008950086058488984
18603,Maine,2017,23,0.00713470319632667
18657,Maine,2017,24,0.006020642201817601
18711,Maine,2017,25,0.004624277456634034
18765,Maine,2017,26,0.008147254073602452
18819,Maine,2017,27,0.004734158776384799
18873,Maine,2017,28,0.004187855219849872
18927,Maine,2017,29,0.0029850746268567613
18981,Maine,2017,30,0.005932203389813751
19035,Maine,2017,31,0.0033587786259439427
19089,Maine,2017,32,0.0032258064516034433
19143,Maine,2017,33,0.003855278766299362
19197,Maine,2017,34,0.004735128736298506
19251,Maine,2017,35,0.004572735067148978
19305,Maine,2017,36,0.0035087719298133695
19359,Maine,2017,37,0.004871447902557858
19413,Maine,2017,38,0.006515580736525452
19467,Maine,2017,39,0.005466347796359869
19521,Maine,2017,40,0.0029498525073649627
19575,Maine,2017,41,0.005880780539946858
19629,Maine,2017,42,0.00797084946479624
19683,Maine,2017,43,0.007827324478159802
19737,Maine,2017,44,0.004117647058811419
19791,Maine,2017,45,0.0052505966586986865
19845,Maine,2017,46,0.008050478677093015
19899,Maine,2017,47,0.009090909090874656
19953,Maine,2017,48,0.010896213565756208
20007,Maine,2017,49,0.008545034642012598
20061,Maine,2017,50,0.007820646506757506
20115,Maine,2017,51,0.009681881051148875
20169,Maine,2017,52,0.011933174224286715
20223,Maine,2018,1,0.008849557522092568
20277,Maine,2018,2,0.00542770299608027
20331,Maine,2018,3,0.008133860097587419
20385,Maine,2018,4,0.013141161509086178
20439,Maine,2018,5,0.012668409410792945
20493,Maine,2018,6,0.015267175572486712
20547,Maine,2018,7,0.015229430379716715
20601,Maine,2018,8,0.015775034293516746
20655,Maine,2018,9,0.009679370840875823
20709,Maine,2018,10,0.006647398843911424
20763,Maine,2018,11,0.010371869466201944
20817,Maine,2018,12,0.007093723129821381
20871,Maine,2018,13,0.0056772100567605895
20925,Maine,2018,14,0.005564715581192158
20979,Maine,2018,15,0.005570455952123849
21033,Maine,2018,16,0.005968169761260017
21087,Maine,2018,17,0.0030103995621154614
21141,Maine,2018,18,0.0042351768809062405
21195,Maine,2018,19,0.001941747572810821
21249,Maine,2018,20,0.0010864841373292341
21303,Maine,2018,21,0.0016936849745906274
21357,Maine,2018,22,0.0006226650062247115
21411,Maine,2018,23,0.0
21465,Maine,2018,24,0.0009119927040562882
21519,Maine,2018,25,0.0009293680297376176
21573,Maine,2018,26,0.0
21627,Maine,2018,27,0.0008695652173887839
21681,Maine,2018,28,0.0002364625206899114
21735,Maine,2018,29,0.0
21789,Maine,2018,30,0.000675675675673393
21843,Maine,2018,31,0.0007340347443094348
21897,Maine,2018,32,0.0004586104104552657
21951,Maine,2018,33,0.0007839038411267732
22005,Maine,2018,34,0.0004879238838729253
22059,Maine,2018,35,0.0
22113,Maine,2018,36,0.000526177321756048
22167,Maine,2018,37,0.0
22221,Maine,2018,38,0.0012288786482297115
22275,Maine,2018,39,0.0005775339301167268
