,REGION,YEAR,WEEK,ili_ratio
20,Maryland,2010,40,0.013192017138332176
72,Maryland,2010,41,0.020987916048291314
124,Maryland,2010,42,0.014543926019323628
176,Maryland,2010,43,0.01267691239036843
228,Maryland,2010,44,0.014538621303516427
280,Maryland,2010,45,0.014215904042631922
332,Maryland,2010,46,0.01500144244637465
384,Maryland,2010,47,0.02012578616349037
436,Maryland,2010,48,0.018634233430017143
488,Maryland,2010,49,0.015510948905093762
540,Maryland,2010,50,0.020084930563502714
592,Maryland,2010,51,0.027380015735598142
644,Maryland,2010,52,0.03684502869832097
696,Maryland,2011,1,0.022706065318794495
748,Maryland,2011,2,0.023627144244229552
800,Maryland,2011,3,0.04124205730722785
852,Maryland,2011,4,0.03800755429646127
904,Maryland,2011,5,0.040101041995537205
956,Maryland,2011,6,0.03652623639690063
1008,Maryland,2011,7,0.030564708555811195
1060,Maryland,2011,8,0.026254159990106923
1112,Maryland,2011,9,0.0214093598708753
1164,Maryland,2011,10,0.019921215531772736
1216,Maryland,2011,11,0.016609783845259827
1268,Maryland,2011,12,0.01778779907300791
1320,Maryland,2011,13,0.012256923983485848
1372,Maryland,2011,14,0.015728813559300708
1424,Maryland,2011,15,0.019407894736810184
1476,Maryland,2011,16,0.019560637977701533
1528,Maryland,2011,17,0.01051989632564336
1580,Maryland,2011,18,0.011326419213958343
1632,Maryland,2011,19,0.010145131745793793
1684,Maryland,2011,20,0.008502086875856388
1736,Maryland,2011,21,0.012497971108565983
1788,Maryland,2011,22,0.008893709327529515
1840,Maryland,2011,23,0.014158576051751299
1892,Maryland,2011,24,0.017847581652654206
1944,Maryland,2011,25,0.012092341517017054
1996,Maryland,2011,26,0.012101421436780443
2048,Maryland,2011,27,0.023954372623483065
2100,Maryland,2011,28,0.012818292049172323
2152,Maryland,2011,29,0.012080778939754632
2204,Maryland,2011,30,0.02377260981899859
2256,Maryland,2011,31,0.017229953611625295
2308,Maryland,2011,32,0.010255454036900513
2360,Maryland,2011,33,0.009275775954318095
2412,Maryland,2011,34,0.014669926650339157
2464,Maryland,2011,35,0.012051155927171542
2516,Maryland,2011,36,0.0113186191284343
2568,Maryland,2011,37,0.010832497492455703
2620,Maryland,2011,38,0.02095697329372968
2672,Maryland,2011,39,0.018796992481169356
2724,Maryland,2011,40,0.020072353833562758
2777,Maryland,2011,41,0.017117882724272043
2830,Maryland,2011,42,0.013859373556302448
2883,Maryland,2011,43,0.018288508557439326
2936,Maryland,2011,44,0.017001381362217616
2989,Maryland,2011,45,0.017845117845097815
3042,Maryland,2011,46,0.021259293680272698
3095,Maryland,2011,47,0.02024996044926396
3148,Maryland,2011,48,0.01911796654353778
3201,Maryland,2011,49,0.017290410647233204
3254,Maryland,2011,50,0.020408163265283236
3307,Maryland,2011,51,0.024871355059998754
3360,Maryland,2011,52,0.026311173478290983
3413,Maryland,2012,1,0.019166563620601994
3466,Maryland,2012,2,0.01893306604296811
3519,Maryland,2012,3,0.02186254378545493
3572,Maryland,2012,4,0.020434870142922855
3625,Maryland,2012,5,0.01962922573607456
3678,Maryland,2012,6,0.02637166163814239
3731,Maryland,2012,7,0.02767233990445981
3784,Maryland,2012,8,0.018841591067668244
