,REGION,YEAR,WEEK,ili_ratio
21,Massachusetts,2010,40,0.006046210321742587
73,Massachusetts,2010,41,0.00887865833607001
125,Massachusetts,2010,42,0.007448059584474021
177,Massachusetts,2010,43,0.007837206104768377
229,Massachusetts,2010,44,0.008124210146232849
281,Massachusetts,2010,45,0.007329309398758591
333,Massachusetts,2010,46,0.008034863134955729
385,Massachusetts,2010,47,0.00958095422432518
437,Massachusetts,2010,48,0.009031854656612695
489,Massachusetts,2010,49,0.009674895070068409
541,Massachusetts,2010,50,0.011200510403001736
593,Massachusetts,2010,51,0.01306488568224391
645,Massachusetts,2010,52,0.014601018675713298
697,Massachusetts,2011,1,0.011791350612930298
749,Massachusetts,2011,2,0.016916746331926965
801,Massachusetts,2011,3,0.01525584463777048
853,Massachusetts,2011,4,0.018638514743349602
905,Massachusetts,2011,5,0.02371265359798475
957,Massachusetts,2011,6,0.023314155739890517
1009,Massachusetts,2011,7,0.026521516767726117
1061,Massachusetts,2011,8,0.024562798092200095
1113,Massachusetts,2011,9,0.01938069216757035
1165,Massachusetts,2011,10,0.020434539611561955
1217,Massachusetts,2011,11,0.017797017797011212
1269,Massachusetts,2011,12,0.015107785497945801
1321,Massachusetts,2011,13,0.015324007611920234
1373,Massachusetts,2011,14,0.013912618989499664
1425,Massachusetts,2011,15,0.01281554765341238
1477,Massachusetts,2011,16,0.01252367016697688
1529,Massachusetts,2011,17,0.00991171749598318
1581,Massachusetts,2011,18,0.00912763728863941
1633,Massachusetts,2011,19,0.007501594088741044
1685,Massachusetts,2011,20,0.008123291831153916
1737,Massachusetts,2011,21,0.009549480169422584
1789,Massachusetts,2011,22,0.009148550724633537
1841,Massachusetts,2011,23,0.00875650705001939
1893,Massachusetts,2011,24,0.009403442177453564
1945,Massachusetts,2011,25,0.00814392196558013
1997,Massachusetts,2011,26,0.007446195234431473
2049,Massachusetts,2011,27,0.007716826035895701
2101,Massachusetts,2011,28,0.007514398848088771
2153,Massachusetts,2011,29,0.007425629811850291
2205,Massachusetts,2011,30,0.007086650407249051
2257,Massachusetts,2011,31,0.006514519288083746
2309,Massachusetts,2011,32,0.006794266302093465
2361,Massachusetts,2011,33,0.006072528224424362
2413,Massachusetts,2011,34,0.006018518518515985
2465,Massachusetts,2011,35,0.006206289657724883
2517,Massachusetts,2011,36,0.005782556750295922
2569,Massachusetts,2011,37,0.006372414871571847
2621,Massachusetts,2011,38,0.006674038385590919
2673,Massachusetts,2011,39,0.008376638485996906
2725,Massachusetts,2011,40,0.006604101494610148
2778,Massachusetts,2011,41,0.011542048810814727
2831,Massachusetts,2011,42,0.009331206949201136
2884,Massachusetts,2011,43,0.010205119511778198
2937,Massachusetts,2011,44,0.010463725750727324
2990,Massachusetts,2011,45,0.010059502284752931
3043,Massachusetts,2011,46,0.00861158769961442
3096,Massachusetts,2011,47,0.010904977375560676
3149,Massachusetts,2011,48,0.008630952380949526
3202,Massachusetts,2011,49,0.008348383139670717
3255,Massachusetts,2011,50,0.0102838481047805
3308,Massachusetts,2011,51,0.012838572061008234
3361,Massachusetts,2011,52,0.014287909049001747
3414,Massachusetts,2012,1,0.01216093659823062
3467,Massachusetts,2012,2,0.011987041036712748
3520,Massachusetts,2012,3,0.012608416318658605
3573,Massachusetts,2012,4,0.011872330407287569
3626,Massachusetts,2012,5,0.01149151735626713
3679,Massachusetts,2012,6,0.011161193389135307
3732,Massachusetts,2012,7,0.011331846028538074
3785,Massachusetts,2012,8,0.013315288570674358
3838,Massachusetts,2012,9,0.010792799971022131
3891,Massachusetts,2012,10,0.00949090909090564
3944,Massachusetts,2012,11,0.011441557932678405
3997,Massachusetts,2012,12,0.012272291466917632
4050,Massachusetts,2012,13,0.007271519267677812
4103,Massachusetts,2012,14,0.010832083958016929
4156,Massachusetts,2012,15,0.010401133313446763
4209,Massachusetts,2012,16,0.011160235223414534
4262,Massachusetts,2012,17,0.00858855346831058
4315,Massachusetts,2012,18,0.006770635222515492
4368,Massachusetts,2012,19,0.008459238275098969
4421,Massachusetts,2012,20,0.007615495201457973
4474,Massachusetts,2012,21,0.007878358150158403
4527,Massachusetts,2012,22,0.0075794383441805556
4580,Massachusetts,2012,23,0.006658670747339981
4633,Massachusetts,2012,24,0.00704399406821262
4686,Massachusetts,2012,25,0.007148464939462357
4739,Massachusetts,2012,26,0.007097292045115501
4792,Massachusetts,2012,27,0.008105086640576799
4845,Massachusetts,2012,28,0.007928684695492252
4898,Massachusetts,2012,29,0.007300554138443442
4951,Massachusetts,2012,30,0.006057592333074428
5004,Massachusetts,2012,31,0.006661732050330004
5057,Massachusetts,2012,32,0.007257291524027907
5110,Massachusetts,2012,33,0.006661337596586436
5163,Massachusetts,2012,34,0.005455683749214983
5216,Massachusetts,2012,35,0.00604952778865559
5269,Massachusetts,2012,36,0.007176453474272813
5322,Massachusetts,2012,37,0.007568975339786942
5375,Massachusetts,2012,38,0.00635544256990742
5428,Massachusetts,2012,39,0.006607073455108197
5481,Massachusetts,2012,40,0.0069107275755725586
5534,Massachusetts,2012,41,0.007210363369721684
5587,Massachusetts,2012,42,0.010472843672798276
5640,Massachusetts,2012,43,0.007009016624398771
5693,Massachusetts,2012,44,0.007901998494854125
5746,Massachusetts,2012,45,0.006577024261909319
5799,Massachusetts,2012,46,0.007960162838031418
5852,Massachusetts,2012,47,0.010444114406165647
5905,Massachusetts,2012,48,0.010161709597916964
5958,Massachusetts,2012,49,0.016181229773457328
6011,Massachusetts,2012,50,0.020691261102418184
6064,Massachusetts,2012,51,0.030747847311671725
6117,Massachusetts,2012,52,0.04360602403314078
6170,Massachusetts,2013,1,0.030003013215087596
6223,Massachusetts,2013,2,0.02579915715900031
6276,Massachusetts,2013,3,0.02372274865813275
6329,Massachusetts,2013,4,0.024889810733721658
6382,Massachusetts,2013,5,0.020679518731193367
6435,Massachusetts,2013,6,0.0192757704358786
6488,Massachusetts,2013,7,0.01666666666666041
6541,Massachusetts,2013,8,0.01590414872297109
6594,Massachusetts,2013,9,0.013083838900660373
6647,Massachusetts,2013,10,0.014692267439514272
6700,Massachusetts,2013,11,0.01402834668502772
6753,Massachusetts,2013,12,0.01390683182612132
6806,Massachusetts,2013,13,0.014682766504710388
6859,Massachusetts,2013,14,0.01516584357815307
6912,Massachusetts,2013,15,0.015702332205798218
6965,Massachusetts,2013,16,0.013763993393276856
7018,Massachusetts,2013,17,0.008704953708823465
7071,Massachusetts,2013,18,0.009428337184165823
7124,Massachusetts,2013,19,0.009081356949861497
7177,Massachusetts,2013,20,0.007839687942174522
7230,Massachusetts,2013,21,0.006100742524581136
7283,Massachusetts,2013,22,0.0067381607668184785
7336,Massachusetts,2013,23,0.005138911193188879
7389,Massachusetts,2013,24,0.006889242183357022
7442,Massachusetts,2013,25,0.005850761908917674
7495,Massachusetts,2013,26,0.006022356969019501
7548,Massachusetts,2013,27,0.006026041106205732
7601,Massachusetts,2013,28,0.005213289751332196
7654,Massachusetts,2013,29,0.006038866690879931
7707,Massachusetts,2013,30,0.004472311132545064
7760,Massachusetts,2013,31,0.004813477737663466
7813,Massachusetts,2013,32,0.005853310938053721
7866,Massachusetts,2013,33,0.004463496552941284
7919,Massachusetts,2013,34,0.005259040333794655
7972,Massachusetts,2013,35,0.0037996004543837205
8025,Massachusetts,2013,36,0.0025602234376788545
8078,Massachusetts,2013,37,0.004313886606407431
8131,Massachusetts,2013,38,0.005321835061956523
8184,Massachusetts,2013,39,0.004952553778683243
8237,Massachusetts,2013,40,0.006212164432187185
8291,Massachusetts,2013,41,0.007022428460941369
8345,Massachusetts,2013,42,0.008382347761769316
8399,Massachusetts,2013,43,0.007143312711267573
8453,Massachusetts,2013,44,0.007528641571192298
8507,Massachusetts,2013,45,0.007926023778068841
8561,Massachusetts,2013,46,0.008582440003883609
8615,Massachusetts,2013,47,0.008086166186884857
8669,Massachusetts,2013,48,0.010488212363091476
8723,Massachusetts,2013,49,0.00840584468888248
8777,Massachusetts,2013,50,0.012438670444332651
8831,Massachusetts,2013,51,0.013106016355135402
8885,Massachusetts,2013,52,0.018777268459701343
