,REGION,YEAR,WEEK,ili_ratio
22,Michigan,2010,40,0.006718310824702325
74,Michigan,2010,41,0.005850113923267535
126,Michigan,2010,42,0.005242379134033239
178,Michigan,2010,43,0.009214354995144754
230,Michigan,2010,44,0.008634173809667375
282,Michigan,2010,45,0.008066388115129951
334,Michigan,2010,46,0.006554813879363428
386,Michigan,2010,47,0.008551775422933117
438,Michigan,2010,48,0.005646092647243907
490,Michigan,2010,49,0.0056339895274039676
542,Michigan,2010,50,0.0075568546374794624
594,Michigan,2010,51,0.006839186691306063
646,Michigan,2010,52,0.008996314762617606
698,Michigan,2011,1,0.006870392900589085
750,Michigan,2011,2,0.008336615465400855
802,Michigan,2011,3,0.010462013762104717
854,Michigan,2011,4,0.015903067020058118
906,Michigan,2011,5,0.01737422571384093
958,Michigan,2011,6,0.02277309927646615
1010,Michigan,2011,7,0.02296105804554068
1062,Michigan,2011,8,0.027102330293802494
1114,Michigan,2011,9,0.021339004179789293
1166,Michigan,2011,10,0.021837302814709657
1218,Michigan,2011,11,0.017082875960471266
1270,Michigan,2011,12,0.013110773899840297
1322,Michigan,2011,13,0.010893111344921153
1374,Michigan,2011,14,0.00834343578406308
1426,Michigan,2011,15,0.005587270739702667
1478,Michigan,2011,16,0.006403485608656982
1530,Michigan,2011,17,0.004986400725291422
1582,Michigan,2011,18,0.005566908604040894
1634,Michigan,2011,19,0.005844291379666148
1686,Michigan,2011,20,0.008401059263986484
1738,Michigan,2011,21,0.005271084337344436
1790,Michigan,2011,22,0.0054226475279049195
1842,Michigan,2011,23,0.0053504962779114835
1894,Michigan,2011,24,0.005519701086951834
1946,Michigan,2011,25,0.004824642790865814
1998,Michigan,2011,26,0.00616508733873026
2050,Michigan,2011,27,0.00580738828842425
2102,Michigan,2011,28,0.004313650306744331
2154,Michigan,2011,29,0.0038582597217952496
2206,Michigan,2011,30,0.0029934144881231355
2258,Michigan,2011,31,0.005647382920102414
2310,Michigan,2011,32,0.004338663691577614
2362,Michigan,2011,33,0.004309460291397178
2414,Michigan,2011,34,0.004936120789774548
2466,Michigan,2011,35,0.006965867250465751
2518,Michigan,2011,36,0.006794231835819753
2570,Michigan,2011,37,0.005424954792038728
2622,Michigan,2011,38,0.00440232801074138
2674,Michigan,2011,39,0.006538084341282659
2726,Michigan,2011,40,0.006001714775646755
2779,Michigan,2011,41,0.00606741573033367
2832,Michigan,2011,42,0.005718450412061603
2885,Michigan,2011,43,0.005144838384965247
2938,Michigan,2011,44,0.0067739694302878795
2991,Michigan,2011,45,0.006715954624975045
3044,Michigan,2011,46,0.005273566249172845
3097,Michigan,2011,47,0.006545517181976965
3150,Michigan,2011,48,0.005169511901896387
3203,Michigan,2011,49,0.005561667277835495
3256,Michigan,2011,50,0.007025615518523361
3309,Michigan,2011,51,0.0066339992461314475
3362,Michigan,2011,52,0.007238307349657863
3415,Michigan,2012,1,0.0060413094946476925
3468,Michigan,2012,2,0.006304527797232182
3521,Michigan,2012,3,0.006795236862537668
3574,Michigan,2012,4,0.0075909394546623
3627,Michigan,2012,5,0.010434379347649996
3680,Michigan,2012,6,0.007630351843997074
3733,Michigan,2012,7,0.01038084320468069
3786,Michigan,2012,8,0.009427440135749213
3839,Michigan,2012,9,0.011164066070372028
3892,Michigan,2012,10,0.014762165117539043
3945,Michigan,2012,11,0.0165564998426084
3998,Michigan,2012,12,0.011007620660450069
4051,Michigan,2012,13,0.006797281087560444
4104,Michigan,2012,14,0.0073924731182740495
4157,Michigan,2012,15,0.007118644067791784
4210,Michigan,2012,16,0.0057748488348353996
4263,Michigan,2012,17,0.0057342472976497924
4316,Michigan,2012,18,0.008930119646255478
4369,Michigan,2012,19,0.008253341706281283
4422,Michigan,2012,20,0.007460572291994087
4475,Michigan,2012,21,0.00531246981550728
4528,Michigan,2012,22,0.005696923661215728
4581,Michigan,2012,23,0.005490483162511602
4634,Michigan,2012,24,0.0054594029503944016
4687,Michigan,2012,25,0.0064231738035183585
4740,Michigan,2012,26,0.0017849787175589936
4793,Michigan,2012,27,0.008283254831885198
4846,Michigan,2012,28,0.005884429798745575
4899,Michigan,2012,29,0.0043684018929688526
4952,Michigan,2012,30,0.005131414267828371
5005,Michigan,2012,31,0.005411906193619468
5058,Michigan,2012,32,0.003561580882348849
5111,Michigan,2012,33,0.005096966683235832
5164,Michigan,2012,34,0.005898639701449502
5217,Michigan,2012,35,0.00503888706319965
5270,Michigan,2012,36,0.006184066933422839
5323,Michigan,2012,37,0.004568023833163288
5376,Michigan,2012,38,0.005433398420913971
5429,Michigan,2012,39,0.003045685279185006
5482,Michigan,2012,40,0.008492179863142416
5535,Michigan,2012,41,0.00923706518561284
5588,Michigan,2012,42,0.010062665702572872
5641,Michigan,2012,43,0.007709313530974599
5694,Michigan,2012,44,0.011360718870339306
5747,Michigan,2012,45,0.010160779391542548
5800,Michigan,2012,46,0.013307141499262843
5853,Michigan,2012,47,0.014505459472372275
5906,Michigan,2012,48,0.01243308582282137
5959,Michigan,2012,49,0.014508711704116517
6012,Michigan,2012,50,0.018123987277190105
6065,Michigan,2012,51,0.029496458868371468
6118,Michigan,2012,52,0.04813698040055121
6171,Michigan,2013,1,0.04432422999734375
6224,Michigan,2013,2,0.03876573465520844
6277,Michigan,2013,3,0.04079782411602403
6330,Michigan,2013,4,0.044205794205766605
6383,Michigan,2013,5,0.033971885336250014
6436,Michigan,2013,6,0.0341880341880127
