,REGION,YEAR,WEEK,ili_ratio
23,Minnesota,2010,40,0.005747995764626005
75,Minnesota,2010,41,0.005412929167947088
127,Minnesota,2010,42,0.005211623499675914
179,Minnesota,2010,43,0.006377163680524784
231,Minnesota,2010,44,0.008058017727626014
283,Minnesota,2010,45,0.008201202843068706
335,Minnesota,2010,46,0.007027631368779703
387,Minnesota,2010,47,0.011009604122719584
439,Minnesota,2010,48,0.00855417645084107
491,Minnesota,2010,49,0.0058433354390305696
543,Minnesota,2010,50,0.011611887423712632
595,Minnesota,2010,51,0.010121982870464256
647,Minnesota,2010,52,0.011053315994762506
699,Minnesota,2011,1,0.013707865168508523
751,Minnesota,2011,2,0.010691537761577136
803,Minnesota,2011,3,0.018365061590104446
855,Minnesota,2011,4,0.019813750742976394
907,Minnesota,2011,5,0.025663144274259947
959,Minnesota,2011,6,0.025115531444594906
1011,Minnesota,2011,7,0.03149300155514873
1063,Minnesota,2011,8,0.029869852784233264
1115,Minnesota,2011,9,0.032309853501841644
1167,Minnesota,2011,10,0.02840666381882015
1219,Minnesota,2011,11,0.02805786935548431
1271,Minnesota,2011,12,0.02385849444668067
1323,Minnesota,2011,13,0.021843687374705725
1375,Minnesota,2011,14,0.020459859703779306
1427,Minnesota,2011,15,0.01402351000203336
1479,Minnesota,2011,16,0.013286713286682315
1531,Minnesota,2011,17,0.010142923005970163
1583,Minnesota,2011,18,0.005889570552132787
1635,Minnesota,2011,19,0.005821645938063452
1687,Minnesota,2011,20,0.007564736688950932
1739,Minnesota,2011,21,0.005979498861030811
1791,Minnesota,2011,22,0.005247376311824411
1843,Minnesota,2011,23,0.005237215033871727
1895,Minnesota,2011,24,0.004365541327111858
1947,Minnesota,2011,25,0.008114157806356704
1999,Minnesota,2011,26,0.003347534996946599
2051,Minnesota,2011,27,0.009362621533995814
2103,Minnesota,2011,28,0.003584229390670298
2155,Minnesota,2011,29,0.004686035613856027
2207,Minnesota,2011,30,0.001611603545521307
2259,Minnesota,2011,31,0.0056267583619705325
2311,Minnesota,2011,32,0.003625377643493579
2363,Minnesota,2011,33,0.009501187648343215
2415,Minnesota,2011,34,0.005616399887656231
2467,Minnesota,2011,35,0.007617728531803202
2519,Minnesota,2011,36,0.0064647839400936895
2571,Minnesota,2011,37,0.010107015457758302
2623,Minnesota,2011,38,0.010989010988966263
2675,Minnesota,2011,39,0.017536867277730024
2727,Minnesota,2011,40,0.00694883133289756
2780,Minnesota,2011,41,0.008488063660462444
2833,Minnesota,2011,42,0.015597147950054374
2886,Minnesota,2011,43,0.010668276972603325
2939,Minnesota,2011,44,0.015546918378649738
2992,Minnesota,2011,45,0.016682464454944677
3045,Minnesota,2011,46,0.012756018684849522
3098,Minnesota,2011,47,0.019451371571023814
3151,Minnesota,2011,48,0.013472247170803895
3204,Minnesota,2011,49,0.012677679600436654
3257,Minnesota,2011,50,0.013259195893898077
3310,Minnesota,2011,51,0.021710952689495428
3363,Minnesota,2011,52,0.03250085528555422
3416,Minnesota,2012,1,0.01807407407402052
3469,Minnesota,2012,2,0.016666666666623264
3522,Minnesota,2012,3,0.011601513240828244
3575,Minnesota,2012,4,0.014806378132084724
3628,Minnesota,2012,5,0.016540317022704937
3681,Minnesota,2012,6,0.01700828608805711
3734,Minnesota,2012,7,0.01779755283644539
3787,Minnesota,2012,8,0.018249999999954376
3840,Minnesota,2012,9,0.021186440677918854
3893,Minnesota,2012,10,0.019972260748904378
3946,Minnesota,2012,11,0.022808815991740623
3999,Minnesota,2012,12,0.024133083411377383
4052,Minnesota,2012,13,0.01746623195151964
4105,Minnesota,2012,14,0.01910686514103731
4158,Minnesota,2012,15,0.0155038759689569
4211,Minnesota,2012,16,0.01273442926600432
4264,Minnesota,2012,17,0.01290181500106516
4317,Minnesota,2012,18,0.016444232602439362
4370,Minnesota,2012,19,0.017696160267052768
4423,Minnesota,2012,20,0.013626509755300012
4476,Minnesota,2012,21,0.005299417064108905
4529,Minnesota,2012,22,0.006942253076658435
4582,Minnesota,2012,23,0.007526602647268293
4635,Minnesota,2012,24,0.007054673721319652
