,REGION,YEAR,WEEK,ili_ratio
24,Mississippi,2010,40,0.029098020623427107
76,Mississippi,2010,41,0.029707469468884005
128,Mississippi,2010,42,0.0298140807324941
180,Mississippi,2010,43,0.03148039789348655
232,Mississippi,2010,44,0.033557046979845295
284,Mississippi,2010,45,0.039309509388225736
336,Mississippi,2010,46,0.04465747018935898
388,Mississippi,2010,47,0.04838113997288663
440,Mississippi,2010,48,0.048850913376518056
492,Mississippi,2010,49,0.05338359579251329
544,Mississippi,2010,50,0.08815728782282739
596,Mississippi,2010,51,0.1081657525898183
648,Mississippi,2010,52,0.09033891478215643
700,Mississippi,2011,1,0.06758440633711055
752,Mississippi,2011,2,0.059445877140739636
804,Mississippi,2011,3,0.06626318088221983
856,Mississippi,2011,4,0.06581289840919669
908,Mississippi,2011,5,0.06808561378401712
960,Mississippi,2011,6,0.06147540983602852
1012,Mississippi,2011,7,0.05964182047206328
1064,Mississippi,2011,8,0.05017401392108458
1116,Mississippi,2011,9,0.04257861635217448
1168,Mississippi,2011,10,0.04015518913673446
1220,Mississippi,2011,11,0.03772972270924233
1272,Mississippi,2011,12,0.030401801588224246
1324,Mississippi,2011,13,0.033579180907817
1376,Mississippi,2011,14,0.03136419001216117
1428,Mississippi,2011,15,0.031313982897728944
1480,Mississippi,2011,16,0.02858821225766687
1532,Mississippi,2011,17,0.02722146607036929
1584,Mississippi,2011,18,0.023214752811912622
1636,Mississippi,2011,19,0.024022878932301223
1688,Mississippi,2011,20,0.02186722535025411
1740,Mississippi,2011,21,0.022718214428043896
1792,Mississippi,2011,22,0.024078624078609286
1844,Mississippi,2011,23,0.021341649850167344
1896,Mississippi,2011,24,0.018837121687794275
1948,Mississippi,2011,25,0.018323043218470208
2000,Mississippi,2011,26,0.016359286982007594
2052,Mississippi,2011,27,0.01716298430994738
2104,Mississippi,2011,28,0.016412188067521077
2156,Mississippi,2011,29,0.01838918434034831
2208,Mississippi,2011,30,0.015190691661270076
2260,Mississippi,2011,31,0.014625585023391428
2312,Mississippi,2011,32,0.01619672131146479
2364,Mississippi,2011,33,0.019542298791450537
2416,Mississippi,2011,34,0.025765306122432545
2468,Mississippi,2011,35,0.020514429109146477
2520,Mississippi,2011,36,0.024805346930321225
2572,Mississippi,2011,37,0.023524923702935192
2624,Mississippi,2011,38,0.024318507890943815
2676,Mississippi,2011,39,0.027978156812493778
2728,Mississippi,2011,40,0.02627246987553416
2781,Mississippi,2011,41,0.025987731679951196
2834,Mississippi,2011,42,0.026126542191709356
2887,Mississippi,2011,43,0.026922278358345268
2940,Mississippi,2011,44,0.02850422028502248
2993,Mississippi,2011,45,0.03225806451610675
3046,Mississippi,2011,46,0.03533112849880186
3099,Mississippi,2011,47,0.02872795296630897
3152,Mississippi,2011,48,0.033686541198771396
3205,Mississippi,2011,49,0.04284807448154586
3258,Mississippi,2011,50,0.03776758409783045
3311,Mississippi,2011,51,0.0397266446379996
3364,Mississippi,2011,52,0.04145142216963873
3417,Mississippi,2012,1,0.02979061107378683
3470,Mississippi,2012,2,0.034684169326166865
3523,Mississippi,2012,3,0.030513844882194163
3576,Mississippi,2012,4,0.03172447845942987
3629,Mississippi,2012,5,0.04152249134945484
3682,Mississippi,2012,6,0.04073139974776751
3735,Mississippi,2012,7,0.03865962579044353
3788,Mississippi,2012,8,0.03834162520727141
3841,Mississippi,2012,9,0.04676707997000352
3894,Mississippi,2012,10,0.0517955281186089
3947,Mississippi,2012,11,0.053207517246805794
4000,Mississippi,2012,12,0.043779371753612184
4053,Mississippi,2012,13,0.04136804862556349
4106,Mississippi,2012,14,0.03824708137302819
4159,Mississippi,2012,15,0.03213832177392582
4212,Mississippi,2012,16,0.02776069577437603
4265,Mississippi,2012,17,0.029274004683817894
4318,Mississippi,2012,18,0.031875700784853536
4371,Mississippi,2012,19,0.03097893432463665
4424,Mississippi,2012,20,0.033536070282113924
4477,Mississippi,2012,21,0.03728320697887913
4530,Mississippi,2012,22,0.027730915225613946
4583,Mississippi,2012,23,0.02962614624967126
4636,Mississippi,2012,24,0.028424405782861525
4689,Mississippi,2012,25,0.01930607412802176
4742,Mississippi,2012,26,0.025489927367376333
4795,Mississippi,2012,27,0.02210411885490747
4848,Mississippi,2012,28,0.020436175080035937
4901,Mississippi,2012,29,0.020614469772010674
4954,Mississippi,2012,30,0.02774761732413108
5007,Mississippi,2012,31,0.03341410534366355
5060,Mississippi,2012,32,0.025631407851930944
5113,Mississippi,2012,33,0.020293754905235682
5166,Mississippi,2012,34,0.023271935036617872
5219,Mississippi,2012,35,0.028337061894066613
5272,Mississippi,2012,36,0.02400384061447527
5325,Mississippi,2012,37,0.021687462863911974
5378,Mississippi,2012,38,0.029378143575640853
5431,Mississippi,2012,39,0.03186975826341207
5484,Mississippi,2012,40,0.03241188666203703
5537,Mississippi,2012,41,0.03539823008847071
5590,Mississippi,2012,42,0.0384529730531969
5643,Mississippi,2012,43,0.04118307749903318
5696,Mississippi,2012,44,0.04322810205159874
5749,Mississippi,2012,45,0.05379641909809864
5802,Mississippi,2012,46,0.06507283090558497
5855,Mississippi,2012,47,0.0856247551899055
5908,Mississippi,2012,48,0.06954231617903797
5961,Mississippi,2012,49,0.08217432260204899
6014,Mississippi,2012,50,0.08641628246930932
6067,Mississippi,2012,51,0.13253399855143433
6120,Mississippi,2012,52,0.11565239814329831
6173,Mississippi,2013,1,0.08143244056570483
6226,Mississippi,2013,2,0.06701859077342953
6279,Mississippi,2013,3,0.06094116232943029
6332,Mississippi,2013,4,0.05954978752724271
6385,Mississippi,2013,5,0.05445460223720717
6438,Mississippi,2013,6,0.05198334682545855
6491,Mississippi,2013,7,0.04658200807023108
6544,Mississippi,2013,8,0.04863394172993502
6597,Mississippi,2013,9,0.054670711667264144
6650,Mississippi,2013,10,0.052593010146531796
6703,Mississippi,2013,11,0.057033041968844435
6756,Mississippi,2013,12,0.04084336019425938
6809,Mississippi,2013,13,0.04274480811879646
6862,Mississippi,2013,14,0.036882807852446825
6915,Mississippi,2013,15,0.03179190751443249
6968,Mississippi,2013,16,0.025873597302153686
7021,Mississippi,2013,17,0.025781299125934864
7074,Mississippi,2013,18,0.022783709957770806
7127,Mississippi,2013,19,0.02501432117623002
7180,Mississippi,2013,20,0.024508862865537523
7233,Mississippi,2013,21,0.022547188043533756
7286,Mississippi,2013,22,0.022073492502720848
7339,Mississippi,2013,23,0.016463572724905066
7392,Mississippi,2013,24,0.019955354122965598
7445,Mississippi,2013,25,0.016230604427698348
7498,Mississippi,2013,26,0.01799542739138727
7551,Mississippi,2013,27,0.013960773631153663
7604,Mississippi,2013,28,0.01306175234399414
7657,Mississippi,2013,29,0.01316984559490517
7710,Mississippi,2013,30,0.01491170699802818
7763,Mississippi,2013,31,0.015498869874061672
7816,Mississippi,2013,32,0.016155433776943878
7869,Mississippi,2013,33,0.018514065881206607
7922,Mississippi,2013,34,0.023119586215477585
7975,Mississippi,2013,35,0.0252180508153045
8028,Mississippi,2013,36,0.022819649285783984
8081,Mississippi,2013,37,0.02396073903000926
8134,Mississippi,2013,38,0.021587614876937278
8187,Mississippi,2013,39,0.022738209817118177
8240,Mississippi,2013,40,0.02578921203080674
8294,Mississippi,2013,41,0.028865373309800782
8348,Mississippi,2013,42,0.03590192644481267
8402,Mississippi,2013,43,0.04092449922955875
8456,Mississippi,2013,44,0.04356097880991697
8510,Mississippi,2013,45,0.04645857675399407
8564,Mississippi,2013,46,0.05022882648734379
8618,Mississippi,2013,47,0.05140719049940274
8672,Mississippi,2013,48,0.05770821403572074
8726,Mississippi,2013,49,0.06041599656906807
8780,Mississippi,2013,50,0.06218121382310609
8834,Mississippi,2013,51,0.07286493034520117
8888,Mississippi,2013,52,0.07977347409628764
8942,Mississippi,2014,1,0.0749913204489787
8996,Mississippi,2014,2,0.06178936487879764
9050,Mississippi,2014,3,0.05182287237055518
9104,Mississippi,2014,4,0.04999427327909174
9158,Mississippi,2014,5,0.04836944626829476
9212,Mississippi,2014,6,0.04112171556495751
9266,Mississippi,2014,7,0.037958036941814835
9320,Mississippi,2014,8,0.030201722574778895
9374,Mississippi,2014,9,0.03023021904334475
9428,Mississippi,2014,10,0.030709736123731398
9482,Mississippi,2014,11,0.0218562413421411
9536,Mississippi,2014,12,0.022857142857129528
9590,Mississippi,2014,13,0.02105512183580491
9644,Mississippi,2014,14,0.023334520840741398
9698,Mississippi,2014,15,0.020763968763229758
9752,Mississippi,2014,16,0.021331214473429904
9806,Mississippi,2014,17,0.02130104972797387
9860,Mississippi,2014,18,0.01817498119828392
9914,Mississippi,2014,19,0.01888198757762802
9968,Mississippi,2014,20,0.0199199563398036
10022,Mississippi,2014,21,0.024311401441158117
10076,Mississippi,2014,22,0.02092463428182154
10130,Mississippi,2014,23,0.018596317805499446
10184,Mississippi,2014,24,0.019388873664004255
10238,Mississippi,2014,25,0.014930507774862439
10292,Mississippi,2014,26,0.016425845147207997
10346,Mississippi,2014,27,0.017156497090842042
10400,Mississippi,2014,28,0.013484602917333234
10454,Mississippi,2014,29,0.015185921089969353
10508,Mississippi,2014,30,0.014221886602470441
10562,Mississippi,2014,31,0.01159884652354271
10616,Mississippi,2014,32,0.012929035250456326
10670,Mississippi,2014,33,0.018595425525309243
10724,Mississippi,2014,34,0.021416059219064577
10778,Mississippi,2014,35,0.022490470139756993
10832,Mississippi,2014,36,0.019317970060240188
10886,Mississippi,2014,37,0.022567338024737583
10940,Mississippi,2014,38,0.02310963209464281
10994,Mississippi,2014,39,0.026709335959119507
11048,Mississippi,2014,40,0.022671537961051664
11102,Mississippi,2014,41,0.028778546901385087
11156,Mississippi,2014,42,0.02484647022366057
11210,Mississippi,2014,43,0.02868318122553915
11264,Mississippi,2014,44,0.024588912080626895
11318,Mississippi,2014,45,0.03136978010892103
11372,Mississippi,2014,46,0.03159411340947227
11426,Mississippi,2014,47,0.04270906821509594
11480,Mississippi,2014,48,0.04941814124020967
11534,Mississippi,2014,49,0.05908887896379674
11588,Mississippi,2014,50,0.07210973833791887
11642,Mississippi,2014,51,0.1032802858070323
11696,Mississippi,2014,52,0.11558059774614621
11750,Mississippi,2014,53,0.08092114995804481
11804,Mississippi,2015,1,0.05574930502903424
11858,Mississippi,2015,2,0.05255136896313387
11912,Mississippi,2015,3,0.06331185435201835
11966,Mississippi,2015,4,0.05592807827941393
12020,Mississippi,2015,5,0.0616194608296877
12074,Mississippi,2015,6,0.05832181826842411
12128,Mississippi,2015,7,0.06441977398314112
12182,Mississippi,2015,8,0.06328928046986623
12236,Mississippi,2015,9,0.06420884609440079
12290,Mississippi,2015,10,0.05525200713645447
