,REGION,YEAR,WEEK,ili_ratio
25,Missouri,2010,40,0.011017565741595448
77,Missouri,2010,41,0.009305210918104522
129,Missouri,2010,42,0.009898904802011478
181,Missouri,2010,43,0.009597131406866063
233,Missouri,2010,44,0.011676786548328261
285,Missouri,2010,45,0.012237358577681554
337,Missouri,2010,46,0.01203670599450359
389,Missouri,2010,47,0.014140681653346374
441,Missouri,2010,48,0.015673236760845793
493,Missouri,2010,49,0.013703613873376541
545,Missouri,2010,50,0.014100268576528534
597,Missouri,2010,51,0.0234291799786651
649,Missouri,2010,52,0.02680290241370235
701,Missouri,2011,1,0.02126874846321457
753,Missouri,2011,2,0.02354083242322104
805,Missouri,2011,3,0.022551008232880858
857,Missouri,2011,4,0.036695156695114875
909,Missouri,2011,5,0.050580563066565006
961,Missouri,2011,6,0.048977061376256695
1013,Missouri,2011,7,0.06106163987503057
1065,Missouri,2011,8,0.05434402332355178
1117,Missouri,2011,9,0.038971337940365954
1169,Missouri,2011,10,0.042136945071429475
1221,Missouri,2011,11,0.025409731927295884
1273,Missouri,2011,12,0.024445330144779533
1325,Missouri,2011,13,0.019963425784791277
1377,Missouri,2011,14,0.01611949127474694
1429,Missouri,2011,15,0.013369752731435638
1481,Missouri,2011,16,0.0099348028562404
1533,Missouri,2011,17,0.007112140258010069
1585,Missouri,2011,18,0.006039415130314623
1637,Missouri,2011,19,0.009010512264293325
1689,Missouri,2011,20,0.0071791279985866235
1741,Missouri,2011,21,0.008040388930426252
1793,Missouri,2011,22,0.000808407437345156
1845,Missouri,2011,23,0.0010344827586171224
1897,Missouri,2011,24,0.0003885003884988792
1949,Missouri,2011,25,0.0031583103039748983
2001,Missouri,2011,26,0.0010913059294249134
2053,Missouri,2011,27,0.0016266775111767927
2105,Missouri,2011,28,0.0010956902848754722
2157,Missouri,2011,29,0.0007451564828586247
2209,Missouri,2011,30,0.0003808073114989307
2261,Missouri,2011,31,0.0012259910093942543
2313,Missouri,2011,32,0.00038580246913431405
2365,Missouri,2011,33,0.0003468609087743779
2417,Missouri,2011,34,0.0003181673560282591
2469,Missouri,2011,35,0.0014160294534086208
2521,Missouri,2011,36,0.0024721878862717177
2573,Missouri,2011,37,0.0025481313703212116
2625,Missouri,2011,38,0.002704326923068797
2677,Missouri,2011,39,0.0016142050040311698
2729,Missouri,2011,40,0.009001551991713397
2782,Missouri,2011,41,0.008310847274680722
2835,Missouri,2011,42,0.0071888943976113175
2888,Missouri,2011,43,0.006901925859950014
2941,Missouri,2011,44,0.009440034327387426
