,REGION,YEAR,WEEK,ili_ratio
26,Montana,2010,40,0.0003711952486994388
78,Montana,2010,41,0.001809627216786791
130,Montana,2010,42,0.0018587360594726442
182,Montana,2010,43,0.00036390101892152876
234,Montana,2010,44,0.0004051863857357975
286,Montana,2010,45,0.0024390243902339876
338,Montana,2010,46,0.0010993037742722635
390,Montana,2010,47,0.005370569280314874
442,Montana,2010,48,0.0003805175038037271
494,Montana,2010,49,0.00035945363048037584
546,Montana,2010,50,0.0007727975270449274
598,Montana,2010,51,0.0006242197253394243
650,Montana,2010,52,0.002349256068893115
702,Montana,2011,1,0.0
754,Montana,2011,2,0.0022192632046062174
806,Montana,2011,3,0.0025100401606299697
858,Montana,2011,4,0.0020782819535778378
910,Montana,2011,5,0.008369723435195162
962,Montana,2011,6,0.0035511363636237534
1014,Montana,2011,7,0.0070126227208730275
1066,Montana,2011,8,0.011019283746513108
1118,Montana,2011,9,0.01116538729933299
1170,Montana,2011,10,0.008011653313881968
1222,Montana,2011,11,0.008153756552102057
1274,Montana,2011,12,0.008351893095745123
1326,Montana,2011,13,0.004662004661989138
1378,Montana,2011,14,0.002793296089372471
1430,Montana,2011,15,0.002350176263212837
1482,Montana,2011,16,0.00029788501638278853
1534,Montana,2011,17,0.0
1586,Montana,2011,18,0.0
1638,Montana,2011,19,0.0
1690,Montana,2011,20,0.0
1742,Montana,2011,21,0.0
1794,Montana,2011,22,0.0
1846,Montana,2011,23,0.0
1898,Montana,2011,24,0.0
1950,Montana,2011,25,0.0
2002,Montana,2011,26,0.0
2054,Montana,2011,27,0.0
2106,Montana,2011,28,0.0
2158,Montana,2011,29,0.0
2210,Montana,2011,30,0.0
2262,Montana,2011,31,0.0
2314,Montana,2011,32,0.0
2366,Montana,2011,33,0.0
2418,Montana,2011,34,0.0
2470,Montana,2011,35,0.0
2522,Montana,2011,36,0.0
2574,Montana,2011,37,0.0
2626,Montana,2011,38,0.0005302226935284719
2678,Montana,2011,39,0.0
2730,Montana,2011,40,0.0
2783,Montana,2011,41,0.0009078529278215713
2836,Montana,2011,42,0.0003960396039588276
2889,Montana,2011,43,0.0015948963317320777
2942,Montana,2011,44,0.0017714791851117296
2995,Montana,2011,45,0.0
3048,Montana,2011,46,0.001202886928623886
3101,Montana,2011,47,0.004542504866940023
3154,Montana,2011,48,0.0029498525073622006
3207,Montana,2011,49,0.0017474879860124618
3260,Montana,2011,50,0.0012981393336161916
3313,Montana,2011,51,0.0019305019304895078
3366,Montana,2011,52,0.0016583747926894
3419,Montana,2012,1,0.0012055455093357111
3472,Montana,2012,2,0.0020191822311861726
3525,Montana,2012,3,0.0018039687311978115
3578,Montana,2012,4,0.0017145306472279704
3631,Montana,2012,5,0.002471169686974995
3684,Montana,2012,6,0.0027932960893743285
3737,Montana,2012,7,0.0021123785382251275
3790,Montana,2012,8,0.007410838351054142
3843,Montana,2012,9,0.00468749999998169
3896,Montana,2012,10,0.008458992276541158
3949,Montana,2012,11,0.01173353520056119
4002,Montana,2012,12,0.00744805958444748
4055,Montana,2012,13,0.0015673981191161152
4108,Montana,2012,14,0.0018575851393073835
4161,Montana,2012,15,0.003947368421035319
4214,Montana,2012,16,0.0008216926869317105
4267,Montana,2012,17,0.0040176777822257224
4320,Montana,2012,18,0.0
4373,Montana,2012,19,0.0011952191235012142
4426,Montana,2012,20,0.0
4479,Montana,2012,21,0.0
4532,Montana,2012,22,0.0
4585,Montana,2012,23,0.0
4638,Montana,2012,24,0.0
4691,Montana,2012,25,0.0
4744,Montana,2012,26,0.0
4797,Montana,2012,27,0.0
4850,Montana,2012,28,0.0
4903,Montana,2012,29,0.0
