,REGION,YEAR,WEEK,ili_ratio
27,Nebraska,2010,40,0.021997836278319517
79,Nebraska,2010,41,0.027353177795545643
131,Nebraska,2010,42,0.03311025008794255
183,Nebraska,2010,43,0.020576131687172237
235,Nebraska,2010,44,0.003767123287658332
287,Nebraska,2010,45,0.029610829103131387
339,Nebraska,2010,46,0.024230330672678935
391,Nebraska,2010,47,0.006147540983581363
443,Nebraska,2010,48,0.028156996586950634
495,Nebraska,2010,49,0.024621212121145507
547,Nebraska,2010,50,0.03237095363070175
599,Nebraska,2010,51,0.02220630372484883
651,Nebraska,2010,52,0.03828828828811582
703,Nebraska,2011,1,0.030061892130769048
755,Nebraska,2011,2,0.029593943564936016
807,Nebraska,2011,3,0.031204854088323592
859,Nebraska,2011,4,0.044784270890101625
911,Nebraska,2011,5,0.06280193236689693
963,Nebraska,2011,6,0.03680981595081271
1015,Nebraska,2011,7,0.04431818181805591
1067,Nebraska,2011,8,0.082417582417356
1119,Nebraska,2011,9,0.06802189210302835
1171,Nebraska,2011,10,0.05889570552129173
1223,Nebraska,2011,11,0.02895174708809001
1275,Nebraska,2011,12,0.015635179153043535
1327,Nebraska,2011,13,0.011610486891342283
1379,Nebraska,2011,14,0.00894233734193974
1431,Nebraska,2011,15,0.014393939393884872
1483,Nebraska,2011,16,0.010542168674659104
1535,Nebraska,2011,17,0.005138339920928307
1587,Nebraska,2011,18,0.004215456674453323
1639,Nebraska,2011,19,0.0028328611897902355
1691,Nebraska,2011,20,0.003950617283931109
1743,Nebraska,2011,21,0.00185070943860672
1795,Nebraska,2011,22,0.001833740831284635
1847,Nebraska,2011,23,0.00330250990750791
1899,Nebraska,2011,24,0.00087565674254925
1951,Nebraska,2011,25,0.0016806722688934399
2003,Nebraska,2011,26,0.0006565988181178162
2055,Nebraska,2011,27,0.0012360939431243993
2107,Nebraska,2011,28,0.0005170630816932934
2159,Nebraska,2011,29,0.0014847809947922438
2211,Nebraska,2011,30,0.002643754130848356
2263,Nebraska,2011,31,0.0007462686567108488
2315,Nebraska,2011,32,0.001349527665308033
2367,Nebraska,2011,33,0.0036982248520436526
2419,Nebraska,2011,34,0.0019108280254655362
2471,Nebraska,2011,35,0.003134796238219947
2523,Nebraska,2011,36,0.009329940627571419
2575,Nebraska,2011,37,0.03052064631929515
2627,Nebraska,2011,38,0.01095461658833369
2679,Nebraska,2011,39,0.009337068160510392
2731,Nebraska,2011,40,0.0059263880224394066
2784,Nebraska,2011,41,0.003797031411792209
2837,Nebraska,2011,42,0.002849905003157537
2890,Nebraska,2011,43,0.02121944668272571
2943,Nebraska,2011,44,0.025085165685893203
2996,Nebraska,2011,45,0.025270758122667658
3049,Nebraska,2011,46,0.003317360855129682
3102,Nebraska,2011,47,0.006412997007240646
3155,Nebraska,2011,48,0.02357456140344415
3208,Nebraska,2011,49,0.007490636704094346
3261,Nebraska,2011,50,0.029171210468840865
3314,Nebraska,2011,51,0.02560899437843345
3367,Nebraska,2011,52,0.04847537138370416
3420,Nebraska,2012,1,0.023851590105936835
3473,Nebraska,2012,2,0.02995391705060497
3526,Nebraska,2012,3,0.034277620396503464
3579,Nebraska,2012,4,0.027747551686540403
3632,Nebraska,2012,5,0.04114134041127691
3685,Nebraska,2012,6,0.0347065462752971
3738,Nebraska,2012,7,0.03287671232867705
3791,Nebraska,2012,8,0.030372057706832774
3844,Nebraska,2012,9,0.042931616068558935
3897,Nebraska,2012,10,0.03451463790436205
3950,Nebraska,2012,11,0.027510772290263472
4003,Nebraska,2012,12,0.021656050955345046
4056,Nebraska,2012,13,0.0230398899586553
4109,Nebraska,2012,14,0.020100502512495476
4162,Nebraska,2012,15,0.019075331393407453
4215,Nebraska,2012,16,0.020475319926798994
4268,Nebraska,2012,17,0.016550810989683713
4321,Nebraska,2012,18,0.03222026947842871
4374,Nebraska,2012,19,0.03584018801389048
4427,Nebraska,2012,20,0.028245518739661895
4480,Nebraska,2012,21,0.024322830292845092
4533,Nebraska,2012,22,0.00930232558133354
4586,Nebraska,2012,23,0.0015186028853339515
4639,Nebraska,2012,24,0.004350978970236759
4692,Nebraska,2012,25,0.002352941176452134
4745,Nebraska,2012,26,0.0022497187851265497
4798,Nebraska,2012,27,0.009745127436208808
4851,Nebraska,2012,28,0.0029325513196265945
4904,Nebraska,2012,29,0.0035945363047908377
4957,Nebraska,2012,30,0.005490734385686406
5010,Nebraska,2012,31,0.010302197802127046
5063,Nebraska,2012,32,0.005307855626270617
5116,Nebraska,2012,33,0.005400540053956791
5169,Nebraska,2012,34,0.022548505505912173
5222,Nebraska,2012,35,0.03183183183164065
5275,Nebraska,2012,36,0.03655913978468417
5328,Nebraska,2012,37,0.04410646387799159
5381,Nebraska,2012,38,0.04862745098001077
5434,Nebraska,2012,39,0.04354032833659144
5487,Nebraska,2012,40,0.028028651510345597
5540,Nebraska,2012,41,0.026687598116085755
5593,Nebraska,2012,42,0.02525724976605782
5646,Nebraska,2012,43,0.031816626753226766
5699,Nebraska,2012,44,0.030460142579292093
5752,Nebraska,2012,45,0.019269776876202606
5805,Nebraska,2012,46,0.03098259073463859
5858,Nebraska,2012,47,0.021298174442118668
5911,Nebraska,2012,48,0.03262233375148652
5964,Nebraska,2012,49,0.02271604938265996
6017,Nebraska,2012,50,0.02829638273037253
6070,Nebraska,2012,51,0.06815237108041422
6123,Nebraska,2012,52,0.10145468108876743
6176,Nebraska,2013,1,0.08652291105097973
6229,Nebraska,2013,2,0.10102358700467062
6282,Nebraska,2013,3,0.0941499085921066
6335,Nebraska,2013,4,0.09676635059543699
6388,Nebraska,2013,5,0.08771929824536176
6441,Nebraska,2013,6,0.06274620146296357
6494,Nebraska,2013,7,0.05843963215645672
6547,Nebraska,2013,8,0.056062141168334814
6600,Nebraska,2013,9,0.04664007364207843
6653,Nebraska,2013,10,0.03067112055866787
6706,Nebraska,2013,11,0.03879448541186664
6759,Nebraska,2013,12,0.03074910042515293
6812,Nebraska,2013,13,0.03341013824871963
6865,Nebraska,2013,14,0.026611694152823797
6918,Nebraska,2013,15,0.020866773675678706
6971,Nebraska,2013,16,0.029972752043460615
7024,Nebraska,2013,17,0.024399542508484945
7077,Nebraska,2013,18,0.023679417121932243
7130,Nebraska,2013,19,0.02209051724126029
7183,Nebraska,2013,20,0.023268112109871668
7236,Nebraska,2013,21,0.024870466321114663
7289,Nebraska,2013,22,0.02819548872153952
7342,Nebraska,2013,23,0.0035842293906553106
7395,Nebraska,2013,24,0.0031217481789477444
7448,Nebraska,2013,25,0.008556149732528811
7501,Nebraska,2013,26,0.004390779363288795
7554,Nebraska,2013,27,0.003361344537758633
7607,Nebraska,2013,28,0.0037831021437101753
7660,Nebraska,2013,29,0.004901960784253653
7713,Nebraska,2013,30,0.009009009008907555
7766,Nebraska,2013,31,0.005578800557802248
7819,Nebraska,2013,32,0.04837364470351649
7872,Nebraska,2013,33,0.029430181590297873
7925,Nebraska,2013,34,0.02960102960083912
7978,Nebraska,2013,35,0.007633587786186703
8031,Nebraska,2013,36,0.03467799009175741
8084,Nebraska,2013,37,0.049613402061536
8137,Nebraska,2013,38,0.03859407305280087
8190,Nebraska,2013,39,0.04704301075237203
8243,Nebraska,2013,40,0.004694835680731136
8297,Nebraska,2013,41,0.007599999999969601
8351,Nebraska,2013,42,0.007969798657684692
8405,Nebraska,2013,43,0.009476720230698489
8459,Nebraska,2013,44,0.004723057106033822
8513,Nebraska,2013,45,0.006904069767416773
8567,Nebraska,2013,46,0.00953107129237693
8621,Nebraska,2013,47,0.0067945643484940265
8675,Nebraska,2013,48,0.009004237288087902
8729,Nebraska,2013,49,0.007129455909916963
8783,Nebraska,2013,50,0.008997429305874048
8837,Nebraska,2013,51,0.011792452830142327
8891,Nebraska,2013,52,0.0156862745097014
8945,Nebraska,2014,1,0.01877682403423403
8999,Nebraska,2014,2,0.017779533781043938
9053,Nebraska,2014,3,0.019779383796044964
9107,Nebraska,2014,4,0.02492331288334002
9161,Nebraska,2014,5,0.02048417132208386
9215,Nebraska,2014,6,0.019944156362106325
9269,Nebraska,2014,7,0.012104646622365855
9323,Nebraska,2014,8,0.008080808080775432
9377,Nebraska,2014,9,0.005747126436759589
9431,Nebraska,2014,10,0.009726898615751116
9485,Nebraska,2014,11,0.010939268200637725
9539,Nebraska,2014,12,0.007476635513990742
9593,Nebraska,2014,13,0.00444279896333046
9647,Nebraska,2014,14,0.006528417818715329
9701,Nebraska,2014,15,0.006789890607292381
9755,Nebraska,2014,16,0.005102040816306507
9809,Nebraska,2014,17,0.004055150040535057
9863,Nebraska,2014,18,0.002358490566026611
9917,Nebraska,2014,19,0.006470588235256056
9971,Nebraska,2014,20,0.00436137071648373
10025,Nebraska,2014,21,0.006666666666617285
10079,Nebraska,2014,22,0.005640612409301849
10133,Nebraska,2014,23,0.013513513513330898
10187,Nebraska,2014,24,0.002448979591816743
10241,Nebraska,2014,25,0.007765314926593915
10295,Nebraska,2014,26,0.007389162561485355
10349,Nebraska,2014,27,0.01185185185167627
10403,Nebraska,2014,28,0.00402010050247216
10457,Nebraska,2014,29,0.0074074074073290225
10511,Nebraska,2014,30,0.00786516853923747
10565,Nebraska,2014,31,0.0075349838535249195
10619,Nebraska,2014,32,0.00925925925911637
10673,Nebraska,2014,33,0.006866952789640628
10727,Nebraska,2014,34,0.01213818860866351
10781,Nebraska,2014,35,0.01097895699898464
10835,Nebraska,2014,36,0.010791366906345428
10889,Nebraska,2014,37,0.01890189018884877
10943,Nebraska,2014,38,0.014478764478624723
10997,Nebraska,2014,39,0.010607521697101182
11051,Nebraska,2014,40,0.006305637982172457
11105,Nebraska,2014,41,0.00741564701517458
11159,Nebraska,2014,42,0.008555445870323938
11213,Nebraska,2014,43,0.005309063329521012
11267,Nebraska,2014,44,0.0042000763650087815
11321,Nebraska,2014,45,0.002938706968921332
11375,Nebraska,2014,46,0.006846709775554026
11429,Nebraska,2014,47,0.006763972944084144
11483,Nebraska,2014,48,0.008725157537524357
11537,Nebraska,2014,49,0.011299435028208689
11591,Nebraska,2014,50,0.01393596986812077
11645,Nebraska,2014,51,0.02577914582521824
11699,Nebraska,2014,52,0.04928017718688107
11753,Nebraska,2014,53,0.035431235431070254
11807,Nebraska,2015,1,0.02823283373988068
11861,Nebraska,2015,2,0.02540250447218103
11915,Nebraska,2015,3,0.05809422600050268
11969,Nebraska,2015,4,0.040644171778985265
12023,Nebraska,2015,5,0.02804830541477192
12077,Nebraska,2015,6,0.01705989110701612
12131,Nebraska,2015,7,0.015426808364705428
12185,Nebraska,2015,8,0.014830508474523904
12239,Nebraska,2015,9,0.017505470459454758
12293,Nebraska,2015,10,0.022034520749092786
12347,Nebraska,2015,11,0.023016997167057306
12401,Nebraska,2015,12,0.023954236682073814
12455,Nebraska,2015,13,0.020899053627677844
12509,Nebraska,2015,14,0.012859304084671485
12563,Nebraska,2015,15,0.009625668449163545
12617,Nebraska,2015,16,0.007963118189405016
12671,Nebraska,2015,17,0.006793478260838798
12725,Nebraska,2015,18,0.009327442317087249
12779,Nebraska,2015,19,0.009085402786135158
12833,Nebraska,2015,20,0.006146281499654909
12887,Nebraska,2015,21,0.0063051702395567144
12941,Nebraska,2015,22,0.006840796019857956
12995,Nebraska,2015,23,0.0066711140760061976
13049,Nebraska,2015,24,0.0048051254671393215
13103,Nebraska,2015,25,0.00561224489793055
13157,Nebraska,2015,26,0.003731343283558885
13211,Nebraska,2015,27,0.0036683785766421988
13265,Nebraska,2015,28,0.009339080459703025
13319,Nebraska,2015,29,0.007855459544321639
13373,Nebraska,2015,30,0.008327024981011908
13427,Nebraska,2015,31,0.010166358595100128
