,REGION,YEAR,WEEK,ili_ratio
28,Nevada,2010,40,0.016668254119424068
80,Nevada,2010,41,0.016363318165893977
132,Nevada,2010,42,0.015086016762227537
184,Nevada,2010,43,0.02144509699232831
236,Nevada,2010,44,0.017676111255508466
288,Nevada,2010,45,0.0080523942452136
340,Nevada,2010,46,0.026327572311250713
392,Nevada,2010,47,0.03101981533350864
444,Nevada,2010,48,0.02890430451793943
496,Nevada,2010,49,0.032827862022968814
548,Nevada,2010,50,0.04287245444797537
600,Nevada,2010,51,0.03467843631775629
652,Nevada,2010,52,0.038866396761109395
704,Nevada,2011,1,0.030824072132506382
756,Nevada,2011,2,0.03314206038503076
808,Nevada,2011,3,0.037845540039875836
860,Nevada,2011,4,0.03835453100157077
912,Nevada,2011,5,0.04031838518362277
964,Nevada,2011,6,0.037137102716492044
1016,Nevada,2011,7,0.04063650028505642
1068,Nevada,2011,8,0.040676880371515144
1120,Nevada,2011,9,0.047891862859146095
1172,Nevada,2011,10,0.032737465622999395
1224,Nevada,2011,11,0.030804522366032656
1276,Nevada,2011,12,0.04297491668124629
1328,Nevada,2011,13,0.022793810121276247
1380,Nevada,2011,14,0.02212221439027158
1432,Nevada,2011,15,0.02113394548898037
1484,Nevada,2011,16,0.0312605042016544
1536,Nevada,2011,17,0.015528827150027935
1588,Nevada,2011,18,0.025124240750943192
1640,Nevada,2011,19,0.02420604182801684
1692,Nevada,2011,20,0.007890519048196412
1744,Nevada,2011,21,0.006781500067805803
1796,Nevada,2011,22,0.007316023526025942
1848,Nevada,2011,23,0.01030030465688336
1900,Nevada,2011,24,0.008828006088266624
1952,Nevada,2011,25,0.007546632493225763
2004,Nevada,2011,26,0.006449631449621546
2056,Nevada,2011,27,0.0038881411694274143
2108,Nevada,2011,28,0.0050030321406837434
2160,Nevada,2011,29,0.004542701393088215
2212,Nevada,2011,30,0.005167173252271782
2264,Nevada,2011,31,0.005588235294109429
2316,Nevada,2011,32,0.004310344827580014
2368,Nevada,2011,33,0.0044752418074137795
2420,Nevada,2011,34,0.004987531172061533
2472,Nevada,2011,35,0.003582624272274097
2524,Nevada,2011,36,0.005587353502309093
2576,Nevada,2011,37,0.006080259424393893
2628,Nevada,2011,38,0.0054193198753483005
2680,Nevada,2011,39,0.007730535615671272
2732,Nevada,2011,40,0.004150967494728814
2785,Nevada,2011,41,0.004285212504387576
2838,Nevada,2011,42,0.005072645290577985
2891,Nevada,2011,43,0.00626483777367036
2944,Nevada,2011,44,0.010205133491382119
2997,Nevada,2011,45,0.005827067669169281
3050,Nevada,2011,46,0.005505446878291258
3103,Nevada,2011,47,0.006793159990624819
3156,Nevada,2011,48,0.006183803697121121
3209,Nevada,2011,49,0.008051846032985022
3262,Nevada,2011,50,0.006877149109092292
3315,Nevada,2011,51,0.010830728003560929
3368,Nevada,2011,52,0.013261689722175302
3421,Nevada,2012,1,0.009452008551806624
3474,Nevada,2012,2,0.00806063522616932
3527,Nevada,2012,3,0.00830691185795288
3580,Nevada,2012,4,0.015398654043554921
3633,Nevada,2012,5,0.018685728617985096
3686,Nevada,2012,6,0.025805098080325387
3739,Nevada,2012,7,0.016503992901498666
3792,Nevada,2012,8,0.015465669612499736
3845,Nevada,2012,9,0.0171390013495161
3898,Nevada,2012,10,0.021991447770289153
3951,Nevada,2012,11,0.019314889507459344
4004,Nevada,2012,12,0.020783198424829594
4057,Nevada,2012,13,0.014696792802682029
4110,Nevada,2012,14,0.011955593509812812
4163,Nevada,2012,15,0.008221737776388526
4216,Nevada,2012,16,0.0077309625048268705
4269,Nevada,2012,17,0.005819656051784594
4322,Nevada,2012,18,0.008261450613524162
4375,Nevada,2012,19,0.010725552050459653
4428,Nevada,2012,20,0.006462470548632472
4481,Nevada,2012,21,0.012759569677241981
4534,Nevada,2012,22,0.014388489208614933
4587,Nevada,2012,23,0.004462293618916806
4640,Nevada,2012,24,0.006019036954078921
4693,Nevada,2012,25,0.007721411474011488
4746,Nevada,2012,26,0.003237493255219889
4799,Nevada,2012,27,0.003745318352056585
4852,Nevada,2012,28,0.0017359524897197479
4905,Nevada,2012,29,0.003487877498933655
4958,Nevada,2012,30,0.002975472456772838
5011,Nevada,2012,31,0.0014794358417975348
5064,Nevada,2012,32,0.004952658412228765
5117,Nevada,2012,33,0.00618151166057013
5170,Nevada,2012,34,0.004759961920298164
5223,Nevada,2012,35,0.005949789580603759
5276,Nevada,2012,36,0.006239001759708465
5329,Nevada,2012,37,0.015599116510193817
5382,Nevada,2012,38,0.006823027718540408
5435,Nevada,2012,39,0.0057381324986859016
5488,Nevada,2012,40,0.005406062078597214
5541,Nevada,2012,41,0.00474664036493358
5594,Nevada,2012,42,0.006003961376574644
5647,Nevada,2012,43,0.008210409128855962
5700,Nevada,2012,44,0.005276185513284734
5753,Nevada,2012,45,0.005931589006784465
5806,Nevada,2012,46,0.007355918477522367
5859,Nevada,2012,47,0.007577514884398378
5912,Nevada,2012,48,0.008680320086797314
5965,Nevada,2012,49,0.00691994572591118
6018,Nevada,2012,50,0.010532037779431588
6071,Nevada,2012,51,0.01637019850474817
6124,Nevada,2012,52,0.01710367083500032
6177,Nevada,2013,1,0.019727604605434056
6230,Nevada,2013,2,0.02382445141064337
6283,Nevada,2013,3,0.030231819625258664
6336,Nevada,2013,4,0.035744295779176684
6389,Nevada,2013,5,0.02326856784705165
6442,Nevada,2013,6,0.03559643333564867
6495,Nevada,2013,7,0.03386414029427275
6548,Nevada,2013,8,0.02883536786537193
6601,Nevada,2013,9,0.0318243493277022
6654,Nevada,2013,10,0.02393822393819313
6707,Nevada,2013,11,0.02721607528929516
6760,Nevada,2013,12,0.01813880126179389
6813,Nevada,2013,13,0.019560251284952083
6866,Nevada,2013,14,0.015744555620930335
6919,Nevada,2013,15,0.01315218962275885
6972,Nevada,2013,16,0.010496021669188258
7025,Nevada,2013,17,0.010853622763257768
7078,Nevada,2013,18,0.010344338954215184
7131,Nevada,2013,19,0.009600451785952844
7184,Nevada,2013,20,0.013532215900332874
7237,Nevada,2013,21,0.009267204393325438
7290,Nevada,2013,22,0.01047120418846399
7343,Nevada,2013,23,0.00887988783298196
7396,Nevada,2013,24,0.005741626794240059
7449,Nevada,2013,25,0.010974610974592998
7502,Nevada,2013,26,0.007730713480419181
7555,Nevada,2013,27,0.006821963394331411
7608,Nevada,2013,28,0.0034518467379929174
7661,Nevada,2013,29,0.004815057999551729
7714,Nevada,2013,30,0.006825938566541252
7767,Nevada,2013,31,0.00500762029173741
7820,Nevada,2013,32,0.00329649020747858
7873,Nevada,2013,33,0.0051122877487582395
7926,Nevada,2013,34,0.0042186001917464645
7979,Nevada,2013,35,0.005593101841049655
8032,Nevada,2013,36,0.006969263759815995
8085,Nevada,2013,37,0.006635377892852184
8138,Nevada,2013,38,0.00629987400250672
8191,Nevada,2013,39,0.002282236591851342
8244,Nevada,2013,40,0.0058490808587184405
8298,Nevada,2013,41,0.007772345493288346
8352,Nevada,2013,42,0.0071473354231930105
8406,Nevada,2013,43,0.007454611037629281
8460,Nevada,2013,44,0.008048169786569663
8514,Nevada,2013,45,0.010033256298962834
8568,Nevada,2013,46,0.009307604994319348
8622,Nevada,2013,47,0.010487990435816493
8676,Nevada,2013,48,0.015436289573347075
8730,Nevada,2013,49,0.013957597173136656
8784,Nevada,2013,50,0.01643178761474976
8838,Nevada,2013,51,0.024855332047382276
8892,Nevada,2013,52,0.041202254226649214
8946,Nevada,2014,1,0.03688219460509886
9000,Nevada,2014,2,0.032208352596685565
9054,Nevada,2014,3,0.026385224274392407
9108,Nevada,2014,4,0.020953836079875065
9162,Nevada,2014,5,0.02259617928770567
9216,Nevada,2014,6,0.018953507208802334
9270,Nevada,2014,7,0.014794782055353273
9324,Nevada,2014,8,0.010214060632396927
9378,Nevada,2014,9,0.010760667903519342
9432,Nevada,2014,10,0.009723756906071976
9486,Nevada,2014,11,0.01028162717925219
9540,Nevada,2014,12,0.009475387104223782
9594,Nevada,2014,13,0.008549428150827454
9648,Nevada,2014,14,0.00737704918032355
9702,Nevada,2014,15,0.008177839207551153
9756,Nevada,2014,16,0.009174311926599966
9810,Nevada,2014,17,0.005436959880956082
9864,Nevada,2014,18,0.007863456263329556
9918,Nevada,2014,19,0.006530127634308975
9972,Nevada,2014,20,0.007890833580535217
10026,Nevada,2014,21,0.00869618847908678
