,REGION,YEAR,WEEK,ili_ratio
29,New Hampshire,2010,40,0.0007593014426708193
81,New Hampshire,2010,41,0.0009246417013385931
133,New Hampshire,2010,42,0.0029360967184750672
185,New Hampshire,2010,43,0.0017879492222388916
237,New Hampshire,2010,44,0.0029437229437178462
289,New Hampshire,2010,45,0.0030441400304356088
341,New Hampshire,2010,46,0.0027928085180611052
393,New Hampshire,2010,47,0.0020518081559321574
445,New Hampshire,2010,48,0.0013880626611116637
497,New Hampshire,2010,49,0.0024701523260550226
549,New Hampshire,2010,50,0.0007092198581547709
601,New Hampshire,2010,51,0.0024330900243249806
653,New Hampshire,2010,52,0.0026604589291564337
705,New Hampshire,2011,1,0.0032875652678335185
757,New Hampshire,2011,2,0.00231774125578947
809,New Hampshire,2011,3,0.004227436060020656
861,New Hampshire,2011,4,0.004134561172704126
913,New Hampshire,2011,5,0.005047318611976767
965,New Hampshire,2011,6,0.007258210851012052
1017,New Hampshire,2011,7,0.0066165951358966085
1069,New Hampshire,2011,8,0.007665216490557976
1121,New Hampshire,2011,9,0.009392486011172277
1173,New Hampshire,2011,10,0.005291005290995293
1225,New Hampshire,2011,11,0.005418830435752046
1277,New Hampshire,2011,12,0.0038819875776322167
1329,New Hampshire,2011,13,0.004843517138590083
1381,New Hampshire,2011,14,0.0019677292404526414
1433,New Hampshire,2011,15,0.0005910165484621926
1485,New Hampshire,2011,16,0.0004415011037517848
1537,New Hampshire,2011,17,0.0016125316747256104
1589,New Hampshire,2011,18,0.0007522567703090466
1641,New Hampshire,2011,19,0.000706048481994102
1693,New Hampshire,2011,20,0.0006807351940079856
1745,New Hampshire,2011,21,0.00031249999999902347
1797,New Hampshire,2011,22,0.0004482294934986633
1849,New Hampshire,2011,23,0.0
1901,New Hampshire,2011,24,0.0
1953,New Hampshire,2011,25,0.0003671071952996802
2005,New Hampshire,2011,26,0.0004187604690099717
2057,New Hampshire,2011,27,0.0
2109,New Hampshire,2011,28,0.0
2161,New Hampshire,2011,29,0.00032938076416228797
2213,New Hampshire,2011,30,0.0
2265,New Hampshire,2011,31,0.00030807147258068984
2317,New Hampshire,2011,32,0.0
2369,New Hampshire,2011,33,0.0003144654088040426
2421,New Hampshire,2011,34,0.0
2473,New Hampshire,2011,35,0.000319999999998976
2525,New Hampshire,2011,36,0.0
2577,New Hampshire,2011,37,0.00029788501638278853
2629,New Hampshire,2011,38,0.0008726003490376015
2681,New Hampshire,2011,39,0.0015046644598209309
2733,New Hampshire,2011,40,0.0012051822838167966
2786,New Hampshire,2011,41,0.002536461636012394
2839,New Hampshire,2011,42,0.0012818165171190592
2892,New Hampshire,2011,43,0.003840526700797658
2945,New Hampshire,2011,44,0.002718974558161354
2998,New Hampshire,2011,45,0.0028522532800858485
3051,New Hampshire,2011,46,0.00380416804498213
3104,New Hampshire,2011,47,0.0028578851649704914
3157,New Hampshire,2011,48,0.003315302739481216
3210,New Hampshire,2011,49,0.0034858387799488327
3263,New Hampshire,2011,50,0.0035863717872014617
3316,New Hampshire,2011,51,0.0022066198595743097
3369,New Hampshire,2011,52,0.002454740718004128
3422,New Hampshire,2012,1,0.003676470588226283
3475,New Hampshire,2012,2,0.0014078841512441514
3528,New Hampshire,2012,3,0.0026337115072880193
3581,New Hampshire,2012,4,0.0009863878476997704
3634,New Hampshire,2012,5,0.0031446540880444977
3687,New Hampshire,2012,6,0.0025636330342381185
3740,New Hampshire,2012,7,0.0014956066554468208
3793,New Hampshire,2012,8,0.003317437279694552
3846,New Hampshire,2012,9,0.0006749156355440384
3899,New Hampshire,2012,10,0.000991669972231274
3952,New Hampshire,2012,11,0.002004008016027602
4005,New Hampshire,2012,12,0.0008693762225584235
4058,New Hampshire,2012,13,0.001284403669722414
4111,New Hampshire,2012,14,0.0016618196925599048
4164,New Hampshire,2012,15,0.0014922191430366827
4217,New Hampshire,2012,16,0.002398604448315747
4270,New Hampshire,2012,17,0.0013611615244978196
