,REGION,YEAR,WEEK,ili_ratio
30,New Jersey,2010,40,0.023153409090876202
82,New Jersey,2010,41,0.024783634933091027
134,New Jersey,2010,42,0.02248116760825979
186,New Jersey,2010,43,0.027928626842477464
238,New Jersey,2010,44,0.018287748826641387
290,New Jersey,2010,45,0.02203102594183023
342,New Jersey,2010,46,0.02137156769914599
394,New Jersey,2010,47,0.024175824175783303
446,New Jersey,2010,48,0.026011560693594633
498,New Jersey,2010,49,0.026537122969799105
550,New Jersey,2010,50,0.03200731595788446
602,New Jersey,2010,51,0.04643799472287346
654,New Jersey,2010,52,0.04913580246901448
706,New Jersey,2011,1,0.03952708664189249
758,New Jersey,2011,2,0.04972677595619358
810,New Jersey,2011,3,0.05124353196452806
862,New Jersey,2011,4,0.059029054799450115
914,New Jersey,2011,5,0.05599300087480899
966,New Jersey,2011,6,0.05863933959570362
1018,New Jersey,2011,7,0.06113917435976112
1070,New Jersey,2011,8,0.06698488464587592
1122,New Jersey,2011,9,0.057411273486355156
1174,New Jersey,2011,10,0.05055259926309752
1226,New Jersey,2011,11,0.04688593421962471
1278,New Jersey,2011,12,0.03410361535588129
1330,New Jersey,2011,13,0.04606784888194667
1382,New Jersey,2011,14,0.03395741556528275
1434,New Jersey,2011,15,0.027467137531827612
1486,New Jersey,2011,16,0.027931813514011233
1538,New Jersey,2011,17,0.02768419510762021
1590,New Jersey,2011,18,0.020108108108064633
1642,New Jersey,2011,19,0.022222222222173807
1694,New Jersey,2011,20,0.026910299003277557
1746,New Jersey,2011,21,0.02949745083752823
1798,New Jersey,2011,22,0.025283908292210663
1850,New Jersey,2011,23,0.027798232695088736
1902,New Jersey,2011,24,0.030787104269442967
1954,New Jersey,2011,25,0.029345372460423014
2006,New Jersey,2011,26,0.008851379168363831
2058,New Jersey,2011,27,0.0027803521779339504
2110,New Jersey,2011,28,0.002266931141960139
2162,New Jersey,2011,29,0.001074113856065859
2214,New Jersey,2011,30,0.0028248587570548927
2266,New Jersey,2011,31,0.003769208466211165
2318,New Jersey,2011,32,0.007252946509486614
2370,New Jersey,2011,33,0.0037420840529541104
2422,New Jersey,2011,34,0.0028851702250349536
2474,New Jersey,2011,35,0.0026253609871288385
2526,New Jersey,2011,36,0.003003003002995488
2578,New Jersey,2011,37,0.003189792663470515
2630,New Jersey,2011,38,0.004588910133834438
2682,New Jersey,2011,39,0.005773268019584022
2734,New Jersey,2011,40,0.008926944798672022
2787,New Jersey,2011,41,0.007868383404850021
2840,New Jersey,2011,42,0.008495575221223902
2893,New Jersey,2011,43,0.008007117437708173
2946,New Jersey,2011,44,0.011003117549952314
2999,New Jersey,2011,45,0.010040160642551954
3052,New Jersey,2011,46,0.012123438648030633
3105,New Jersey,2011,47,0.014095536413432275
3158,New Jersey,2011,48,0.011086057872959252
3211,New Jersey,2011,49,0.01107773188131604
3264,New Jersey,2011,50,0.01109165207236604
3317,New Jersey,2011,51,0.006436781609180605
3370,New Jersey,2011,52,0.006218905472611033
3423,New Jersey,2012,1,0.010517799352722445
3476,New Jersey,2012,2,0.00575401582352972
3529,New Jersey,2012,3,0.007855116735745462
3582,New Jersey,2012,4,0.007582139848344428
3635,New Jersey,2012,5,0.008079175924039428
3688,New Jersey,2012,6,0.008131655372685127
3741,New Jersey,2012,7,0.008169327887099575
3794,New Jersey,2012,8,0.008380952380936417
3847,New Jersey,2012,9,0.009757068896834415
3900,New Jersey,2012,10,0.013427250715356753
3953,New Jersey,2012,11,0.00885591191955755
4006,New Jersey,2012,12,0.00957319505383013
4059,New Jersey,2012,13,0.00801220908048834
4112,New Jersey,2012,14,0.011540273198277107
4165,New Jersey,2012,15,0.008476466651776765
4218,New Jersey,2012,16,0.009783938035039168
4271,New Jersey,2012,17,0.0074990626171587945
4324,New Jersey,2012,18,0.010252904989723735
4377,New Jersey,2012,19,0.004402224281732155
4430,New Jersey,2012,20,0.0050979339951567
4483,New Jersey,2012,21,0.0016420361247902516
4536,New Jersey,2012,22,0.002797637550504204
4589,New Jersey,2012,23,0.0009126863401249995
4642,New Jersey,2012,24,0.001525320317261973
4695,New Jersey,2012,25,0.0014139271827450905
4748,New Jersey,2012,26,0.0015309246785011302
4801,New Jersey,2012,27,0.003434950622570052
4854,New Jersey,2012,28,0.0005765350245010766
4907,New Jersey,2012,29,0.00035919540229756037
4960,New Jersey,2012,30,0.001935171746483139
5013,New Jersey,2012,31,0.0011500862564626218
5066,New Jersey,2012,32,0.0005488474204141117
5119,New Jersey,2012,33,0.0005122950819645887
5172,New Jersey,2012,34,0.003314917127053509
5225,New Jersey,2012,35,0.004665629859994825
5278,New Jersey,2012,36,0.006095374686245624
5331,New Jersey,2012,37,0.006587202007507569
5384,New Jersey,2012,38,0.006999125109340918
