,REGION,YEAR,WEEK,ili_ratio
31,New Mexico,2010,40,0.02131912058624741
83,New Mexico,2010,41,0.01963495575218524
135,New Mexico,2010,42,0.016748637511608735
187,New Mexico,2010,43,0.023549826474933627
239,New Mexico,2010,44,0.023798266351420336
291,New Mexico,2010,45,0.02377604499549562
343,New Mexico,2010,46,0.028784244413547804
395,New Mexico,2010,47,0.029782007982760542
447,New Mexico,2010,48,0.028547029400965537
499,New Mexico,2010,49,0.02324230098777078
551,New Mexico,2010,50,0.027233518176183323
603,New Mexico,2010,51,0.034117647058773355
655,New Mexico,2010,52,0.038749251944885175
707,New Mexico,2011,1,0.029545175922484315
759,New Mexico,2011,2,0.02898214699741597
811,New Mexico,2011,3,0.03721374045797088
863,New Mexico,2011,4,0.050758001122907626
915,New Mexico,2011,5,0.05561211504192465
967,New Mexico,2011,6,0.049017490822663545
1019,New Mexico,2011,7,0.0643467517759041
1071,New Mexico,2011,8,0.05327826535874726
1123,New Mexico,2011,9,0.0483436731826661
1175,New Mexico,2011,10,0.03728777133028445
1227,New Mexico,2011,11,0.0360761607838369
1279,New Mexico,2011,12,0.028516896822691682
1331,New Mexico,2011,13,0.026752657350977243
1383,New Mexico,2011,14,0.0232261061432781
1435,New Mexico,2011,15,0.017267456516237373
1487,New Mexico,2011,16,0.01872432954817743
1539,New Mexico,2011,17,0.017574473388984702
1591,New Mexico,2011,18,0.016570516754613268
1643,New Mexico,2011,19,0.017546191678828198
1695,New Mexico,2011,20,0.015554698547351132
1747,New Mexico,2011,21,0.01616333475113534
1799,New Mexico,2011,22,0.01561849229484461
1851,New Mexico,2011,23,0.013942307692274178
1903,New Mexico,2011,24,0.015165876777215247
1955,New Mexico,2011,25,0.008758271701033946
2007,New Mexico,2011,26,0.008567662565886276
2059,New Mexico,2011,27,0.011832998437124731
2111,New Mexico,2011,28,0.009447525159150857
2163,New Mexico,2011,29,0.012122501063351505
2215,New Mexico,2011,30,0.009422110552744091
2267,New Mexico,2011,31,0.00958525345620353
2319,New Mexico,2011,32,0.0094894666919539
2371,New Mexico,2011,33,0.011553273427446399
2423,New Mexico,2011,34,0.011825572801160707
2475,New Mexico,2011,35,0.018931845356678096
2527,New Mexico,2011,36,0.01588502269284951
2579,New Mexico,2011,37,0.01662327258158097
2631,New Mexico,2011,38,0.01442481067433389
2683,New Mexico,2011,39,0.019908891513379604
2735,New Mexico,2011,40,0.017726798748673455
2788,New Mexico,2011,41,0.01417921356524751
2841,New Mexico,2011,42,0.01885236243664563
2894,New Mexico,2011,43,0.021382161842857194
2947,New Mexico,2011,44,0.02528854882631917
3000,New Mexico,2011,45,0.018847142332616758
3053,New Mexico,2011,46,0.029974489795880136
3106,New Mexico,2011,47,0.032489389726280564
3159,New Mexico,2011,48,0.026233359436144306
3212,New Mexico,2011,49,0.023019347549748596
3265,New Mexico,2011,50,0.019183258247319892
3318,New Mexico,2011,51,0.025586995785632772
3371,New Mexico,2011,52,0.028921998247109375
3424,New Mexico,2012,1,0.02543896032071694
3477,New Mexico,2012,2,0.02287294206356306
3530,New Mexico,2012,3,0.02089257015697751
3583,New Mexico,2012,4,0.025479195885898222
3636,New Mexico,2012,5,0.025229624462242493
3689,New Mexico,2012,6,0.021602160215997295
3742,New Mexico,2012,7,0.02636374681080505
3795,New Mexico,2012,8,0.029526858769086294
3848,New Mexico,2012,9,0.03656985372054635
3901,New Mexico,2012,10,0.02897370258316386
3954,New Mexico,2012,11,0.03194495638280877
4007,New Mexico,2012,12,0.026176723608177244
4060,New Mexico,2012,13,0.02323600973233183
4113,New Mexico,2012,14,0.02722570106176528
4166,New Mexico,2012,15,0.026117167844703342
4219,New Mexico,2012,16,0.021027092600052533
4272,New Mexico,2012,17,0.01728966272979753
4325,New Mexico,2012,18,0.014820493164667407
4378,New Mexico,2012,19,0.014107990252643187
4431,New Mexico,2012,20,0.013578036407022414
4484,New Mexico,2012,21,0.01895326297648298
4537,New Mexico,2012,22,0.01471275105087643
4590,New Mexico,2012,23,0.01810089020766142
4643,New Mexico,2012,24,0.016051698978494785
4696,New Mexico,2012,25,0.010414143860473688
4749,New Mexico,2012,26,0.01981424148600677
4802,New Mexico,2012,27,0.01214689265533292
4855,New Mexico,2012,28,0.016447368421007545
4908,New Mexico,2012,29,0.022652659225139028
4961,New Mexico,2012,30,0.013904134650516268
5014,New Mexico,2012,31,0.01803324880242876
5067,New Mexico,2012,32,0.02192118226595586
5120,New Mexico,2012,33,0.01441268316114722
5173,New Mexico,2012,34,0.021481062747254153
5226,New Mexico,2012,35,0.024477880080789407
5279,New Mexico,2012,36,0.02146690518778056
5332,New Mexico,2012,37,0.022512708787164094
5385,New Mexico,2012,38,0.024820880245586437
5438,New Mexico,2012,39,0.021848372296216195
5491,New Mexico,2012,40,0.014272768463962082
5544,New Mexico,2012,41,0.014836138175360012
5597,New Mexico,2012,42,0.011080624736163907
5650,New Mexico,2012,43,0.014918360155039447
5703,New Mexico,2012,44,0.011962782454572482
5756,New Mexico,2012,45,0.016861776393494936
5809,New Mexico,2012,46,0.020840529648795805
5862,New Mexico,2012,47,0.022652388797332987
5915,New Mexico,2012,48,0.0207682000893024
5968,New Mexico,2012,49,0.01875137877783063
6021,New Mexico,2012,50,0.02554495912803639
6074,New Mexico,2012,51,0.03005963246923444
6127,New Mexico,2012,52,0.07130177514782352
6180,New Mexico,2013,1,0.05222065787782898
6233,New Mexico,2013,2,0.046314941602853085
6286,New Mexico,2013,3,0.048140043763628265
6339,New Mexico,2013,4,0.059680702882181844
6392,New Mexico,2013,5,0.05026648552612575
6445,New Mexico,2013,6,0.03845749711039355
6498,New Mexico,2013,7,0.03624276217023778
6551,New Mexico,2013,8,0.03290799194086309
6604,New Mexico,2013,9,0.029759299781149058
6657,New Mexico,2013,10,0.021588197005834683
6710,New Mexico,2013,11,0.02385996209162241
6763,New Mexico,2013,12,0.01744314418191936
6816,New Mexico,2013,13,0.015271694092559166
6869,New Mexico,2013,14,0.013839234229023365
6922,New Mexico,2013,15,0.01180744777473682
6975,New Mexico,2013,16,0.014279186657511675
7028,New Mexico,2013,17,0.01291345718167998
7081,New Mexico,2013,18,0.012552806276387985
7134,New Mexico,2013,19,0.013834693153584208
7187,New Mexico,2013,20,0.011841326228523573
7240,New Mexico,2013,21,0.015929203539799514
7293,New Mexico,2013,22,0.007886435331214735
7346,New Mexico,2013,23,0.01391096979329509
7399,New Mexico,2013,24,0.011898940505278078
7452,New Mexico,2013,25,0.009152288072004272
7505,New Mexico,2013,26,0.007162877608210584
7558,New Mexico,2013,27,0.010980966325016507
7611,New Mexico,2013,28,0.008828629985797212
7664,New Mexico,2013,29,0.010003510003492448
7717,New Mexico,2013,30,0.008851224105444725
7770,New Mexico,2013,31,0.011277001270630119
7823,New Mexico,2013,32,0.011816340310580998
7876,New Mexico,2013,33,0.009118541033420063
7929,New Mexico,2013,34,0.011554480720124204
7982,New Mexico,2013,35,0.011045543955195877
8035,New Mexico,2013,36,0.013074086490088713
8088,New Mexico,2013,37,0.01534892022128262
8141,New Mexico,2013,38,0.018212197159535152
8194,New Mexico,2013,39,0.024704065877466624
8247,New Mexico,2013,40,0.018455777460753872
8301,New Mexico,2013,41,0.018193168643522523
8355,New Mexico,2013,42,0.017002694416039205
8409,New Mexico,2013,43,0.01837913530542764
8463,New Mexico,2013,44,0.019489981785046
8517,New Mexico,2013,45,0.020306477390222517
8571,New Mexico,2013,46,0.023424955133632352
8625,New Mexico,2013,47,0.024162548050499576
8679,New Mexico,2013,48,0.023561129996455793
8733,New Mexico,2013,49,0.023155457320257703
8787,New Mexico,2013,50,0.02680166765929442
8841,New Mexico,2013,51,0.036815728604436375
8895,New Mexico,2013,52,0.05355404089574786
8949,New Mexico,2014,1,0.06539009981659666
9003,New Mexico,2014,2,0.05862099408487806
9057,New Mexico,2014,3,0.05237576468612052
9111,New Mexico,2014,4,0.045802841153641145
9165,New Mexico,2014,5,0.04580797836372058
9219,New Mexico,2014,6,0.03459477018025451
9273,New Mexico,2014,7,0.04351265822779892
9327,New Mexico,2014,8,0.031315240083480064
9381,New Mexico,2014,9,0.02351959966636904
9435,New Mexico,2014,10,0.020506931342777042
9489,New Mexico,2014,11,0.020947586082872473
9543,New Mexico,2014,12,0.020601336302876205
9597,New Mexico,2014,13,0.02068137752744836
9651,New Mexico,2014,14,0.019087822336405352
9705,New Mexico,2014,15,0.0211103877987342
9759,New Mexico,2014,16,0.017712780452341072
9813,New Mexico,2014,17,0.01876990112282657
9867,New Mexico,2014,18,0.018310691080903413
9921,New Mexico,2014,19,0.015778533635661583
9975,New Mexico,2014,20,0.016795036371398377
10029,New Mexico,2014,21,0.02129093114132692
10083,New Mexico,2014,22,0.017060367454045853
10137,New Mexico,2014,23,0.016308609063797542
10191,New Mexico,2014,24,0.010761072988130442
10245,New Mexico,2014,25,0.010892333472963424
10299,New Mexico,2014,26,0.00953872437356273
10353,New Mexico,2014,27,0.010404022888832316
10407,New Mexico,2014,28,0.008759876331142632
10461,New Mexico,2014,29,0.014867677668726037
10515,New Mexico,2014,30,0.014369177325099685
10569,New Mexico,2014,31,0.013654618473873647
10623,New Mexico,2014,32,0.014169762003007057
10677,New Mexico,2014,33,0.013306177868277928
10731,New Mexico,2014,34,0.01407665505224519
10785,New Mexico,2014,35,0.02005277044852236
10839,New Mexico,2014,36,0.01804640504150953
10893,New Mexico,2014,37,0.017965942821406084
10947,New Mexico,2014,38,0.020686553740037947
11001,New Mexico,2014,39,0.016721647139100532
11055,New Mexico,2014,40,0.013443546189469122
11109,New Mexico,2014,41,0.01554448643076645
11163,New Mexico,2014,42,0.019023337909375344
11217,New Mexico,2014,43,0.016610987379346128
11271,New Mexico,2014,44,0.013171759747090646
11325,New Mexico,2014,45,0.017509363295863754
11379,New Mexico,2014,46,0.012637056309224457
11433,New Mexico,2014,47,0.01620433946716451
11487,New Mexico,2014,48,0.01801700984778646
11541,New Mexico,2014,49,0.018722565618544545
11595,New Mexico,2014,50,0.02148272957032731
11649,New Mexico,2014,51,0.037969094922703776
11703,New Mexico,2014,52,0.06652741514353365
11757,New Mexico,2014,53,0.056214444122981176
11811,New Mexico,2015,1,0.03970668538884491
11865,New Mexico,2015,2,0.04113195129973582
11919,New Mexico,2015,3,0.042306408544691
11973,New Mexico,2015,4,0.03907414672417491
12027,New Mexico,2015,5,0.03539892778300583
12081,New Mexico,2015,6,0.03342724434627775
12135,New Mexico,2015,7,0.02461538461536614
12189,New Mexico,2015,8,0.027553444180500746
12243,New Mexico,2015,9,0.023885350318451317
12297,New Mexico,2015,10,0.025628818535249044
12351,New Mexico,2015,11,0.02464321921545298
12405,New Mexico,2015,12,0.019738388031628622
12459,New Mexico,2015,13,0.01890476613116277
12513,New Mexico,2015,14,0.01472622243917116
12567,New Mexico,2015,15,0.015371692566135764
