,REGION,YEAR,WEEK,ili_ratio
51,New York City,2010,40,0.011822231153084853
103,New York City,2010,41,0.014022962880390812
155,New York City,2010,42,0.012912371700475515
207,New York City,2010,43,0.013023587043309845
259,New York City,2010,44,0.015150822146498143
311,New York City,2010,45,0.017382858291186055
363,New York City,2010,46,0.019268438085502975
415,New York City,2010,47,0.023310271420965846
467,New York City,2010,48,0.025420690818604718
519,New York City,2010,49,0.02730006273389715
571,New York City,2010,50,0.0328095192925841
623,New York City,2010,51,0.04262609802104599
675,New York City,2010,52,0.04397457359826722
727,New York City,2011,1,0.033110720562386835
779,New York City,2011,2,0.031702797436981574
831,New York City,2011,3,0.028820240985319403
883,New York City,2011,4,0.026634270507922407
935,New York City,2011,5,0.024731920830845733
987,New York City,2011,6,0.025068955602174092
1039,New York City,2011,7,0.026007460726104555
1091,New York City,2011,8,0.02615270473737904
1143,New York City,2011,9,0.020299594008117653
1195,New York City,2011,10,0.01872357997456954
1247,New York City,2011,11,0.0181646742605679
1299,New York City,2011,12,0.01787563901232719
1351,New York City,2011,13,0.01780805009145081
1403,New York City,2011,14,0.018126722968536065
1455,New York City,2011,15,0.015110938906677404
1507,New York City,2011,16,0.015309384546163145
1559,New York City,2011,17,0.012035084570863202
1611,New York City,2011,18,0.011382043584370598
1663,New York City,2011,19,0.011943650469578201
1715,New York City,2011,20,0.011342997537520882
1767,New York City,2011,21,0.012914967328858822
1819,New York City,2011,22,0.011793331725814706
1871,New York City,2011,23,0.012337401099636545
1923,New York City,2011,24,0.012063542171661718
1975,New York City,2011,25,0.010211655682762747
2027,New York City,2011,26,0.010458231058269395
2079,New York City,2011,27,0.009903096194751843
2131,New York City,2011,28,0.008519141775346082
2183,New York City,2011,29,0.0073915649200315655
2235,New York City,2011,30,0.007787496100473976
2287,New York City,2011,31,0.007672073651906124
2339,New York City,2011,32,0.007936797326039753
2391,New York City,2011,33,0.007967820287097534
2443,New York City,2011,34,0.008546797725786103
2495,New York City,2011,35,0.007949993178632013
2547,New York City,2011,36,0.00797847003905783
2599,New York City,2011,37,0.008813808299668472
2651,New York City,2011,38,0.00837760751635721
2703,New York City,2011,39,0.01109424140548627
2756,New York City,2011,40,0.01501025636040024
2809,New York City,2011,41,0.017054794520546278
2862,New York City,2011,42,0.0169853285858176
2915,New York City,2011,43,0.017447646903497913
2968,New York City,2011,44,0.0207692614929883
3021,New York City,2011,45,0.020803030155117704
3074,New York City,2011,46,0.020828704195687334
3127,New York City,2011,47,0.024583980474814224
3180,New York City,2011,48,0.02468300432467176
3233,New York City,2011,49,0.025126555835168908
3286,New York City,2011,50,0.025215724806161393
3339,New York City,2011,51,0.027659246311240795
3392,New York City,2011,52,0.02772989423056165
3445,New York City,2012,1,0.02476461357394814
3498,New York City,2012,2,0.02006338925147167
3551,New York City,2012,3,0.02175013690703529
3604,New York City,2012,4,0.02097830220677956
3657,New York City,2012,5,0.020783847980995498
3710,New York City,2012,6,0.020396400040446922
3763,New York City,2012,7,0.020822762973634563
3816,New York City,2012,8,0.022611129136921784
3869,New York City,2012,9,0.020509701477653648
3922,New York City,2012,10,0.019749555538376387
3975,New York City,2012,11,0.021797127774306844
4028,New York City,2012,12,0.02082295787485357
4081,New York City,2012,13,0.020109778489664793
4134,New York City,2012,14,0.020668354430377654
4187,New York City,2012,15,0.019391174164110094
4240,New York City,2012,16,0.01744835287548693
4293,New York City,2012,17,0.01562930392466761
4346,New York City,2012,18,0.01685375980316604
4399,New York City,2012,19,0.0177798039662622
4452,New York City,2012,20,0.01644714191561825
4505,New York City,2012,21,0.015954646689611666
4558,New York City,2012,22,0.014990624490459912
4611,New York City,2012,23,0.014847337875345461
4664,New York City,2012,24,0.014516701302649449
4717,New York City,2012,25,0.015455300645080307
4770,New York City,2012,26,0.015218225516529476
4823,New York City,2012,27,0.01373819701918792
4876,New York City,2012,28,0.013849717969378138
4929,New York City,2012,29,0.012701172579036418
4982,New York City,2012,30,0.011739616763711545
5035,New York City,2012,31,0.011020154565569264
5088,New York City,2012,32,0.01011427684988778
5141,New York City,2012,33,0.010609705875976917
5194,New York City,2012,34,0.0124090759897072
5247,New York City,2012,35,0.010460981303312775
5300,New York City,2012,36,0.010938312250908537
5353,New York City,2012,37,0.012666371364085651
5406,New York City,2012,38,0.014631652929523712
5459,New York City,2012,39,0.0141943599958052
5512,New York City,2012,40,0.014590404273691624
5565,New York City,2012,41,0.015833901860354573
5618,New York City,2012,42,0.016279495152733022
5671,New York City,2012,43,0.017092514455381985
5724,New York City,2012,44,0.018266105666269652
5777,New York City,2012,45,0.015911656007256966
5830,New York City,2012,46,0.016943327848705877
5883,New York City,2012,47,0.021400975433930526
5936,New York City,2012,48,0.023375238245719146
5989,New York City,2012,49,0.028576429064529976
6042,New York City,2012,50,0.03293679148722187
6095,New York City,2012,51,0.0409727955060832
6148,New York City,2012,52,0.05053154324901909
6201,New York City,2013,1,0.04790652970504717
6254,New York City,2013,2,0.055252355846292706
6307,New York City,2013,3,0.06134906049581242
6360,New York City,2013,4,0.051443514644346086
6413,New York City,2013,5,0.04199667696196426
6466,New York City,2013,6,0.037558787905236896
6519,New York City,2013,7,0.03051568652355831
6572,New York City,2013,8,0.0340388741234073
6625,New York City,2013,9,0.029181421606360874
6678,New York City,2013,10,0.030263293753223515
6731,New York City,2013,11,0.027355530508420167
6784,New York City,2013,12,0.02585953570378806
6837,New York City,2013,13,0.023437416083951123
6890,New York City,2013,14,0.020621707060061053
6943,New York City,2013,15,0.017272392788518737
6996,New York City,2013,16,0.01723044829842756
7049,New York City,2013,17,0.016498069374858634
7102,New York City,2013,18,0.016497081762303963
7155,New York City,2013,19,0.016122197992991378
7208,New York City,2013,20,0.015332849774337591
7261,New York City,2013,21,0.01472782098079514
7314,New York City,2013,22,0.014737835524437073
7367,New York City,2013,23,0.01305813421805244
7420,New York City,2013,24,0.013794142331445287
7473,New York City,2013,25,0.01311222928995505
7526,New York City,2013,26,0.011795458964331505
7579,New York City,2013,27,0.012385285208078115
7632,New York City,2013,28,0.011443929992544496
7685,New York City,2013,29,0.010604828353735702
7738,New York City,2013,30,0.009894196290228663
7791,New York City,2013,31,0.009953883384319216
7844,New York City,2013,32,0.009023979321007984
7897,New York City,2013,33,0.008014652698382136
7950,New York City,2013,34,0.008750433337715474
8003,New York City,2013,35,0.008464820994615483
8056,New York City,2013,36,0.008437072542730389
8109,New York City,2013,37,0.009196713829300639
8162,New York City,2013,38,0.013098875381913682
8215,New York City,2013,39,0.015564814911993664
8269,New York City,2013,40,0.015227393021455232
8323,New York City,2013,41,0.01420448584796645
8377,New York City,2013,42,0.015088109157743421
8431,New York City,2013,43,0.016996406592043184
8485,New York City,2013,44,0.018147420043543434
8539,New York City,2013,45,0.019038469935808586
8593,New York City,2013,46,0.019543297097484685
8647,New York City,2013,47,0.020610286961076762
