,REGION,YEAR,WEEK,ili_ratio
32,New York,2010,40,0.002629895514960104
84,New York,2010,41,0.0036972938955288723
136,New York,2010,42,0.0036212079803200183
188,New York,2010,43,0.0035898130587892238
240,New York,2010,44,0.0052735662491725285
292,New York,2010,45,0.0050475635798841335
344,New York,2010,46,0.005034412439456389
396,New York,2010,47,0.005491904175735733
448,New York,2010,48,0.016259079096410833
500,New York,2010,49,0.021628952816031388
552,New York,2010,50,0.026809852808631112
604,New York,2010,51,0.038484427692879894
656,New York,2010,52,0.041992540007168816
708,New York,2011,1,0.02876992235387922
760,New York,2011,2,0.034510722652699125
812,New York,2011,3,0.030785195434079222
864,New York,2011,4,0.03355086372358269
916,New York,2011,5,0.040441176470557255
968,New York,2011,6,0.038980509745100866
1020,New York,2011,7,0.040366834548567716
1072,New York,2011,8,0.03743315508018054
1124,New York,2011,9,0.027249314613253094
1176,New York,2011,10,0.027215024780430207
1228,New York,2011,11,0.03021929042607397
1280,New York,2011,12,0.02311402311400208
1332,New York,2011,13,0.020210455987957062
1384,New York,2011,14,0.022285359140528913
1436,New York,2011,15,0.023652034475823158
1488,New York,2011,16,0.022340666817847195
1540,New York,2011,17,0.01356418173796475
1592,New York,2011,18,0.016657593903084748
1644,New York,2011,19,0.017210620211966406
1696,New York,2011,20,0.007034431691957257
1748,New York,2011,21,0.01563487049902774
1800,New York,2011,22,0.01778136997369614
1852,New York,2011,23,0.001475198229759404
1904,New York,2011,24,0.0009090909090892562
1956,New York,2011,25,0.0013490075158964175
2008,New York,2011,26,0.0013616028010088278
2060,New York,2011,27,0.0005383580080739209
2112,New York,2011,28,0.0005806077027277326
2164,New York,2011,29,0.0014559068219603662
2216,New York,2011,30,0.001372549019605152
2268,New York,2011,31,0.0017104981825920237
2320,New York,2011,32,0.0012541806020040674
2372,New York,2011,33,0.0013192612137178303
2424,New York,2011,34,0.0008880994671390052
2476,New York,2011,35,0.0015715857299991017
2528,New York,2011,36,0.0015275921328975987
2580,New York,2011,37,0.0012780460096545327
2632,New York,2011,38,0.002825947334614225
2684,New York,2011,39,0.0032349373230850047
2736,New York,2011,40,0.005323450134767302
2789,New York,2011,41,0.005534677143829494
2842,New York,2011,42,0.004406851943987201
2895,New York,2011,43,0.0041135048455663995
2948,New York,2011,44,0.005271179982214358
3001,New York,2011,45,0.003994330627493883
3054,New York,2011,46,0.004435370318217097
3107,New York,2011,47,0.0036715961244225682
3160,New York,2011,48,0.0061654028771836395
3213,New York,2011,49,0.0069602370615347246
3266,New York,2011,50,0.005808599560809089
3319,New York,2011,51,0.004913369537104634
3372,New York,2011,52,0.0045500505561115396
3425,New York,2012,1,0.006570542069714755
3478,New York,2012,2,0.007193628500464851
3531,New York,2012,3,0.006694000502044436
3584,New York,2012,4,0.0050978943479829345
3637,New York,2012,5,0.005931517929357016
3690,New York,2012,6,0.00508223335921149
3743,New York,2012,7,0.0058610709117179
3796,New York,2012,8,0.00988678041778832
3849,New York,2012,9,0.007858687815423317
3902,New York,2012,10,0.007456685430216056
3955,New York,2012,11,0.009967820422251025
4008,New York,2012,12,0.006866815713823964
4061,New York,2012,13,0.005984348626664121
4114,New York,2012,14,0.007961783439483772
4167,New York,2012,15,0.008126327454051042
4220,New York,2012,16,0.0068976328578092974
4273,New York,2012,17,0.006653683868868343
4326,New York,2012,18,0.004650702552934246
4379,New York,2012,19,0.005575809564651966
4432,New York,2012,20,0.005608388197993649
4485,New York,2012,21,0.004162585700288733
4538,New York,2012,22,0.003948017766073453
4591,New York,2012,23,0.0029121501375134894
4644,New York,2012,24,0.0016384489350052096
4697,New York,2012,25,0.0022487458917103465
4750,New York,2012,26,0.0015558148580288686
4803,New York,2012,27,0.0029796011918336476
4856,New York,2012,28,0.0013872030518443086
4909,New York,2012,29,0.0012497768255646318
4962,New York,2012,30,0.0008866820358203819
5015,New York,2012,31,0.0017048683462744746
5068,New York,2012,32,0.0009230201218369522
5121,New York,2012,33,0.0012504465880649332
5174,New York,2012,34,0.0006120887528682295
5227,New York,2012,35,0.0008369201339062208
5280,New York,2012,36,0.0011776829088750512
5333,New York,2012,37,0.0017395338049382585
5386,New York,2012,38,0.001089984255781652
5439,New York,2012,39,0.0028305224672687456
5492,New York,2012,40,0.002932193036039748
5545,New York,2012,41,0.005728912725496265
5598,New York,2012,42,0.010028284906139091
5651,New York,2012,43,0.00778845549902155
5704,New York,2012,44,0.006334841628954499
5757,New York,2012,45,0.008329309512307865
5810,New York,2012,46,0.00991706779562146
5863,New York,2012,47,0.01704765594729073
5916,New York,2012,48,0.016770947558526237
5969,New York,2012,49,0.021112284015766924
6022,New York,2012,50,0.03031392283726916
6075,New York,2012,51,0.03629084334235032
6128,New York,2012,52,0.059523809523734934
6181,New York,2013,1,0.03996376082138115
6234,New York,2013,2,0.0413806758183465
6287,New York,2013,3,0.04538121624461992
6340,New York,2013,4,0.040689293670527656
6393,New York,2013,5,0.029484029484010906
6446,New York,2013,6,0.027859042553172966
6499,New York,2013,7,0.03392172875178471
6552,New York,2013,8,0.03484915565110692
6605,New York,2013,9,0.026750493096630454
6658,New York,2013,10,0.02384337037992773
6711,New York,2013,11,0.027050236152835944
6764,New York,2013,12,0.022772043180188502
6817,New York,2013,13,0.01620496107186655
6870,New York,2013,14,0.015809193091459554
6923,New York,2013,15,0.013398395500774625
6976,New York,2013,16,0.014714159363178648
7029,New York,2013,17,0.0119105890030903
7082,New York,2013,18,0.009794736393825231
7135,New York,2013,19,0.008594757198101766
7188,New York,2013,20,0.008306140611086416
7241,New York,2013,21,0.00678931230835875
7294,New York,2013,22,0.011989100817422358
7347,New York,2013,23,0.008932769158428616
7400,New York,2013,24,0.00881857087276771
7453,New York,2013,25,0.0056490237013316355
7506,New York,2013,26,0.006066155430919004
7559,New York,2013,27,0.008262945280924968
7612,New York,2013,28,0.006358458073908653
7665,New York,2013,29,0.004491858506452002
7718,New York,2013,30,0.007847533632276
7771,New York,2013,31,0.0043208987469331404
7824,New York,2013,32,0.005617977528081997
7877,New York,2013,33,0.003677472078447729
7930,New York,2013,34,0.004550930263680162
7983,New York,2013,35,0.003963963963959202
8036,New York,2013,36,0.0034731498797709415
8089,New York,2013,37,0.003235896882749179
8142,New York,2013,38,0.003843095679825281
8195,New York,2013,39,0.002660164043446397
8248,New York,2013,40,0.005825885468384094
8302,New York,2013,41,0.005525615662729022
8356,New York,2013,42,0.005737815579853018
8410,New York,2013,43,0.007538491024080023
8464,New York,2013,44,0.007195631223895152
8518,New York,2013,45,0.008504868729194807
8572,New York,2013,46,0.008098174795983244
8626,New York,2013,47,0.009152433129223878
8680,New York,2013,48,0.009901820928077619
8734,New York,2013,49,0.009587674573260038
8788,New York,2013,50,0.01037443357976963
8842,New York,2013,51,0.013551467490511478
8896,New York,2013,52,0.02994565845759053
8950,New York,2014,1,0.02973035261577583
9004,New York,2014,2,0.01996982975359531
9058,New York,2014,3,0.028084628346734017
9112,New York,2014,4,0.029172492690969127
9166,New York,2014,5,0.03137983818060825
9220,New York,2014,6,0.036535943637361096
9274,New York,2014,7,0.029001421005019373
9328,New York,2014,8,0.018887853370600255
9382,New York,2014,9,0.01542314040178964
9436,New York,2014,10,0.017822736030817785
9490,New York,2014,11,0.01904696417519147
9544,New York,2014,12,0.021979451163986228
9598,New York,2014,13,0.02737894553274
9652,New York,2014,14,0.03066053455973428
9706,New York,2014,15,0.030977555184547714
9760,New York,2014,16,0.02372330204713345
9814,New York,2014,17,0.015094339622631688
9868,New York,2014,18,0.01596516690855306
9922,New York,2014,19,0.01362002648337624
9976,New York,2014,20,0.013262949521601277
10030,New York,2014,21,0.010697506324531479
10084,New York,2014,22,0.009058882737786553
10138,New York,2014,23,0.010217563639557633
10192,New York,2014,24,0.012822796081912
10246,New York,2014,25,0.010805248263432977
10300,New York,2014,26,0.008630765081355182
10354,New York,2014,27,0.009599999999989759
10408,New York,2014,28,0.0066206102475468995
10462,New York,2014,29,0.007849000186873623
10516,New York,2014,30,0.006333180357956555
10570,New York,2014,31,0.007901751713625378
10624,New York,2014,32,0.005853087503652469
10678,New York,2014,33,0.005521180390285082
10732,New York,2014,34,0.00449357418890582
10786,New York,2014,35,0.005302056555265663
10840,New York,2014,36,0.0033771106941806964
10894,New York,2014,37,0.006456648219095745
10948,New York,2014,38,0.008354883628401064
11002,New York,2014,39,0.007961666052334712
11056,New York,2014,40,0.006938227394803638
11110,New York,2014,41,0.006090808416386439
11164,New York,2014,42,0.007684597393914865
11218,New York,2014,43,0.008725527621743619
11272,New York,2014,44,0.009517698641851396
11326,New York,2014,45,0.011059616599952042
11380,New York,2014,46,0.011101424004643359
11434,New York,2014,47,0.013822179528224024
11488,New York,2014,48,0.01846831582512837
11542,New York,2014,49,0.014133697135053679
11596,New York,2014,50,0.016457100591705832
11650,New York,2014,51,0.026503296264216217
11704,New York,2014,52,0.061879377025126074
11758,New York,2014,53,0.04549907477953031
11812,New York,2015,1,0.04206935758949167
11866,New York,2015,2,0.05391001332371229
11920,New York,2015,3,0.05588312945520031
11974,New York,2015,4,0.06327068628279336
12028,New York,2015,5,0.06694720734500101
12082,New York,2015,6,0.057074299425780205
12136,New York,2015,7,0.040247678018535654
12190,New York,2015,8,0.02726622563916747
12244,New York,2015,9,0.025190286335606025
12298,New York,2015,10,0.018081984284750465
12352,New York,2015,11,0.022828282828259768
12406,New York,2015,12,0.021500498956707338
12460,New York,2015,13,0.02707200710082428
12514,New York,2015,14,0.024613481756308456
12568,New York,2015,15,0.01915070774352711
12622,New York,2015,16,0.014715981555955346
12676,New York,2015,17,0.01586976553699614
12730,New York,2015,18,0.01807699824113926
12784,New York,2015,19,0.01188347880953635
12838,New York,2015,20,0.013621038435585138
12892,New York,2015,21,0.016489361702098422
12946,New York,2015,22,0.01808654496278214
13000,New York,2015,23,0.01245096367045463
13054,New York,2015,24,0.004417261297987738
13108,New York,2015,25,0.008231143961014226
13162,New York,2015,26,0.012330456226855056
13216,New York,2015,27,0.013157894736817721
13270,New York,2015,28,0.01179084073818901
13324,New York,2015,29,0.009005763688744586
13378,New York,2015,30,0.013698630136959872
13432,New York,2015,31,0.015036198255030563
13486,New York,2015,32,0.014878184861419234
