,REGION,YEAR,WEEK,ili_ratio
33,North Carolina,2010,40,0.0053142970454073705
85,North Carolina,2010,41,0.0053652968036509265
137,North Carolina,2010,42,0.004571068290182224
189,North Carolina,2010,43,0.0051116289558726935
241,North Carolina,2010,44,0.006499250086525978
293,North Carolina,2010,45,0.004768618344665463
345,North Carolina,2010,46,0.004845692497118463
397,North Carolina,2010,47,0.006319702602226567
449,North Carolina,2010,48,0.006577929113137836
501,North Carolina,2010,49,0.006136110078093094
553,North Carolina,2010,50,0.00628731441855218
605,North Carolina,2010,51,0.009447289422559202
657,North Carolina,2010,52,0.015898571141058665
709,North Carolina,2011,1,0.015265965876068212
761,North Carolina,2011,2,0.025344501486071144
813,North Carolina,2011,3,0.03981449072451881
865,North Carolina,2011,4,0.04895485274689216
917,North Carolina,2011,5,0.05622127380168408
969,North Carolina,2011,6,0.06071598220837728
1021,North Carolina,2011,7,0.050341395671777825
1073,North Carolina,2011,8,0.037391169154214324
1125,North Carolina,2011,9,0.022582738481495744
1177,North Carolina,2011,10,0.023262913664657915
1229,North Carolina,2011,11,0.014783946023706512
1281,North Carolina,2011,12,0.010581019710655656
1333,North Carolina,2011,13,0.008386045620084154
1385,North Carolina,2011,14,0.005365355135408602
1437,North Carolina,2011,15,0.005860469856797707
1489,North Carolina,2011,16,0.0037071362372544285
1541,North Carolina,2011,17,0.0027545112147941116
1593,North Carolina,2011,18,0.003207389826157414
1645,North Carolina,2011,19,0.004055807916933764
1697,North Carolina,2011,20,0.0031355932203363255
1749,North Carolina,2011,21,0.006222492032165393
1801,North Carolina,2011,22,0.006075712727829762
1853,North Carolina,2011,23,0.005336681839577246
1905,North Carolina,2011,24,0.0060546874999881746
1957,North Carolina,2011,25,0.00637996219280156
2009,North Carolina,2011,26,0.006543321299624225
2061,North Carolina,2011,27,0.006776127182677154
2113,North Carolina,2011,28,0.00422691879865578
2165,North Carolina,2011,29,0.0031738281249922514
2217,North Carolina,2011,30,0.003792103502110658
2269,North Carolina,2011,31,0.0026234199856841798
2321,North Carolina,2011,32,0.002753441802245924
2373,North Carolina,2011,33,0.005319148936157912
2425,North Carolina,2011,34,0.0029379360998844327
2477,North Carolina,2011,35,0.004369101712680236
2529,North Carolina,2011,36,0.0038978756577589205
2581,North Carolina,2011,37,0.005628517823630975
2633,North Carolina,2011,38,0.0052098000563148275
2685,North Carolina,2011,39,0.008586814146399962
2737,North Carolina,2011,40,0.0035066571694682444
2790,North Carolina,2011,41,0.005839571056959261
2843,North Carolina,2011,42,0.00793961968241132
2896,North Carolina,2011,43,0.0074094153790515
2949,North Carolina,2011,44,0.00797812738110888
3002,North Carolina,2011,45,0.009103260869561093
3055,North Carolina,2011,46,0.008642307003399317
3108,North Carolina,2011,47,0.007857796765328152
3161,North Carolina,2011,48,0.007956938918788693
3214,North Carolina,2011,49,0.007507277462842803
3267,North Carolina,2011,50,0.008833076145368577
3320,North Carolina,2011,51,0.011397773458198092
3373,North Carolina,2011,52,0.015211842776911472
3426,North Carolina,2012,1,0.009200137315476004
3479,North Carolina,2012,2,0.008895334783655355
3532,North Carolina,2012,3,0.010122508305642585
3585,North Carolina,2012,4,0.010445005829765621
3638,North Carolina,2012,5,0.01052867383512073
3691,North Carolina,2012,6,0.01290123728589102
3744,North Carolina,2012,7,0.013264888929263042
3797,North Carolina,2012,8,0.01709176965552761
3850,North Carolina,2012,9,0.01521231094844781
3903,North Carolina,2012,10,0.016367418436601507
3956,North Carolina,2012,11,0.009028174129606688
4009,North Carolina,2012,12,0.01290967987804263
4062,North Carolina,2012,13,0.00883198327671344
4115,North Carolina,2012,14,0.011095084877393156
4168,North Carolina,2012,15,0.009085501054562174
4221,North Carolina,2012,16,0.007936507936503846
4274,North Carolina,2012,17,0.007465257838516443
4327,North Carolina,2012,18,0.0062289455285030005
4380,North Carolina,2012,19,0.005675203725257803
4433,North Carolina,2012,20,0.00508066672608514
4486,North Carolina,2012,21,0.0021395459408033524
4539,North Carolina,2012,22,0.010153715977985964
4592,North Carolina,2012,23,0.00828188525823177
4645,North Carolina,2012,24,0.007440957618881526
4698,North Carolina,2012,25,0.007150331356806505
4751,North Carolina,2012,26,0.007057637371858414
4804,North Carolina,2012,27,0.00891886012614984
4857,North Carolina,2012,28,0.008490094889281688
4910,North Carolina,2012,29,0.007619370132056181
4963,North Carolina,2012,30,0.009168704156460537
5016,North Carolina,2012,31,0.0006528835690954236
5069,North Carolina,2012,32,0.0071954771286496565
5122,North Carolina,2012,33,0.006895445798577781
5175,North Carolina,2012,34,0.0060022333891596846
5228,North Carolina,2012,35,0.008326618318549119
5281,North Carolina,2012,36,0.007101568951268206
5334,North Carolina,2012,37,0.008957770510437996
5387,North Carolina,2012,38,0.009399264405381557
5440,North Carolina,2012,39,0.010053809119215443
5493,North Carolina,2012,40,0.007330661714393837
5546,North Carolina,2012,41,0.006157319513568599
5599,North Carolina,2012,42,0.007431715085412879
5652,North Carolina,2012,43,0.008287166338533818
5705,North Carolina,2012,44,0.010834795170771419
5758,North Carolina,2012,45,0.014834165228336598
5811,North Carolina,2012,46,0.014849491593670164
5864,North Carolina,2012,47,0.017989889979171877
5917,North Carolina,2012,48,0.021852980384678224
5970,North Carolina,2012,49,0.05132231404956557
6023,North Carolina,2012,50,0.063469327274492
6076,North Carolina,2012,51,0.049200898164014524
6129,North Carolina,2012,52,0.08811498065219665
6182,North Carolina,2013,1,0.05019788918202493
6235,North Carolina,2013,2,0.03616048276835785
6288,North Carolina,2013,3,0.031762716512027896
6341,North Carolina,2013,4,0.02469071629066187
6394,North Carolina,2013,5,0.020575756193247603
6447,North Carolina,2013,6,0.014278982092358963
6500,North Carolina,2013,7,0.011999811026592337
6553,North Carolina,2013,8,0.012913342249682741
6606,North Carolina,2013,9,0.012590511185554636
6659,North Carolina,2013,10,0.013441012029133427
6712,North Carolina,2013,11,0.015394651011079324
6765,North Carolina,2013,12,0.008648302370270847
6818,North Carolina,2013,13,0.014102489698790492
6871,North Carolina,2013,14,0.011497064579249329
6924,North Carolina,2013,15,0.009432304177157753
6977,North Carolina,2013,16,0.008709422011079415
7030,North Carolina,2013,17,0.0061685654937960795
7083,North Carolina,2013,18,0.0025498725063727687
7136,North Carolina,2013,19,0.002174813587404541
7189,North Carolina,2013,20,0.008763388510214472
7242,North Carolina,2013,21,0.009039740747042403
7295,North Carolina,2013,22,0.0010773540185281677
7348,North Carolina,2013,23,0.0006763611768661605
7401,North Carolina,2013,24,0.0
7454,North Carolina,2013,25,0.008815426997220894
7507,North Carolina,2013,26,0.0006377551020387826
7560,North Carolina,2013,27,0.012325390303975656
7613,North Carolina,2013,28,0.0
7666,North Carolina,2013,29,0.0
7719,North Carolina,2013,30,0.010819165378637344
7772,North Carolina,2013,31,0.0
7825,North Carolina,2013,32,0.007350591243185201
7878,North Carolina,2013,33,0.010317460317433023
7931,North Carolina,2013,34,0.008676789587831581
7984,North Carolina,2013,35,0.0008915304606214219
8037,North Carolina,2013,36,0.009073233959789134
8090,North Carolina,2013,37,0.008305647840508567
8143,North Carolina,2013,38,0.0046529662659765296
8196,North Carolina,2013,39,0.016685520361943762
8249,North Carolina,2013,40,0.003569834895134109
8303,North Carolina,2013,41,0.008673674536154474
8357,North Carolina,2013,42,0.007463135720729784
8411,North Carolina,2013,43,0.00734639358859787
8465,North Carolina,2013,44,0.008210662131248483
8519,North Carolina,2013,45,0.008915856603300775
8573,North Carolina,2013,46,0.00990507635162437
8627,North Carolina,2013,47,0.008700102354140395
8681,North Carolina,2013,48,0.01459339774555697
8735,North Carolina,2013,49,0.012310819968368922
8789,North Carolina,2013,50,0.01479994050274074
8843,North Carolina,2013,51,0.02093287827074635
8897,North Carolina,2013,52,0.04545454545447659
8951,North Carolina,2014,1,0.039178574808328585
9005,North Carolina,2014,2,0.024758536253554102
9059,North Carolina,2014,3,0.032100639843817315
9113,North Carolina,2014,4,0.03139974779317062
9167,North Carolina,2014,5,0.02900972053460737
9221,North Carolina,2014,6,0.017690982194131136
9275,North Carolina,2014,7,0.02067183462530519
9329,North Carolina,2014,8,0.014358008708947653
9383,North Carolina,2014,9,0.014321408982866523
9437,North Carolina,2014,10,0.013120044902818269
9491,North Carolina,2014,11,0.011532649327915746
9545,North Carolina,2014,12,0.010725263226727667
9599,North Carolina,2014,13,0.009013583851714475
9653,North Carolina,2014,14,0.008749999999994243
9707,North Carolina,2014,15,0.009517470881857226
9761,North Carolina,2014,16,0.013046495489234526
9815,North Carolina,2014,17,0.007638231715555199
9869,North Carolina,2014,18,0.00982246798602312
9923,North Carolina,2014,19,0.011423871321502993
9977,North Carolina,2014,20,0.00823244552057314
10031,North Carolina,2014,21,0.012098400322607745
10085,North Carolina,2014,22,0.012168543407170053
10139,North Carolina,2014,23,0.014804613530702695
10193,North Carolina,2014,24,0.012835472578738166
10247,North Carolina,2014,25,0.01386302503618071
10301,North Carolina,2014,26,0.00994390617029591
10355,North Carolina,2014,27,0.01033434650452786
10409,North Carolina,2014,28,0.011627906976707644
10463,North Carolina,2014,29,0.011743981209595585
10517,North Carolina,2014,30,0.009171410499654739
10571,North Carolina,2014,31,0.008333333333308532
10625,North Carolina,2014,32,0.011392405063255088
10679,North Carolina,2014,33,0.00806201550385097
10733,North Carolina,2014,34,0.008499335989353256
10787,North Carolina,2014,35,0.007019927536215988
10841,North Carolina,2014,36,0.008401155158812283
10895,North Carolina,2014,37,0.010982976386570613
10949,North Carolina,2014,38,0.008575197889163203
11003,North Carolina,2014,39,0.01242236024841965
11057,North Carolina,2014,40,0.0055793699394396275
11111,North Carolina,2014,41,0.006605789780450355
11165,North Carolina,2014,42,0.004936434947251192
11219,North Carolina,2014,43,0.007892238309988196
11273,North Carolina,2014,44,0.00923254472013316
11327,North Carolina,2014,45,0.00970316357581116
11381,North Carolina,2014,46,0.009559279950335469
11435,North Carolina,2014,47,0.009314887284346957
11489,North Carolina,2014,48,0.020605038868576748
11543,North Carolina,2014,49,0.01810609128245612
11597,North Carolina,2014,50,0.02990053010898213
11651,North Carolina,2014,51,0.045909515547814014
11705,North Carolina,2014,52,0.08651608487325597
11759,North Carolina,2014,53,0.07654185022018001
11813,North Carolina,2015,1,0.03790106951869124
11867,North Carolina,2015,2,0.037041679724201165
11921,North Carolina,2015,3,0.046448629005585426
11975,North Carolina,2015,4,0.03479113777980914
12029,North Carolina,2015,5,0.032752420470244674
12083,North Carolina,2015,6,0.031038961038940882
12137,North Carolina,2015,7,0.032918149466165544
12191,North Carolina,2015,8,0.030409650665971004
12245,North Carolina,2015,9,0.020849700852105607
12299,North Carolina,2015,10,0.018378812199022168
12353,North Carolina,2015,11,0.016448959845176313
12407,North Carolina,2015,12,0.014102224576261849
12461,North Carolina,2015,13,0.013342082239710307
12515,North Carolina,2015,14,0.008953784695909529
12569,North Carolina,2015,15,0.009861642625839077
12623,North Carolina,2015,16,0.006425758308570147
12677,North Carolina,2015,17,0.00762420068863123
12731,North Carolina,2015,18,0.008962975372751748
12785,North Carolina,2015,19,0.007274330430940951
12839,North Carolina,2015,20,0.006015791452555438
12893,North Carolina,2015,21,0.006475349521697608
12947,North Carolina,2015,22,0.005366452008578095
13001,North Carolina,2015,23,0.0054091781538904045
13055,North Carolina,2015,24,0.004260395364682583
13109,North Carolina,2015,25,0.004486929379624489
13163,North Carolina,2015,26,0.00499405469677766
13217,North Carolina,2015,27,0.005103082261675642
13271,North Carolina,2015,28,0.006723716381397544
13325,North Carolina,2015,29,0.006385696040848066
13379,North Carolina,2015,30,0.0046037487668378705
13433,North Carolina,2015,31,0.005915215248090979
13487,North Carolina,2015,32,0.01069345430975148
13541,North Carolina,2015,33,0.005037115588533836
13595,North Carolina,2015,34,0.009697529438906264
13649,North Carolina,2015,35,0.0065101139269785864
13703,North Carolina,2015,36,0.0031046258925703056
13757,North Carolina,2015,37,0.007651434643979487
13811,North Carolina,2015,38,0.008132214060839109
13865,North Carolina,2015,39,0.011174707004602958
13919,North Carolina,2015,40,0.008359253499216977
13973,North Carolina,2015,41,0.012887106318618655
14027,North Carolina,2015,42,0.012404849168304253
14081,North Carolina,2015,43,0.01407751937983623
14135,North Carolina,2015,44,0.01176672188266878
14189,North Carolina,2015,45,0.009722056542997898
14243,North Carolina,2015,46,0.01171831611684343
14297,North Carolina,2015,47,0.015631513130454737
14351,North Carolina,2015,48,0.015567818762697899
14405,North Carolina,2015,49,0.015371292487540324
14459,North Carolina,2015,50,0.017854257553709924
14513,North Carolina,2015,51,0.027638190954733022
14567,North Carolina,2015,52,0.026292615423290613
14621,North Carolina,2016,1,0.015660446395890478
14675,North Carolina,2016,2,0.017292912040978298
14729,North Carolina,2016,3,0.01859979101356468
14783,North Carolina,2016,4,0.015285084601155064
14837,North Carolina,2016,5,0.016268008547586497
14891,North Carolina,2016,6,0.021611544569480348
14945,North Carolina,2016,7,0.03123329515079707
14999,North Carolina,2016,8,0.04193017961039595
15053,North Carolina,2016,9,0.03997421018695037
15107,North Carolina,2016,10,0.038359503835922876
15161,North Carolina,2016,11,0.039711465451754205
15215,North Carolina,2016,12,0.03457126814788275
15269,North Carolina,2016,13,0.030393937001633856
15323,North Carolina,2016,14,0.02638647495652837
15377,North Carolina,2016,15,0.02295386042196232
15431,North Carolina,2016,16,0.02560302955460146
15485,North Carolina,2016,17,0.021048482459581356
15539,North Carolina,2016,18,0.019611436950128652
15593,North Carolina,2016,19,0.01994985282893279
15647,North Carolina,2016,20,0.013096862210077631
15701,North Carolina,2016,21,0.01303295475700422
15755,North Carolina,2016,22,0.011625576267765834
15809,North Carolina,2016,23,0.01235009844279157
15863,North Carolina,2016,24,0.011020684977939945
