,REGION,YEAR,WEEK,ili_ratio
34,North Dakota,2010,40,0.0067135549872015445
86,North Dakota,2010,41,0.007219610476817966
138,North Dakota,2010,42,0.005674765029250444
190,North Dakota,2010,43,0.0033923859781315635
242,North Dakota,2010,44,0.007137490608551582
294,North Dakota,2010,45,0.007581100141030358
346,North Dakota,2010,46,0.006441915396163964
398,North Dakota,2010,47,0.005905511811010705
450,North Dakota,2010,48,0.0034708831469273606
502,North Dakota,2010,49,0.002375296912108885
554,North Dakota,2010,50,0.0031762837479980084
606,North Dakota,2010,51,0.0027567195037714906
658,North Dakota,2010,52,0.0
710,North Dakota,2011,1,0.0026490066224990135
762,North Dakota,2011,2,0.0011813349084395669
814,North Dakota,2011,3,0.0076880834705783194
866,North Dakota,2011,4,0.010281385281329648
918,North Dakota,2011,5,0.012254901960724242
970,North Dakota,2011,6,0.015977961432418857
1022,North Dakota,2011,7,0.022556390977337613
1074,North Dakota,2011,8,0.02682352941163848
1126,North Dakota,2011,9,0.030166591625258143
1178,North Dakota,2011,10,0.042180094786529954
1230,North Dakota,2011,11,0.022166246851273722
1282,North Dakota,2011,12,0.02263969171472717
1334,North Dakota,2011,13,0.008467023172867794
1386,North Dakota,2011,14,0.007218479306991249
1438,North Dakota,2011,15,0.007944389275035033
1490,North Dakota,2011,16,0.003997335109900085
1542,North Dakota,2011,17,0.002104155707511288
1594,North Dakota,2011,18,0.002463054187176952
1646,North Dakota,2011,19,0.000683526999311801
1698,North Dakota,2011,20,0.003427592116508761
1750,North Dakota,2011,21,0.0
1802,North Dakota,2011,22,0.001620745542936623
1854,North Dakota,2011,23,0.0
1906,North Dakota,2011,24,0.0
1958,North Dakota,2011,25,0.0
2010,North Dakota,2011,26,0.000766871165638291
2062,North Dakota,2011,27,0.0
2114,North Dakota,2011,28,0.0
2166,North Dakota,2011,29,0.0
2218,North Dakota,2011,30,0.0
2270,North Dakota,2011,31,0.0014017381553086579
2322,North Dakota,2011,32,0.0018073844564890076
2374,North Dakota,2011,33,0.0019733596447903965
2426,North Dakota,2011,34,0.002820211515857062
2478,North Dakota,2011,35,0.0024531668153379726
2530,North Dakota,2011,36,0.0032794053344921744
2582,North Dakota,2011,37,0.004246284501052556
2634,North Dakota,2011,38,0.0059369202226234935
2686,North Dakota,2011,39,0.004961753152770391
2738,North Dakota,2011,40,0.0067954979825721054
2791,North Dakota,2011,41,0.006368159203967426
2844,North Dakota,2011,42,0.006220506220492878
2897,North Dakota,2011,43,0.0034180730613043836
2950,North Dakota,2011,44,0.006051437216323622
3003,North Dakota,2011,45,0.006950236308015151
3056,North Dakota,2011,46,0.005239717055265288
3109,North Dakota,2011,47,0.012273901808745886
3162,North Dakota,2011,48,0.004518072289143018
3215,North Dakota,2011,49,0.007442691277143666
3268,North Dakota,2011,50,0.010572687224638553
3321,North Dakota,2011,51,0.007635530669362088
3374,North Dakota,2011,52,0.00433486859928384
3427,North Dakota,2012,1,0.006000521784487346
3480,North Dakota,2012,2,0.0042452830188579125
3533,North Dakota,2012,3,0.0064981949458327365
3586,North Dakota,2012,4,0.00939985538680622
3639,North Dakota,2012,5,0.010609171800100585
3692,North Dakota,2012,6,0.01372872048317557
3745,North Dakota,2012,7,0.011170212765898031
3798,North Dakota,2012,8,0.010946555054662289
3851,North Dakota,2012,9,0.012195121951141238
3904,North Dakota,2012,10,0.009554140127337823
3957,North Dakota,2012,11,0.02525556223676936
4010,North Dakota,2012,12,0.01938923897227635
4063,North Dakota,2012,13,0.008849557522080387
4116,North Dakota,2012,14,0.013948497854002423
4169,North Dakota,2012,15,0.011826544020947264
4222,North Dakota,2012,16,0.012476007677483322
4275,North Dakota,2012,17,0.005141388174774156
4328,North Dakota,2012,18,0.004132231404924527
4381,North Dakota,2012,19,0.005551700208150231
4434,North Dakota,2012,20,0.0060864272671571126
4487,North Dakota,2012,21,0.0008169934640456128
4540,North Dakota,2012,22,0.0035149384885455634
4593,North Dakota,2012,23,0.0
4646,North Dakota,2012,24,0.0020833333333188657
4699,North Dakota,2012,25,0.0022471910112191224
4752,North Dakota,2012,26,0.0
4805,North Dakota,2012,27,0.0
4858,North Dakota,2012,28,0.0
4911,North Dakota,2012,29,0.0
4964,North Dakota,2012,30,0.0
5017,North Dakota,2012,31,0.006730769230704513
5070,North Dakota,2012,32,0.0011848341232087104
5123,North Dakota,2012,33,0.0008361204013308017
5176,North Dakota,2012,34,0.0035429583702077687
5229,North Dakota,2012,35,0.002192982456116305
5282,North Dakota,2012,36,0.0
5335,North Dakota,2012,37,0.0036429872495114487
5388,North Dakota,2012,38,0.0
5441,North Dakota,2012,39,0.0020512820512610126
5494,North Dakota,2012,40,0.013481363996721006
5547,North Dakota,2012,41,0.013595166163039312
5600,North Dakota,2012,42,0.008555133079766587
5653,North Dakota,2012,43,0.00823353293407011
5706,North Dakota,2012,44,0.006278026905773292
5759,North Dakota,2012,45,0.014821272885659799
5812,North Dakota,2012,46,0.014890282131544749
5865,North Dakota,2012,47,0.018181818181582054
5918,North Dakota,2012,48,0.008757961783369763
5971,North Dakota,2012,49,0.011444921316084086
6024,North Dakota,2012,50,0.015846538782186434
6077,North Dakota,2012,51,0.04263005780316019
6130,North Dakota,2012,52,0.051625239005242594
6183,North Dakota,2013,1,0.04999999999966217
6236,North Dakota,2013,2,0.07009142359568964
6289,North Dakota,2013,3,0.05741846577833065
6342,North Dakota,2013,4,0.06808134394281096
6395,North Dakota,2013,5,0.04541895066526689
6448,North Dakota,2013,6,0.045993031358564515
6501,North Dakota,2013,7,0.07760532150718696
6554,North Dakota,2013,8,0.0270867882806684
6607,North Dakota,2013,9,0.06089965397881731
6660,North Dakota,2013,10,0.05606758832522222
6713,North Dakota,2013,11,0.05601092896136605
6766,North Dakota,2013,12,0.0332671300892092
6819,North Dakota,2013,13,0.043964828137138576
6872,North Dakota,2013,14,0.04143426294787702
6925,North Dakota,2013,15,0.03678160919512045
6978,North Dakota,2013,16,0.05084745762670826
7031,North Dakota,2013,17,0.04659188955956349
7084,North Dakota,2013,18,0.044141252006066285
7137,North Dakota,2013,19,0.037104072397854265
7190,North Dakota,2013,20,0.022181146025673004
7243,North Dakota,2013,21,0.022893772893563247
7296,North Dakota,2013,22,0.022351797861784727
7349,North Dakota,2013,23,0.023519870235007952
7402,North Dakota,2013,24,0.023360964581587335
7455,North Dakota,2013,25,0.020474137930813856
7508,North Dakota,2013,26,0.019546520719159136
7561,North Dakota,2013,27,0.026812313803110107
7614,North Dakota,2013,28,0.015440508628379288
7667,North Dakota,2013,29,0.02414113277600612
7720,North Dakota,2013,30,0.031976744185736664
7773,North Dakota,2013,31,0.015579357351357554
7826,North Dakota,2013,32,0.0
7879,North Dakota,2013,33,0.0
7932,North Dakota,2013,34,0.0
