,REGION,YEAR,WEEK,ili_ratio
35,Ohio,2010,40,0.0022825659189277584
87,Ohio,2010,41,0.003616279834306255
139,Ohio,2010,42,0.005235602094237574
191,Ohio,2010,43,0.0032951786333661145
243,Ohio,2010,44,0.008317981354319031
295,Ohio,2010,45,0.005180098783276002
347,Ohio,2010,46,0.0053319863052111284
399,Ohio,2010,47,0.004545024145436468
451,Ohio,2010,48,0.0034956748429888045
503,Ohio,2010,49,0.0034246575342444427
555,Ohio,2010,50,0.004464574571333248
607,Ohio,2010,51,0.00598155686632385
659,Ohio,2010,52,0.007213055630685048
711,Ohio,2011,1,0.009148529060028015
763,Ohio,2011,2,0.011714391967266818
815,Ohio,2011,3,0.01639639639638655
867,Ohio,2011,4,0.024038726002517167
919,Ohio,2011,5,0.0349320241691623
971,Ohio,2011,6,0.022670571645502402
1023,Ohio,2011,7,0.02237173175800111
1075,Ohio,2011,8,0.019064856711904034
1127,Ohio,2011,9,0.016819666071088153
1179,Ohio,2011,10,0.014844634545216477
1231,Ohio,2011,11,0.012823108591474102
1283,Ohio,2011,12,0.006486954014699086
1335,Ohio,2011,13,0.008730901153719417
1387,Ohio,2011,14,0.006154646324543902
1439,Ohio,2011,15,0.004521276595740672
1491,Ohio,2011,16,0.003558015418063295
1543,Ohio,2011,17,0.003751442862635868
1595,Ohio,2011,18,0.006618004866173607
1647,Ohio,2011,19,0.0038755838219180403
1699,Ohio,2011,20,0.00485879137564039
1751,Ohio,2011,21,0.0028544243577515015
1803,Ohio,2011,22,0.004862444017908045
1855,Ohio,2011,23,0.002102386208344263
1907,Ohio,2011,24,0.0005837711617039302
1959,Ohio,2011,25,0.0007411982705364531
2011,Ohio,2011,26,0.0027749747729531094
2063,Ohio,2011,27,0.0029455081001429372
2115,Ohio,2011,28,0.0007053844345159823
2167,Ohio,2011,29,0.0009650180940881
2219,Ohio,2011,30,0.0003536067892499368
2271,Ohio,2011,31,0.0016211497692958958
2323,Ohio,2011,32,0.00172138202385132
2375,Ohio,2011,33,0.0004727014890091317
2427,Ohio,2011,34,0.0010065988144491592
2479,Ohio,2011,35,0.0005698005697999204
2531,Ohio,2011,36,0.0012527839643635124
2583,Ohio,2011,37,0.0021845985800085367
2635,Ohio,2011,38,0.0010313531353124677
2687,Ohio,2011,39,0.0021271831616635384
2739,Ohio,2011,40,0.004943872506249669
2792,Ohio,2011,41,0.006512053010392716
2845,Ohio,2011,42,0.0067774376912949396
2898,Ohio,2011,43,0.006205350159041453
2951,Ohio,2011,44,0.0075579166438427305
3004,Ohio,2011,45,0.008503303648372018
3057,Ohio,2011,46,0.006607804044428021
3110,Ohio,2011,47,0.00805714760361487
3163,Ohio,2011,48,0.0069889341875323295
3216,Ohio,2011,49,0.005748762024016307
3269,Ohio,2011,50,0.006743130829337822
3322,Ohio,2011,51,0.005150791280975552
3375,Ohio,2011,52,0.005366578599731368
3428,Ohio,2012,1,0.007116404037464877
3481,Ohio,2012,2,0.008094683264850619
3534,Ohio,2012,3,0.0071034439018157515
3587,Ohio,2012,4,0.006214367160771827
3640,Ohio,2012,5,0.009289855976052565
3693,Ohio,2012,6,0.008737802155744155
3746,Ohio,2012,7,0.008309886802323948
3799,Ohio,2012,8,0.010033235091233439
3852,Ohio,2012,9,0.008479249965525659
3905,Ohio,2012,10,0.008928571428565249
3958,Ohio,2012,11,0.007149446494459448
4011,Ohio,2012,12,0.007701283547251885
4064,Ohio,2012,13,0.006873334268476031
4117,Ohio,2012,14,0.006902640661363751
4170,Ohio,2012,15,0.00495008662651188
4223,Ohio,2012,16,0.0048738975707837895
4276,Ohio,2012,17,0.0037418147801654643
4329,Ohio,2012,18,0.004795341668089745
4382,Ohio,2012,19,0.006409593714456311
4435,Ohio,2012,20,0.003675698382688851
4488,Ohio,2012,21,0.0033730875798055975
4541,Ohio,2012,22,0.0026293938555180885
4594,Ohio,2012,23,0.0024897298643066232
4647,Ohio,2012,24,0.0009363295880137288
4700,Ohio,2012,25,0.000933084510795877
4753,Ohio,2012,26,0.0014787430683900447
4806,Ohio,2012,27,0.0014930325149278484
4859,Ohio,2012,28,0.0010265622994982337
4912,Ohio,2012,29,0.000404967602591246
4965,Ohio,2012,30,0.0025829781738310954
5018,Ohio,2012,31,0.00013825521913433117
5071,Ohio,2012,32,0.0019026909486247585
5124,Ohio,2012,33,0.0006310740880971462
5177,Ohio,2012,34,0.0019691159705648572
5230,Ohio,2012,35,0.0030190198248938116
5283,Ohio,2012,36,0.0029701793988321607
5336,Ohio,2012,37,0.0036760730889786176
5389,Ohio,2012,38,0.00482625482624965
5442,Ohio,2012,39,0.004983036471580806
5495,Ohio,2012,40,0.00919488674590028
5548,Ohio,2012,41,0.0075479537428103675
5601,Ohio,2012,42,0.00864974877567344
5654,Ohio,2012,43,0.00863507728030721
5707,Ohio,2012,44,0.00804787453569401
5760,Ohio,2012,45,0.00923036921476259
5813,Ohio,2012,46,0.009713354163829837
5866,Ohio,2012,47,0.016437007873999567
5919,Ohio,2012,48,0.016206977840631655
5972,Ohio,2012,49,0.022743110547974187
6025,Ohio,2012,50,0.029977911012918915
6078,Ohio,2012,51,0.048724753059082464
6131,Ohio,2012,52,0.053116662624238274
6184,Ohio,2013,1,0.03679431504142377
6237,Ohio,2013,2,0.028958681633610605
6290,Ohio,2013,3,0.03005851555279947
6343,Ohio,2013,4,0.02651280994571982
6396,Ohio,2013,5,0.020259704942538405
6449,Ohio,2013,6,0.016852307247203203
6502,Ohio,2013,7,0.015081286751978498
6555,Ohio,2013,8,0.021196827685637205
6608,Ohio,2013,9,0.01585786652961173
6661,Ohio,2013,10,0.011089043363115616
6714,Ohio,2013,11,0.01178992497319569
6767,Ohio,2013,12,0.008232711306250405
6820,Ohio,2013,13,0.008668453976757222
6873,Ohio,2013,14,0.008813559322026428
6926,Ohio,2013,15,0.006249999999994721
6979,Ohio,2013,16,0.00496079372699235
7032,Ohio,2013,17,0.004282655246249008
7085,Ohio,2013,18,0.003843525794325381
7138,Ohio,2013,19,0.0035854341736654503
7191,Ohio,2013,20,0.0018814675446826416
7244,Ohio,2013,21,0.0032599837000770716
7297,Ohio,2013,22,0.005279291553124525
