,REGION,YEAR,WEEK,ili_ratio
36,Oklahoma,2010,40,0.006241787122187117
88,Oklahoma,2010,41,0.009586776859472441
140,Oklahoma,2010,42,0.020703933747350772
192,Oklahoma,2010,43,0.01670727462576851
244,Oklahoma,2010,44,0.01628447989359826
296,Oklahoma,2010,45,0.025745257452487312
348,Oklahoma,2010,46,0.03350683148980642
400,Oklahoma,2010,47,0.026523000414311965
452,Oklahoma,2010,48,0.02144772117955279
504,Oklahoma,2010,49,0.023362345396136682
556,Oklahoma,2010,50,0.034038638454357444
608,Oklahoma,2010,51,0.040944123313868284
660,Oklahoma,2010,52,0.049100968187935336
712,Oklahoma,2011,1,0.030284675953875576
764,Oklahoma,2011,2,0.05761843789994361
816,Oklahoma,2011,3,0.10338627509708305
868,Oklahoma,2011,4,0.14406540738611767
920,Oklahoma,2011,5,0.12835420393502525
972,Oklahoma,2011,6,0.07321274763103698
1024,Oklahoma,2011,7,0.07163207163178009
1076,Oklahoma,2011,8,0.05650580329854458
1128,Oklahoma,2011,9,0.04774241302721043
1180,Oklahoma,2011,10,0.035737921905904246
1232,Oklahoma,2011,11,0.032033963720447575
1284,Oklahoma,2011,12,0.01868787276334518
1336,Oklahoma,2011,13,0.012135922330038176
1388,Oklahoma,2011,14,0.01566852367682567
1440,Oklahoma,2011,15,0.006742520016827887
1492,Oklahoma,2011,16,0.005929690808954132
1544,Oklahoma,2011,17,0.0029368575623974417
1596,Oklahoma,2011,18,0.0031042128602966554
1648,Oklahoma,2011,19,0.003879728418991854
1700,Oklahoma,2011,20,0.002157031924063171
1752,Oklahoma,2011,21,0.0022922636103020503
1804,Oklahoma,2011,22,0.00047824007651612514
1856,Oklahoma,2011,23,0.001958863858952209
1908,Oklahoma,2011,24,0.002976190476172761
1960,Oklahoma,2011,25,0.0
2012,Oklahoma,2011,26,0.00175336060782143
2064,Oklahoma,2011,27,0.001724137931024574
2116,Oklahoma,2011,28,0.0010615711252597582
2168,Oklahoma,2011,29,0.0010293360782242444
2220,Oklahoma,2011,30,0.0010131712259320508
2272,Oklahoma,2011,31,0.0005070993914781587
2324,Oklahoma,2011,32,0.0
2376,Oklahoma,2011,33,0.003072196620567987
2428,Oklahoma,2011,34,0.0032639738881955777
2480,Oklahoma,2011,35,0.0028522532800750017
2532,Oklahoma,2011,36,0.004078303425758246
2584,Oklahoma,2011,37,0.008654262224107943
2636,Oklahoma,2011,38,0.0031631269769400675
2688,Oklahoma,2011,39,0.0062578222778081494
2740,Oklahoma,2011,40,0.015648286140031116
2793,Oklahoma,2011,41,0.010412792859760458
2846,Oklahoma,2011,42,0.012190992211269248
2899,Oklahoma,2011,43,0.007858546168920144
2952,Oklahoma,2011,44,0.011419249592123086
3005,Oklahoma,2011,45,0.01616303583966154
3058,Oklahoma,2011,46,0.021932830705887824
3111,Oklahoma,2011,47,0.010060362172970756
3164,Oklahoma,2011,48,0.020574367766735643
3217,Oklahoma,2011,49,0.016818837097468436
3270,Oklahoma,2011,50,0.009586056644838406
3323,Oklahoma,2011,51,0.014556040756808181
3376,Oklahoma,2011,52,0.012658227847978014
3429,Oklahoma,2012,1,0.017557861133210066
3482,Oklahoma,2012,2,0.012222725214974094
3535,Oklahoma,2012,3,0.011812476928712394
3588,Oklahoma,2012,4,0.03348814470781352
3641,Oklahoma,2012,5,0.032057267351285224
