,REGION,YEAR,WEEK,ili_ratio
37,Oregon,2010,40,0.005513336313506909
89,Oregon,2010,41,0.006240762029879716
141,Oregon,2010,42,0.004848484848478319
193,Oregon,2010,43,0.007517709989869137
245,Oregon,2010,44,0.00764895330111695
297,Oregon,2010,45,0.00775305096912024
349,Oregon,2010,46,0.0065789473684112155
401,Oregon,2010,47,0.010638297872295156
453,Oregon,2010,48,0.007182761372686398
505,Oregon,2010,49,0.009801009800980693
557,Oregon,2010,50,0.013949780789103429
609,Oregon,2010,51,0.020603737422038314
661,Oregon,2010,52,0.02297090352208795
713,Oregon,2011,1,0.012226184411583733
765,Oregon,2011,2,0.016450648055791498
817,Oregon,2011,3,0.019035922628127002
869,Oregon,2011,4,0.02114580772062664
921,Oregon,2011,5,0.016228976099096404
973,Oregon,2011,6,0.022503160556201003
1025,Oregon,2011,7,0.02563403326963285
1077,Oregon,2011,8,0.018103712795280443
1129,Oregon,2011,9,0.01911723362378657
1181,Oregon,2011,10,0.020919350399061603
1233,Oregon,2011,11,0.016249999999949218
1285,Oregon,2011,12,0.016447368420975342
1337,Oregon,2011,13,0.01289791437976702
1389,Oregon,2011,14,0.010082249933642658
1441,Oregon,2011,15,0.00965872504826253
1493,Oregon,2011,16,0.010724637681128335
1545,Oregon,2011,17,0.009597523219784528
1597,Oregon,2011,18,0.00924744897956235
1649,Oregon,2011,19,0.00929923613414381
1701,Oregon,2011,20,0.010790114862475495
1753,Oregon,2011,21,0.006458191706300278
1805,Oregon,2011,22,0.008140531276743185
1857,Oregon,2011,23,0.005755947812717744
1909,Oregon,2011,24,0.010784901138341614
1961,Oregon,2011,25,0.012957746478800238
2013,Oregon,2011,26,0.007808142777424383
2065,Oregon,2011,27,0.006480881399828381
2117,Oregon,2011,28,0.005574136008887547
2169,Oregon,2011,29,0.003126628452302623
2221,Oregon,2011,30,0.005420054200512629
2273,Oregon,2011,31,0.004489337822645964
2325,Oregon,2011,32,0.004841312533594184
2377,Oregon,2011,33,0.0038369304556170893
2429,Oregon,2011,34,0.0035934291580924363
2481,Oregon,2011,35,0.004849137931008356
2533,Oregon,2011,36,0.005611672278307454
2585,Oregon,2011,37,0.010533245556217688
2637,Oregon,2011,38,0.011414392059496703
2689,Oregon,2011,39,0.007502679528376197
2741,Oregon,2011,40,0.0026447252424253755
2794,Oregon,2011,41,0.0067861020629566065
2847,Oregon,2011,42,0.0058268590454888265
2900,Oregon,2011,43,0.005817513778304294
2953,Oregon,2011,44,0.006808278867083855
3006,Oregon,2011,45,0.004664179104463109
3059,Oregon,2011,46,0.009215017064814967
3112,Oregon,2011,47,0.014647664291311768
3165,Oregon,2011,48,0.008467848637183202
3218,Oregon,2011,49,0.005566379070399203
3271,Oregon,2011,50,0.012535382126920602
3324,Oregon,2011,51,0.017248137985036268
3377,Oregon,2011,52,0.012543252595101457
3430,Oregon,2012,1,0.01245551601419055
3483,Oregon,2012,2,0.0071666240081720844
3536,Oregon,2012,3,0.012900976290052647
3589,Oregon,2012,4,0.013974737973625438
3642,Oregon,2012,5,0.009644670050736943
3695,Oregon,2012,6,0.01101652478715319
3748,Oregon,2012,7,0.017475221700528235
3801,Oregon,2012,8,0.013884953244505852
3854,Oregon,2012,9,0.017178804742276364
3907,Oregon,2012,10,0.016591609386071127
3960,Oregon,2012,11,0.020127388534980566
4013,Oregon,2012,12,0.03666361136560751
4066,Oregon,2012,13,0.019440493124611474
4119,Oregon,2012,14,0.008613503751018024
4172,Oregon,2012,15,0.020553159096623818
4225,Oregon,2012,16,0.008125362739384431
4278,Oregon,2012,17,0.01034482758617717
4331,Oregon,2012,18,0.008723466123847853
4384,Oregon,2012,19,0.006809037449684899
4437,Oregon,2012,20,0.006740196078410723
4490,Oregon,2012,21,0.004818503051703121
4543,Oregon,2012,22,0.006224066390015668
4596,Oregon,2012,23,0.006405933917712724
4649,Oregon,2012,24,0.007251908396918886
4702,Oregon,2012,25,0.007138607971403102
4755,Oregon,2012,26,0.005303476723598683
4808,Oregon,2012,27,0.002939015429809412
4861,Oregon,2012,28,0.002644103648849053
4914,Oregon,2012,29,0.0038338658146719884
4967,Oregon,2012,30,0.0034411562284690908
5020,Oregon,2012,31,0.0018495684340206562
5073,Oregon,2012,32,0.004536616979879867
5126,Oregon,2012,33,0.0031605562578814125
5179,Oregon,2012,34,0.0028530670470552563
5232,Oregon,2012,35,0.004531722054346437
5285,Oregon,2012,36,0.004611837048388841
5338,Oregon,2012,37,0.006798096532924554
5391,Oregon,2012,38,0.007936507936472943
5444,Oregon,2012,39,0.006863417982108007
5497,Oregon,2012,40,0.00365058670142464
5550,Oregon,2012,41,0.007536930961689669
5603,Oregon,2012,42,0.007747489239576048
5656,Oregon,2012,43,0.007083825265622539
5709,Oregon,2012,44,0.008012326656369763
5762,Oregon,2012,45,0.006622516556272323
5815,Oregon,2012,46,0.004400440043992298
5868,Oregon,2012,47,0.0036615134255343308
5921,Oregon,2012,48,0.0042125729099020985
5974,Oregon,2012,49,0.010724637681128335
6027,Oregon,2012,50,0.01807692307685355
6080,Oregon,2012,51,0.00953107129237693
6133,Oregon,2012,52,0.03775883069404532
6186,Oregon,2013,1,0.027876106194566923
6239,Oregon,2013,2,0.026718547341046128
6292,Oregon,2013,3,0.03237118964113199
6345,Oregon,2013,4,0.04391100702563258
6398,Oregon,2013,5,0.03310901749654614
6451,Oregon,2013,6,0.02753872633382806
6504,Oregon,2013,7,0.027250459277320116
6557,Oregon,2013,8,0.02593010146554135
6610,Oregon,2013,9,0.018268690275384292
6663,Oregon,2013,10,0.010211267605597847
6716,Oregon,2013,11,0.014212276988163857
6769,Oregon,2013,12,0.00543970988212318
6822,Oregon,2013,13,0.007048872180418004
6875,Oregon,2013,14,0.007668711656418194
6928,Oregon,2013,15,0.00285532994922952
6981,Oregon,2013,16,0.002580645161281998
7034,Oregon,2013,17,0.002234280242571866
7087,Oregon,2013,18,0.003162555344708531
7140,Oregon,2013,19,0.0008097165991870053
7193,Oregon,2013,20,0.002235469448575874
7246,Oregon,2013,21,0.002300613496923694
7299,Oregon,2013,22,0.0013704888076684766
7352,Oregon,2013,23,0.004155124653720429
7405,Oregon,2013,24,0.004110996916731187
7458,Oregon,2013,25,0.0015686274509680894
7511,Oregon,2013,26,0.0018709073900666894
7564,Oregon,2013,27,0.0
7617,Oregon,2013,28,0.0026881720429866654
7670,Oregon,2013,29,0.0009606147934585917
7723,Oregon,2013,30,0.0034013605441887643
7776,Oregon,2013,31,0.004429678848234444
