,REGION,YEAR,WEEK,ili_ratio
38,Pennsylvania,2010,40,0.007032916354408812
90,Pennsylvania,2010,41,0.009107256801433315
142,Pennsylvania,2010,42,0.0088108137689439
194,Pennsylvania,2010,43,0.00721179915410085
246,Pennsylvania,2010,44,0.009914548641537076
298,Pennsylvania,2010,45,0.010337659419062678
350,Pennsylvania,2010,46,0.009463371186812812
402,Pennsylvania,2010,47,0.011084597028703652
454,Pennsylvania,2010,48,0.01208778966131234
506,Pennsylvania,2010,49,0.012240713941140713
558,Pennsylvania,2010,50,0.013566830483828084
610,Pennsylvania,2010,51,0.020037453183501835
662,Pennsylvania,2010,52,0.023851590105983655
714,Pennsylvania,2011,1,0.021084584461382325
766,Pennsylvania,2011,2,0.023239030023077915
818,Pennsylvania,2011,3,0.02727046838114842
870,Pennsylvania,2011,4,0.04046586249923319
922,Pennsylvania,2011,5,0.043726564753363874
974,Pennsylvania,2011,6,0.03740811325889604
1026,Pennsylvania,2011,7,0.03618205631956113
1078,Pennsylvania,2011,8,0.03404573996195976
1130,Pennsylvania,2011,9,0.029108150282061512
1182,Pennsylvania,2011,10,0.027681660899633156
1234,Pennsylvania,2011,11,0.020183373330859525
1286,Pennsylvania,2011,12,0.01584915116205234
1338,Pennsylvania,2011,13,0.015559239892860885
1390,Pennsylvania,2011,14,0.01681528662419311
1442,Pennsylvania,2011,15,0.014155645643640488
1494,Pennsylvania,2011,16,0.00970285021224331
1546,Pennsylvania,2011,17,0.00976213391997129
1598,Pennsylvania,2011,18,0.010327400571295445
1650,Pennsylvania,2011,19,0.009968433294558923
1702,Pennsylvania,2011,20,0.010065021822383481
1754,Pennsylvania,2011,21,0.008622254492640567
1806,Pennsylvania,2011,22,0.010039954922641082
1858,Pennsylvania,2011,23,0.010233244214980885
1910,Pennsylvania,2011,24,0.006978691727917577
1962,Pennsylvania,2011,25,0.008100810080999998
2014,Pennsylvania,2011,26,0.0062408581179851375
2066,Pennsylvania,2011,27,0.008213963738346975
2118,Pennsylvania,2011,28,0.005385293253690996
2170,Pennsylvania,2011,29,0.005991611743553033
2222,Pennsylvania,2011,30,0.005274982905142839
2274,Pennsylvania,2011,31,0.0051942655308485405
2326,Pennsylvania,2011,32,0.006289946231098417
2378,Pennsylvania,2011,33,0.00575717076179114
2430,Pennsylvania,2011,34,0.004742096505819682
2482,Pennsylvania,2011,35,0.005302730510482546
2534,Pennsylvania,2011,36,0.006145386916789726
2586,Pennsylvania,2011,37,0.008154723244563646
2638,Pennsylvania,2011,38,0.00978735389381088
2690,Pennsylvania,2011,39,0.007789194564133332
2742,Pennsylvania,2011,40,0.007289338128094426
2795,Pennsylvania,2011,41,0.008198808371946734
2848,Pennsylvania,2011,42,0.008066452201465374
2901,Pennsylvania,2011,43,0.009050214091081622
2954,Pennsylvania,2011,44,0.009800656548832104
3007,Pennsylvania,2011,45,0.010482758620684835
3060,Pennsylvania,2011,46,0.009791027327190905
3113,Pennsylvania,2011,47,0.013216462370736686
3166,Pennsylvania,2011,48,0.011790274381955018
3219,Pennsylvania,2011,49,0.010065425264211784
3272,Pennsylvania,2011,50,0.01199550168685993
3325,Pennsylvania,2011,51,0.016225721365185655
3378,Pennsylvania,2011,52,0.021062355658179155
3431,Pennsylvania,2012,1,0.01598392872738581
3484,Pennsylvania,2012,2,0.01502712212284487
3537,Pennsylvania,2012,3,0.01367253928303267
3590,Pennsylvania,2012,4,0.01298235118156567
3643,Pennsylvania,2012,5,0.013323599196925641
3696,Pennsylvania,2012,6,0.013481862325042284
3749,Pennsylvania,2012,7,0.012939521800274014
3802,Pennsylvania,2012,8,0.01359746805766405
3855,Pennsylvania,2012,9,0.013139226451167023
3908,Pennsylvania,2012,10,0.012917761922633933
3961,Pennsylvania,2012,11,0.013499762566980869
4014,Pennsylvania,2012,12,0.012164728222162257
4067,Pennsylvania,2012,13,0.012838972882161723
4120,Pennsylvania,2012,14,0.012398086382310896
4173,Pennsylvania,2012,15,0.011657645869260894
4226,Pennsylvania,2012,16,0.01127863487610374
4279,Pennsylvania,2012,17,0.009048113957321606
4332,Pennsylvania,2012,18,0.009398002103043245
4385,Pennsylvania,2012,19,0.010017352894770454
4438,Pennsylvania,2012,20,0.009321635594540715
4491,Pennsylvania,2012,21,0.008433315945045702
4544,Pennsylvania,2012,22,0.007571611019879974
4597,Pennsylvania,2012,23,0.006303267045448949
4650,Pennsylvania,2012,24,0.005735960773424242
4703,Pennsylvania,2012,25,0.0072104551599738494
4756,Pennsylvania,2012,26,0.006324364883689222
4809,Pennsylvania,2012,27,0.005022191076845337
4862,Pennsylvania,2012,28,0.005141657922345076
4915,Pennsylvania,2012,29,0.006125738850074018
