,REGION,YEAR,WEEK,ili_ratio
8267,Puerto Rico,2013,40,0.05161290322514048
8321,Puerto Rico,2013,41,0.0628491620102954
8375,Puerto Rico,2013,42,0.07712765957344245
8429,Puerto Rico,2013,43,0.04504504504459415
8483,Puerto Rico,2013,44,0.07330567081503035
8537,Puerto Rico,2013,45,0.0475578406163553
8591,Puerto Rico,2013,46,0.02812939521760718
8645,Puerto Rico,2013,47,0.039705882352357266
8699,Puerto Rico,2013,48,0.036231884057445915
8753,Puerto Rico,2013,49,0.041237113401454535
8807,Puerto Rico,2013,50,0.031496062991629985
8861,Puerto Rico,2013,51,0.041095890410333395
8915,Puerto Rico,2013,52,0.0
8969,Puerto Rico,2014,1,0.030042918454505824
9023,Puerto Rico,2014,2,0.034883720929725526
9077,Puerto Rico,2014,3,0.03313253011998294
9131,Puerto Rico,2014,4,0.03846153846094674
9185,Puerto Rico,2014,5,0.045941807043706866
9239,Puerto Rico,2014,6,0.048338368579330236
9293,Puerto Rico,2014,7,0.05020352781478692
9347,Puerto Rico,2014,8,0.037227214376929045
9401,Puerto Rico,2014,9,0.0420499342964251
9455,Puerto Rico,2014,10,0.028727770177445586
9509,Puerto Rico,2014,11,0.035202086049084716
9563,Puerto Rico,2014,12,0.03773584905609521
9617,Puerto Rico,2014,13,0.04689655172349108
9671,Puerto Rico,2014,14,0.04090909090847107
9725,Puerto Rico,2014,15,0.03453689167920664
9779,Puerto Rico,2014,16,0.03264094955441185
9833,Puerto Rico,2014,17,0.05374823196529352
9887,Puerto Rico,2014,18,0.0339462517675538
9941,Puerto Rico,2014,19,0.06584992342931317
9995,Puerto Rico,2014,20,0.054140127387672925
10049,Puerto Rico,2014,21,0.05116959064252676
10103,Puerto Rico,2014,22,0.05401459853935745
10157,Puerto Rico,2014,23,0.07936507936402956
10211,Puerto Rico,2014,24,0.09029649595565638
10265,Puerto Rico,2014,25,0.08125819134886948
10319,Puerto Rico,2014,26,0.08418657565319469
10373,Puerto Rico,2014,27,0.0
10427,Puerto Rico,2014,28,0.10463659147804114
10481,Puerto Rico,2014,29,0.14212034383872713
10535,Puerto Rico,2014,30,0.07744763760312982
10589,Puerto Rico,2014,31,0.0787649653431671
10643,Puerto Rico,2014,32,0.03917301414572541
10697,Puerto Rico,2014,33,0.037377573455851736
10751,Puerto Rico,2014,34,0.045981528787490705
10805,Puerto Rico,2014,35,0.06899096107716475
10859,Puerto Rico,2014,36,0.07187780772673517
10913,Puerto Rico,2014,37,0.07108064225136013
10967,Puerto Rico,2014,38,0.03865791393136642
11021,Puerto Rico,2014,39,0.0724346076457538
11075,Puerto Rico,2014,40,0.06778214102771422
11129,Puerto Rico,2014,41,0.04161712247316366
11183,Puerto Rico,2014,42,0.10138815673853209
11237,Puerto Rico,2014,43,0.09274330281435615
11291,Puerto Rico,2014,44,0.06189276718232837
11345,Puerto Rico,2014,45,0.10604497627376512
11399,Puerto Rico,2014,46,0.08573178199615078
11453,Puerto Rico,2014,47,0.10641339869259311
11507,Puerto Rico,2014,48,0.10852407261225627
11561,Puerto Rico,2014,49,0.0711391994813302
11615,Puerto Rico,2014,50,0.09497549019588444
11669,Puerto Rico,2014,51,0.09720401922215552
11723,Puerto Rico,2014,52,0.09235843870241459
11777,Puerto Rico,2014,53,0.09012875536463869
11831,Puerto Rico,2015,1,0.09327902240306868
11885,Puerto Rico,2015,2,0.08602150537616957
11939,Puerto Rico,2015,3,0.07165913492560436
11993,Puerto Rico,2015,4,0.07713210702325014
12047,Puerto Rico,2015,5,0.09650754288056106
