,REGION,YEAR,WEEK,ili_ratio
39,Rhode Island,2010,40,0.0023503603885892347
91,Rhode Island,2010,41,0.002015451797107801
143,Rhode Island,2010,42,0.0036284470246681737
195,Rhode Island,2010,43,0.0032267527134009584
247,Rhode Island,2010,44,0.00530255770429616
299,Rhode Island,2010,45,0.004774029280705324
351,Rhode Island,2010,46,0.0050417747046887906
403,Rhode Island,2010,47,0.006780402449678958
455,Rhode Island,2010,48,0.00765765765764616
507,Rhode Island,2010,49,0.00635497049477023
559,Rhode Island,2010,50,0.004681647940067601
611,Rhode Island,2010,51,0.008547008546989324
663,Rhode Island,2010,52,0.012888107791409233
715,Rhode Island,2011,1,0.005884516366300323
767,Rhode Island,2011,2,0.0041593695271362535
819,Rhode Island,2011,3,0.005028421512888001
871,Rhode Island,2011,4,0.009508990318102508
923,Rhode Island,2011,5,0.014050303555916651
975,Rhode Island,2011,6,0.023165422885536125
1027,Rhode Island,2011,7,0.027260926006018663
1079,Rhode Island,2011,8,0.04950666435857797
1131,Rhode Island,2011,9,0.024805102763962007
1183,Rhode Island,2011,10,0.02271680736757833
1235,Rhode Island,2011,11,0.013133208255138942
1287,Rhode Island,2011,12,0.008975049362755385
1339,Rhode Island,2011,13,0.00906648757553884
1391,Rhode Island,2011,14,0.0070117857675563
1443,Rhode Island,2011,15,0.005290205562265281
1495,Rhode Island,2011,16,0.004644761740917522
1547,Rhode Island,2011,17,0.007147395171526132
1599,Rhode Island,2011,18,0.003907471084707866
1651,Rhode Island,2011,19,0.000499001996007154
1703,Rhode Island,2011,20,0.00019992003198680545
1755,Rhode Island,2011,21,0.0002376990729730504
1807,Rhode Island,2011,22,0.00030012004801830696
1859,Rhode Island,2011,23,0.00024336821611038362
1911,Rhode Island,2011,24,0.00024248302618757884
1963,Rhode Island,2011,25,0.00024313153415938944
2015,Rhode Island,2011,26,0.00028851702250349534
2067,Rhode Island,2011,27,0.0006391818472334958
2119,Rhode Island,2011,28,0.0
2171,Rhode Island,2011,29,0.0005305039787784337
2223,Rhode Island,2011,30,0.0
2275,Rhode Island,2011,31,0.00026226068712231244
2327,Rhode Island,2011,32,0.0
2379,Rhode Island,2011,33,0.0
2431,Rhode Island,2011,34,0.0
2483,Rhode Island,2011,35,0.0010111223458012864
2535,Rhode Island,2011,36,0.0008754650908275871
2587,Rhode Island,2011,37,0.0006913238852390403
2639,Rhode Island,2011,38,0.001091504456974547
2691,Rhode Island,2011,39,0.001996007984028616
2743,Rhode Island,2011,40,0.0016930891180518808
2796,Rhode Island,2011,41,0.0010596962204149423
2849,Rhode Island,2011,42,0.002416188462696442
2902,Rhode Island,2011,43,0.002588701081159451
2955,Rhode Island,2011,44,0.0038467228879954926
3008,Rhode Island,2011,45,0.006061572818621692
3061,Rhode Island,2011,46,0.002583237657860816
3114,Rhode Island,2011,47,0.0013274336283156474
3167,Rhode Island,2011,48,0.004692165505467522
3220,Rhode Island,2011,49,0.0022391401701713103
3273,Rhode Island,2011,50,0.0034539720678728727
3326,Rhode Island,2011,51,0.0034214027751313034
3379,Rhode Island,2011,52,0.0022457491177342134
3432,Rhode Island,2012,1,0.0015712682379313777
3485,Rhode Island,2012,2,0.0009130752373978944
3538,Rhode Island,2012,3,0.0018200202224432356
3591,Rhode Island,2012,4,0.0027548209366349023
3644,Rhode Island,2012,5,0.002954209748887808
3697,Rhode Island,2012,6,0.0034155034154983435
3750,Rhode Island,2012,7,0.0018354236769626256
3803,Rhode Island,2012,8,0.0025076123947653456
3856,Rhode Island,2012,9,0.0027535566773707306
3909,Rhode Island,2012,10,0.001641227638270735
3962,Rhode Island,2012,11,0.0014039310068162778
4015,Rhode Island,2012,12,0.0024501796798391865
4068,Rhode Island,2012,13,0.004288164665515801
4121,Rhode Island,2012,14,0.004663557628240067
4174,Rhode Island,2012,15,0.006548888211991245
4227,Rhode Island,2012,16,0.0037981551817619858
4280,Rhode Island,2012,17,0.0015676438313190662
4333,Rhode Island,2012,18,0.0024721878862755376
4386,Rhode Island,2012,19,0.0023240371845910956
4439,Rhode Island,2012,20,0.0011080332409951837
4492,Rhode Island,2012,21,0.0011900039666775288
4545,Rhode Island,2012,22,0.0005303632988583125
4598,Rhode Island,2012,23,0.00022153300841776355
4651,Rhode Island,2012,24,0.0006843065693415048
4704,Rhode Island,2012,25,0.00023348120476247145
4757,Rhode Island,2012,26,0.0002632271650427396
4810,Rhode Island,2012,27,0.0
4863,Rhode Island,2012,28,0.0
4916,Rhode Island,2012,29,0.0
4969,Rhode Island,2012,30,0.0
5022,Rhode Island,2012,31,0.0
5075,Rhode Island,2012,32,0.0
5128,Rhode Island,2012,33,0.00025713551041332697
5181,Rhode Island,2012,34,0.0
5234,Rhode Island,2012,35,0.0
5287,Rhode Island,2012,36,0.0004178854993722986
5340,Rhode Island,2012,37,0.0011547344110835454
5393,Rhode Island,2012,38,0.0006511476477280626
5446,Rhode Island,2012,39,0.0015342129487549336
5499,Rhode Island,2012,40,0.001992031872506908
5552,Rhode Island,2012,41,0.0016333938293981245
5605,Rhode Island,2012,42,0.002731847591656748
5658,Rhode Island,2012,43,0.0038840752912998448
5711,Rhode Island,2012,44,0.0016930022573331583
5764,Rhode Island,2012,45,0.0019575365155820547
5817,Rhode Island,2012,46,0.00158913608783359
5870,Rhode Island,2012,47,0.003134796238237495
5923,Rhode Island,2012,48,0.004243281470998242
5976,Rhode Island,2012,49,0.011958997722078646
6029,Rhode Island,2012,50,0.02239844184749249
6082,Rhode Island,2012,51,0.027244881508903362
6135,Rhode Island,2012,52,0.04018215912124248
6188,Rhode Island,2013,1,0.030071709460952875
6241,Rhode Island,2013,2,0.034051168783298266
6294,Rhode Island,2013,3,0.028240898264667844
6347,Rhode Island,2013,4,0.01496552883804445
6400,Rhode Island,2013,5,0.0170720652666308
6453,Rhode Island,2013,6,0.009148972898309772
6506,Rhode Island,2013,7,0.0077036551384892585
6559,Rhode Island,2013,8,0.0059036374023883
6612,Rhode Island,2013,9,0.0037564564094478693
6665,Rhode Island,2013,10,0.004499437570296482
6718,Rhode Island,2013,11,0.007799124976207344
6771,Rhode Island,2013,12,0.003742981908914936
6824,Rhode Island,2013,13,0.006334531758249727
6877,Rhode Island,2013,14,0.004978038067342638
6930,Rhode Island,2013,15,0.005314303067103987
6983,Rhode Island,2013,16,0.004786268361107796
7036,Rhode Island,2013,17,0.004140127388528439
7089,Rhode Island,2013,18,0.002657495701105741
7142,Rhode Island,2013,19,0.002434669696473893
7195,Rhode Island,2013,20,0.0
7248,Rhode Island,2013,21,0.0
7301,Rhode Island,2013,22,0.0
7354,Rhode Island,2013,23,0.0
7407,Rhode Island,2013,24,0.00024360535931731156
7460,Rhode Island,2013,25,0.0002719608376386403
7513,Rhode Island,2013,26,0.0
7566,Rhode Island,2013,27,0.0
7619,Rhode Island,2013,28,0.0004781257470703368
7672,Rhode Island,2013,29,0.0
7725,Rhode Island,2013,30,0.0
7778,Rhode Island,2013,31,0.0
7831,Rhode Island,2013,32,0.0
7884,Rhode Island,2013,33,0.0
7937,Rhode Island,2013,34,0.0
7990,Rhode Island,2013,35,0.0
8043,Rhode Island,2013,36,0.00046641791044667346
8096,Rhode Island,2013,37,0.0008500510030587385
8149,Rhode Island,2013,38,0.0006530612244887297
8202,Rhode Island,2013,39,0.0003177124702139512
8255,Rhode Island,2013,40,0.0009316770186320937
8309,Rhode Island,2013,41,0.0011814345991541242
8363,Rhode Island,2013,42,0.001091504456974547
8417,Rhode Island,2013,43,0.0017822664488314536
8471,Rhode Island,2013,44,0.003379416282636898
8525,Rhode Island,2013,45,0.0015248551387594925
8579,Rhode Island,2013,46,0.0011180322632149528
8633,Rhode Island,2013,47,0.0026646928201292898
8687,Rhode Island,2013,48,0.0023849272597128907
8741,Rhode Island,2013,49,0.003488187727915827
8795,Rhode Island,2013,50,0.0022883295194470604
8849,Rhode Island,2013,51,0.0017667844522936983
8903,Rhode Island,2013,52,0.004184100418395453
8957,Rhode Island,2014,1,0.007741501178028471
9011,Rhode Island,2014,2,0.01105845181672382
9065,Rhode Island,2014,3,0.016663360444323223
9119,Rhode Island,2014,4,0.0093913671663186
9173,Rhode Island,2014,5,0.010938222153734497
9227,Rhode Island,2014,6,0.014417231196778848
9281,Rhode Island,2014,7,0.0106365570282922
9335,Rhode Island,2014,8,0.007233273056044786
9389,Rhode Island,2014,9,0.0044356072193263455
9443,Rhode Island,2014,10,0.004954327295239272
9497,Rhode Island,2014,11,0.006429576049816296
9551,Rhode Island,2014,12,0.008349705304504995
9605,Rhode Island,2014,13,0.007022701290205744
9659,Rhode Island,2014,14,0.011936735302876847
9713,Rhode Island,2014,15,0.016791329567979255
9767,Rhode Island,2014,16,0.014356282803312201
9821,Rhode Island,2014,17,0.012781186094047749
9875,Rhode Island,2014,18,0.008214849920998081
