,REGION,YEAR,WEEK,ili_ratio
40,South Carolina,2010,40,0.004461268081648694
92,South Carolina,2010,41,0.007655231074556769
144,South Carolina,2010,42,0.003894297635599591
196,South Carolina,2010,43,0.004183535762477485
248,South Carolina,2010,44,0.00445310325632556
300,South Carolina,2010,45,0.005111004631839784
352,South Carolina,2010,46,0.004559270516711026
404,South Carolina,2010,47,0.005130492973443831
456,South Carolina,2010,48,0.005097823091753792
508,South Carolina,2010,49,0.004847066688943929
560,South Carolina,2010,50,0.008042369556673121
612,South Carolina,2010,51,0.007993811242888102
664,South Carolina,2010,52,0.011742892459802754
716,South Carolina,2011,1,0.0145962732919028
768,South Carolina,2011,2,0.02466091245371735
820,South Carolina,2011,3,0.024876345650240213
872,South Carolina,2011,4,0.04845505617971856
924,South Carolina,2011,5,0.07126730146257851
976,South Carolina,2011,6,0.060421775380029005
1028,South Carolina,2011,7,0.048474540235942935
1080,South Carolina,2011,8,0.03850222128195631
1132,South Carolina,2011,9,0.0288657324230101
1184,South Carolina,2011,10,0.02191142191138786
1236,South Carolina,2011,11,0.014332825976643414
1288,South Carolina,2011,12,0.0076999503228915795
1340,South Carolina,2011,13,0.007920506912430991
1392,South Carolina,2011,14,0.006410256410248353
1444,South Carolina,2011,15,0.005001282380091047
1496,South Carolina,2011,16,0.0050969842842912404
1548,South Carolina,2011,17,0.0024809791597709546
1600,South Carolina,2011,18,0.0023006134969281045
1652,South Carolina,2011,19,0.0005866249511134403
1704,South Carolina,2011,20,0.0013020833333309114
1756,South Carolina,2011,21,0.002604651162785852
1808,South Carolina,2011,22,0.0013256738842215517
1860,South Carolina,2011,23,0.0021321961620418568
1912,South Carolina,2011,24,0.0016758439071063542
1964,South Carolina,2011,25,0.0011910433539752477
2016,South Carolina,2011,26,0.002215111986211629
2068,South Carolina,2011,27,0.0026556506343975933
2120,South Carolina,2011,28,0.0011360408974690826
2172,South Carolina,2011,29,0.0010264305876288775
2224,South Carolina,2011,30,0.003763440860204937
2276,South Carolina,2011,31,0.0017851829812502672
2328,South Carolina,2011,32,0.0014017381553086579
2380,South Carolina,2011,33,0.0008960573476682436
2432,South Carolina,2011,34,0.000569908814588583
2484,South Carolina,2011,35,0.0007356998344661841
2536,South Carolina,2011,36,0.0008303923603885606
2588,South Carolina,2011,37,0.0014692378328714983
2640,South Carolina,2011,38,0.0017992083483234992
2692,South Carolina,2011,39,0.0010360904852339215
2744,South Carolina,2011,40,0.0026353933324513965
2797,South Carolina,2011,41,0.0027881040892156293
2850,South Carolina,2011,42,0.001519525907914421
2903,South Carolina,2011,43,0.0026038276266077283
2956,South Carolina,2011,44,0.004032782620002559
3009,South Carolina,2011,45,0.003710812539982456
