,REGION,YEAR,WEEK,ili_ratio
41,South Dakota,2010,40,0.011027481183246932
93,South Dakota,2010,41,0.007937939743806716
145,South Dakota,2010,42,0.007910228108889054
197,South Dakota,2010,43,0.008013112365674717
249,South Dakota,2010,44,0.007798331519753721
301,South Dakota,2010,45,0.007434235608068177
353,South Dakota,2010,46,0.010013577732501675
405,South Dakota,2010,47,0.008919961427172324
457,South Dakota,2010,48,0.011071428571408802
509,South Dakota,2010,49,0.011632133769517208
561,South Dakota,2010,50,0.009458456973276227
613,South Dakota,2010,51,0.01518485915489616
665,South Dakota,2010,52,0.01524459613193346
717,South Dakota,2011,1,0.014061654948595527
769,South Dakota,2011,2,0.017554012345645152
821,South Dakota,2011,3,0.02367767805991278
873,South Dakota,2011,4,0.026757046022071428
925,South Dakota,2011,5,0.02873030583868632
977,South Dakota,2011,6,0.03202908587252073
1029,South Dakota,2011,7,0.04347826086949648
1081,South Dakota,2011,8,0.04167378309130372
1133,South Dakota,2011,9,0.03888799614327674
1185,South Dakota,2011,10,0.03503911342888683
1237,South Dakota,2011,11,0.027645219680718043
1289,South Dakota,2011,12,0.025305987429663734
1341,South Dakota,2011,13,0.02242766649542471
1393,South Dakota,2011,14,0.01353737492640075
1445,South Dakota,2011,15,0.009136212624565748
1497,South Dakota,2011,16,0.010082304526728226
1549,South Dakota,2011,17,0.008803951041424084
1601,South Dakota,2011,18,0.006020066889618684
1653,South Dakota,2011,19,0.006275212908995349
1705,South Dakota,2011,20,0.005229379605407109
1757,South Dakota,2011,21,0.005186232908992961
1809,South Dakota,2011,22,0.0050734312416419935
1861,South Dakota,2011,23,0.00418994413406846
1913,South Dakota,2011,24,0.005419415645604573
1965,South Dakota,2011,25,0.003936039360383921
2017,South Dakota,2011,26,0.0031018849916413698
2069,South Dakota,2011,27,0.005514199062570956
2121,South Dakota,2011,28,0.005016722408014772
2173,South Dakota,2011,29,0.004594180704429316
2225,South Dakota,2011,30,0.005718370264461
2277,South Dakota,2011,31,0.005289733108907695
2329,South Dakota,2011,32,0.00430725053839601
2381,South Dakota,2011,33,0.003348214285706812
2433,South Dakota,2011,34,0.004715921850427317
2485,South Dakota,2011,35,0.005502971604654407
2537,South Dakota,2011,36,0.006446813786247342
2589,South Dakota,2011,37,0.0054066231133016295
2641,South Dakota,2011,38,0.0046274872743992885
2693,South Dakota,2011,39,0.006097560975592856
2745,South Dakota,2011,40,0.007598282127506445
2798,South Dakota,2011,41,0.01165889407060017
2851,South Dakota,2011,42,0.007696254489468623
2904,South Dakota,2011,43,0.009180437322635319
2957,South Dakota,2011,44,0.009344234940748633
3010,South Dakota,2011,45,0.007076230299120173
3063,South Dakota,2011,46,0.006581059390037591
3116,South Dakota,2011,47,0.008635961027438804
3169,South Dakota,2011,48,0.005785770132907294
3222,South Dakota,2011,49,0.008978126020226938
3275,South Dakota,2011,50,0.010187838268051277
3328,South Dakota,2011,51,0.007497018231372471
3381,South Dakota,2011,52,0.010788199031240009
3434,South Dakota,2012,1,0.007783695206866482
3487,South Dakota,2012,2,0.011368090944705277
3540,South Dakota,2012,3,0.014623821435415386
3593,South Dakota,2012,4,0.017707362534915738
3646,South Dakota,2012,5,0.023132615221573137
3699,South Dakota,2012,6,0.022176379577063476
3752,South Dakota,2012,7,0.030046779417002435
3805,South Dakota,2012,8,0.02387315161228599
3858,South Dakota,2012,9,0.024781637213031116
3911,South Dakota,2012,10,0.020178945364515175
3964,South Dakota,2012,11,0.02201197142301214
4017,South Dakota,2012,12,0.010198191264171257
4070,South Dakota,2012,13,0.010073452256012437
4123,South Dakota,2012,14,0.0072727272727125805
4176,South Dakota,2012,15,0.008503401360526141
4229,South Dakota,2012,16,0.00818330605562974
4282,South Dakota,2012,17,0.007333469138302438
4335,South Dakota,2012,18,0.004797806716918442
