,REGION,YEAR,WEEK,ili_ratio
42,Tennessee,2010,40,0.002746545360910869
94,Tennessee,2010,41,0.004994920419907725
146,Tennessee,2010,42,0.00499549586438048
198,Tennessee,2010,43,0.004016380532364139
250,Tennessee,2010,44,0.0052809637758847415
302,Tennessee,2010,45,0.005937036169044655
354,Tennessee,2010,46,0.006765261170542192
406,Tennessee,2010,47,0.00821848526993524
458,Tennessee,2010,48,0.008057772709990073
510,Tennessee,2010,49,0.01105773588324929
562,Tennessee,2010,50,0.0137844611528665
614,Tennessee,2010,51,0.023607945294653845
666,Tennessee,2010,52,0.027433240916346954
718,Tennessee,2011,1,0.01699933148694776
770,Tennessee,2011,2,0.02726017943406112
822,Tennessee,2011,3,0.03645200486023324
874,Tennessee,2011,4,0.05150485820360889
926,Tennessee,2011,5,0.0639835666463299
978,Tennessee,2011,6,0.06274789782638207
1030,Tennessee,2011,7,0.05970491552629026
1082,Tennessee,2011,8,0.0357057081098105
1134,Tennessee,2011,9,0.03151960365590542
1186,Tennessee,2011,10,0.02147121124588728
1238,Tennessee,2011,11,0.015831609247084797
1290,Tennessee,2011,12,0.006327490380499078
1342,Tennessee,2011,13,0.00765750087016389
1394,Tennessee,2011,14,0.007034372501992778
1446,Tennessee,2011,15,0.005521303027509412
1498,Tennessee,2011,16,0.005759347864605919
1550,Tennessee,2011,17,0.0038599877182175103
1602,Tennessee,2011,18,0.0010842459069705255
1654,Tennessee,2011,19,0.0008074749106000605
1706,Tennessee,2011,20,0.00055187637969034
1758,Tennessee,2011,21,0.0002482005460408933
1810,Tennessee,2011,22,0.00028300551860721237
1862,Tennessee,2011,23,0.0007311723129408589
1914,Tennessee,2011,24,0.00027616680474968773
1966,Tennessee,2011,25,0.0003751406777536887
2018,Tennessee,2011,26,0.00013121637580352813
2070,Tennessee,2011,27,0.00017614937466940963
2122,Tennessee,2011,28,0.00012315270935945425
2174,Tennessee,2011,29,0.00013140604467788252
2226,Tennessee,2011,30,0.0
2278,Tennessee,2011,31,0.00024482800832385256
2330,Tennessee,2011,32,0.00023201856148464961
2382,Tennessee,2011,33,0.0006233766233759757
2434,Tennessee,2011,34,0.0006999300069986001
2486,Tennessee,2011,35,0.0014189764449896707
2538,Tennessee,2011,36,0.0017966223499798818
2590,Tennessee,2011,37,0.002815699658700669
2642,Tennessee,2011,38,0.003605997342945904
2694,Tennessee,2011,39,0.004267701260907596
2746,Tennessee,2011,40,0.004326007959850903
2799,Tennessee,2011,41,0.003996258821525383
2852,Tennessee,2011,42,0.0038364286337049117
2905,Tennessee,2011,43,0.005461111600453218
2958,Tennessee,2011,44,0.0048130916091731
3011,Tennessee,2011,45,0.00792316926770074
3064,Tennessee,2011,46,0.005402843601890613
3117,Tennessee,2011,47,0.00886824324323076
3170,Tennessee,2011,48,0.005575092203443198
3223,Tennessee,2011,49,0.009682133723045595
3276,Tennessee,2011,50,0.005574614065174126
3329,Tennessee,2011,51,0.004997917534353745
3382,Tennessee,2011,52,0.008715862870407291
3435,Tennessee,2012,1,0.0073362822310849745
3488,Tennessee,2012,2,0.007327586206890235
3541,Tennessee,2012,3,0.011270399422945387
3594,Tennessee,2012,4,0.011952809686423507
3647,Tennessee,2012,5,0.008377990791751545
3700,Tennessee,2012,6,0.012173621022573945
3753,Tennessee,2012,7,0.01530652089026528
3806,Tennessee,2012,8,0.017177914110416272
3859,Tennessee,2012,9,0.017090620031782917
3912,Tennessee,2012,10,0.01788846018939154
3965,Tennessee,2012,11,0.02677086797470338
4018,Tennessee,2012,12,0.016463000678872654
4071,Tennessee,2012,13,0.008716513394635172
4124,Tennessee,2012,14,0.007214313197376669
4177,Tennessee,2012,15,0.009424083769625917
4230,Tennessee,2012,16,0.004398578920652683
4283,Tennessee,2012,17,0.004651964162642443
4336,Tennessee,2012,18,0.007265704037517459
4389,Tennessee,2012,19,0.003169572107762312
4442,Tennessee,2012,20,0.004790940766545306
4495,Tennessee,2012,21,0.005930967428287864
4548,Tennessee,2012,22,0.004802195289269606
4601,Tennessee,2012,23,0.004441231150584134
4654,Tennessee,2012,24,0.0006799637352666817
4707,Tennessee,2012,25,0.005837589909302786
4760,Tennessee,2012,26,0.005215742057841138
4813,Tennessee,2012,27,0.00426780474792709
4866,Tennessee,2012,28,0.0005910165484626583
4919,Tennessee,2012,29,0.0
4972,Tennessee,2012,30,0.0023747596969327434
5025,Tennessee,2012,31,0.0006281407035167989
5078,Tennessee,2012,32,0.00037960268252514284
5131,Tennessee,2012,33,0.004457364341080952
5184,Tennessee,2012,34,0.002696386841629789
5237,Tennessee,2012,35,0.0027263326125761714
5290,Tennessee,2012,36,0.007523093038751049
5343,Tennessee,2012,37,0.0012439873942600398
5396,Tennessee,2012,38,0.002661290322578499
5449,Tennessee,2012,39,0.003326572008110891
5502,Tennessee,2012,40,0.00400400400400036
5555,Tennessee,2012,41,0.004922713399621027
5608,Tennessee,2012,42,0.011301599463642082
5661,Tennessee,2012,43,0.00945957782253704
5714,Tennessee,2012,44,0.011382396385427592
5767,Tennessee,2012,45,0.014736120630556257
5820,Tennessee,2012,46,0.018721227621464224
5873,Tennessee,2012,47,0.04442691903253887
5926,Tennessee,2012,48,0.03133237930252969
5979,Tennessee,2012,49,0.05425475486848961
6032,Tennessee,2012,50,0.06058453419924844
6085,Tennessee,2012,51,0.06138684397997935
6138,Tennessee,2012,52,0.08329913828460546
6191,Tennessee,2013,1,0.06886301709181464
6244,Tennessee,2013,2,0.04130073581767442
6297,Tennessee,2013,3,0.029748706577947384
6350,Tennessee,2013,4,0.0183380488315851
6403,Tennessee,2013,5,0.02675059008652264
6456,Tennessee,2013,6,0.0221057230231349
6509,Tennessee,2013,7,0.029191797346176763
6562,Tennessee,2013,8,0.019229095971444156
6615,Tennessee,2013,9,0.01633529356854631
6668,Tennessee,2013,10,0.02757229320777445
6721,Tennessee,2013,11,0.016570173687346205
6774,Tennessee,2013,12,0.013977708752042775
6827,Tennessee,2013,13,0.015575987019993968
6880,Tennessee,2013,14,0.009093226820762221
6933,Tennessee,2013,15,0.009067481149175272
6986,Tennessee,2013,16,0.004927060187416745
7039,Tennessee,2013,17,0.004924242424237761
7092,Tennessee,2013,18,0.002766960442710835
