,REGION,YEAR,WEEK,ili_ratio
43,Texas,2010,40,0.02065140429548803
95,Texas,2010,41,0.020939411880793183
147,Texas,2010,42,0.021007188698513885
199,Texas,2010,43,0.022065505116348215
251,Texas,2010,44,0.023638092650450516
303,Texas,2010,45,0.02517778204881315
355,Texas,2010,46,0.022462228990497643
407,Texas,2010,47,0.025986629286169405
459,Texas,2010,48,0.02566170096961605
511,Texas,2010,49,0.024033502496178565
563,Texas,2010,50,0.02840968875607054
615,Texas,2010,51,0.03873152877549405
667,Texas,2010,52,0.03407114624505031
719,Texas,2011,1,0.03212478920741313
771,Texas,2011,2,0.04059962523422016
823,Texas,2011,3,0.047320153348859785
875,Texas,2011,4,0.059343899741972635
927,Texas,2011,5,0.06680521279818444
979,Texas,2011,6,0.08128670912738686
1031,Texas,2011,7,0.08265185413772178
1083,Texas,2011,8,0.06660447078621692
1135,Texas,2011,9,0.045856490765666676
1187,Texas,2011,10,0.036802475502828925
1239,Texas,2011,11,0.028474936966522063
1291,Texas,2011,12,0.0311250467450936
1343,Texas,2011,13,0.021353569222619485
1395,Texas,2011,14,0.018321591563645195
1447,Texas,2011,15,0.016702457647335914
1499,Texas,2011,16,0.016621240144062927
1551,Texas,2011,17,0.014453974245642437
1603,Texas,2011,18,0.016271753023297544
1655,Texas,2011,19,0.017882952401945595
1707,Texas,2011,20,0.014387767890709516
1759,Texas,2011,21,0.011828372632389686
1811,Texas,2011,22,0.014721886336150326
1863,Texas,2011,23,0.010380990309302967
1915,Texas,2011,24,0.012039836879626033
1967,Texas,2011,25,0.010949856609017426
2019,Texas,2011,26,0.014413851577484755
2071,Texas,2011,27,0.010991550039605561
2123,Texas,2011,28,0.011100832562438975
2175,Texas,2011,29,0.007947910616572022
2227,Texas,2011,30,0.009279153043746137
2279,Texas,2011,31,0.00947031936187092
2331,Texas,2011,32,0.008205406874063795
2383,Texas,2011,33,0.00965857458132944
2435,Texas,2011,34,0.01011654890099598
2487,Texas,2011,35,0.014340842720063012
2539,Texas,2011,36,0.01729813664595736
2591,Texas,2011,37,0.016581095867346584
2643,Texas,2011,38,0.0160234709997698
2695,Texas,2011,39,0.014147018030509252
2747,Texas,2011,40,0.018671245797755903
2800,Texas,2011,41,0.016787152491384023
2853,Texas,2011,42,0.020390299160697085
2906,Texas,2011,43,0.02027207904406798
2959,Texas,2011,44,0.01875915974596513
3012,Texas,2011,45,0.020882500178783552
3065,Texas,2011,46,0.02172519410213887
3118,Texas,2011,47,0.02214655992146801
3171,Texas,2011,48,0.020164940158900694
3224,Texas,2011,49,0.018933731938210345
3277,Texas,2011,50,0.020866730789777476
3330,Texas,2011,51,0.022790439132844918
3383,Texas,2011,52,0.0232308093314143
3436,Texas,2012,1,0.01974713070214442
3489,Texas,2012,2,0.021557998293424297
3542,Texas,2012,3,0.023072692730721163
3595,Texas,2012,4,0.022549413063102604
3648,Texas,2012,5,0.025288912528401604
3701,Texas,2012,6,0.026540105310376018
3754,Texas,2012,7,0.029537070094007016
3807,Texas,2012,8,0.03233668697746002
3860,Texas,2012,9,0.03325063185474685
3913,Texas,2012,10,0.028724454684172014
3966,Texas,2012,11,0.03593622585270199
4019,Texas,2012,12,0.027968453337221175
4072,Texas,2012,13,0.027007000868714038
4125,Texas,2012,14,0.025217020823341
4178,Texas,2012,15,0.02134918842978818
4231,Texas,2012,16,0.02165470771287667
4284,Texas,2012,17,0.02059884754159605
4337,Texas,2012,18,0.020964897308977368
4390,Texas,2012,19,0.02088896306185445
4443,Texas,2012,20,0.022620340209909936
4496,Texas,2012,21,0.021994423948851843
4549,Texas,2012,22,0.029578351164239926
4602,Texas,2012,23,0.016056313447157845
4655,Texas,2012,24,0.01569195485544822
4708,Texas,2012,25,0.016800174547262788
4761,Texas,2012,26,0.027760252365917126
4814,Texas,2012,27,0.018563822132674282
4867,Texas,2012,28,0.015272418078351994
4920,Texas,2012,29,0.015048404102362679
4973,Texas,2012,30,0.01423742036145682
5026,Texas,2012,31,0.014590081122035305
5079,Texas,2012,32,0.01449443413728708
5132,Texas,2012,33,0.014274712580446046
5185,Texas,2012,34,0.014741046325245097
5238,Texas,2012,35,0.014297773557029046
5291,Texas,2012,36,0.017528457253566988
5344,Texas,2012,37,0.021499448732077868
5397,Texas,2012,38,0.021245381438811876
5450,Texas,2012,39,0.020840588251045823
5503,Texas,2012,40,0.019839584218280443
5556,Texas,2012,41,0.023514576070018667
5609,Texas,2012,42,0.01944993162132922
5662,Texas,2012,43,0.025522947236958707
5715,Texas,2012,44,0.02785802723895278
5768,Texas,2012,45,0.032073813708252276
5821,Texas,2012,46,0.032245769172121706
5874,Texas,2012,47,0.05161695447408112
5927,Texas,2012,48,0.039635503291236704
5980,Texas,2012,49,0.05218185223334297
6033,Texas,2012,50,0.06036977684229224
6086,Texas,2012,51,0.07992408773150121
6139,Texas,2012,52,0.09694317352957464
6192,Texas,2013,1,0.08247844592380157
6245,Texas,2013,2,0.07615213109074699
6298,Texas,2013,3,0.07687997310319918
6351,Texas,2013,4,0.0758762505487221
6404,Texas,2013,5,0.058369500887734675
6457,Texas,2013,6,0.04630829838606016
6510,Texas,2013,7,0.03985259278756519
6563,Texas,2013,8,0.03237615536399616
6616,Texas,2013,9,0.03293289146643721
