,REGION,YEAR,WEEK,ili_ratio
44,Utah,2010,40,0.00747696052859072
96,Utah,2010,41,0.0041093949270169915
148,Utah,2010,42,0.0044058254803519695
200,Utah,2010,43,0.00755957271979037
252,Utah,2010,44,0.006518590053106568
304,Utah,2010,45,0.006639004149366574
356,Utah,2010,46,0.00907845152447914
408,Utah,2010,47,0.007435691318313032
460,Utah,2010,48,0.00838308141749221
512,Utah,2010,49,0.011649214659670616
564,Utah,2010,50,0.011154011153995204
616,Utah,2010,51,0.011073911923741762
668,Utah,2010,52,0.010900596937423046
720,Utah,2011,1,0.005199550309155144
772,Utah,2011,2,0.025974025973909656
824,Utah,2011,3,0.02138157894733645
876,Utah,2011,4,0.008953553441505403
928,Utah,2011,5,0.020317751298471864
980,Utah,2011,6,0.02908277404918871
1032,Utah,2011,7,0.024547803617531415
1084,Utah,2011,8,0.018891687657391076
1136,Utah,2011,9,0.01184068891278823
1188,Utah,2011,10,0.01896785318386628
1240,Utah,2011,11,0.015311623894743031
1292,Utah,2011,12,0.012199960325320173
1344,Utah,2011,13,0.012719013627498093
1396,Utah,2011,14,0.007522986904419723
1448,Utah,2011,15,0.009635149023625854
1500,Utah,2011,16,0.005795421616914234
1552,Utah,2011,17,0.002579274768619968
1604,Utah,2011,18,0.0031746031745992984
1656,Utah,2011,19,0.00333333333332906
1708,Utah,2011,20,0.0036457720804379088
1760,Utah,2011,21,0.0027344378317472502
1812,Utah,2011,22,0.002076843198334212
1864,Utah,2011,23,0.0031311154598764558
1916,Utah,2011,24,0.0027361982938954835
1968,Utah,2011,25,0.0020401224073409723
2020,Utah,2011,26,0.004085983300756642
2072,Utah,2011,27,0.004813137032828955
2124,Utah,2011,28,0.0008625150940126574
2176,Utah,2011,29,0.003185437997717439
2228,Utah,2011,30,0.00208170699973437
2280,Utah,2011,31,0.000850340136052614
2332,Utah,2011,32,0.0026109660574355725
2384,Utah,2011,33,0.0021877486077919893
2436,Utah,2011,34,0.00273490916194035
2488,Utah,2011,35,0.0034559869892184267
2540,Utah,2011,36,0.003243744207592114
2592,Utah,2011,37,0.0031023784901704544
2644,Utah,2011,38,0.007655428394673943
2696,Utah,2011,39,0.0072545428933601525
2748,Utah,2011,40,0.020336722787114236
2801,Utah,2011,41,0.01585898215172909
2854,Utah,2011,42,0.015732150060499203
2907,Utah,2011,43,0.01640633779075379
2960,Utah,2011,44,0.019544697390327846
3013,Utah,2011,45,0.023196656774257647
3066,Utah,2011,46,0.02198001816529096
3119,Utah,2011,47,0.023741051214572758
3172,Utah,2011,48,0.019197409506176016
3225,Utah,2011,49,0.01720941012862602
3278,Utah,2011,50,0.019340287566947088
3331,Utah,2011,51,0.022097667826296803
3384,Utah,2011,52,0.023959250408738548
3437,Utah,2012,1,0.023785810533702156
3490,Utah,2012,2,0.023730317143477637
3543,Utah,2012,3,0.023109896253946008
3596,Utah,2012,4,0.022028501331094623
3649,Utah,2012,5,0.02783055198971613
3702,Utah,2012,6,0.029157222336683927
3755,Utah,2012,7,0.03052604301630965
3808,Utah,2012,8,0.032419338212538694
3861,Utah,2012,9,0.025030840861146472
3914,Utah,2012,10,0.03073556472868616
