,REGION,YEAR,WEEK,ili_ratio
45,Vermont,2010,40,0.014764133957454937
97,Vermont,2010,41,0.013577732518623294
149,Vermont,2010,42,0.014822134387302958
201,Vermont,2010,43,0.014439324116699112
253,Vermont,2010,44,0.012527634487794667
305,Vermont,2010,45,0.011270491803240197
357,Vermont,2010,46,0.017905405405344913
409,Vermont,2010,47,0.019401096583638124
461,Vermont,2010,48,0.015752802181109506
513,Vermont,2010,49,0.011566265060213094
565,Vermont,2010,50,0.013455328309974555
617,Vermont,2010,51,0.01518731015857176
669,Vermont,2010,52,0.01810865191141676
721,Vermont,2011,1,0.017717930545670404
773,Vermont,2011,2,0.014863102998657464
825,Vermont,2011,3,0.017468293850161597
877,Vermont,2011,4,0.021797697771193246
929,Vermont,2011,5,0.024776500638506317
981,Vermont,2011,6,0.027326266195459775
1033,Vermont,2011,7,0.034380875637834055
1085,Vermont,2011,8,0.025374270489659036
1137,Vermont,2011,9,0.022809457579908737
1189,Vermont,2011,10,0.027452190006084357
1241,Vermont,2011,11,0.021291208791135677
1293,Vermont,2011,12,0.01533470952516858
1345,Vermont,2011,13,0.01672240802670501
1397,Vermont,2011,14,0.0183992640293824
1449,Vermont,2011,15,0.020057306590186043
1501,Vermont,2011,16,0.014352211016236028
1553,Vermont,2011,17,0.013274336283136895
1605,Vermont,2011,18,0.015140045420078956
1657,Vermont,2011,19,0.019667170953026978
1709,Vermont,2011,20,0.014564967420411787
1761,Vermont,2011,21,0.011976047904126423
1813,Vermont,2011,22,0.011264080100054669
1865,Vermont,2011,23,0.010672358591191717
1917,Vermont,2011,24,0.00586166471274407
1969,Vermont,2011,25,0.011876484560499546
2021,Vermont,2011,26,0.0064591896652586075
2073,Vermont,2011,27,0.0075997466750627
2125,Vermont,2011,28,0.007113218731433829
2177,Vermont,2011,29,0.008328995314896778
2229,Vermont,2011,30,0.010980966324956216
2281,Vermont,2011,31,0.01010830324902449
2333,Vermont,2011,32,0.009960159362483664
2385,Vermont,2011,33,0.018181818181691036
2437,Vermont,2011,34,0.014925373134231505
2489,Vermont,2011,35,0.014520202020110354
2541,Vermont,2011,36,0.020202020201874445
2593,Vermont,2011,37,0.02173913043462508
2645,Vermont,2011,38,0.011092623405373862
2697,Vermont,2011,39,0.012772751463476463
2749,Vermont,2011,40,0.014399059653204822
2802,Vermont,2011,41,0.015221137277383053
2855,Vermont,2011,42,0.010613207547138523
2908,Vermont,2011,43,0.012352941176434257
2961,Vermont,2011,44,0.016675632060202596
3014,Vermont,2011,45,0.012915129151257473
3067,Vermont,2011,46,0.011027686532118658
3120,Vermont,2011,47,0.021153846153764793
3173,Vermont,2011,48,0.018413945494676127
3226,Vermont,2011,49,0.01605758582498323
3279,Vermont,2011,50,0.01582537517048888
3332,Vermont,2011,51,0.02232625135029771
3385,Vermont,2011,52,0.027925061859215537
3438,Vermont,2012,1,0.021897810218898184
3491,Vermont,2012,2,0.026686434395749865
3544,Vermont,2012,3,0.02095808383226561
3597,Vermont,2012,4,0.019723865877647195
3650,Vermont,2012,5,0.018273471959614766
3703,Vermont,2012,6,0.02179406190770122
3756,Vermont,2012,7,0.017313432835769214
3809,Vermont,2012,8,0.023013304566619874
3862,Vermont,2012,9,0.019902365752835514
3915,Vermont,2012,10,0.018917896329856534
3968,Vermont,2012,11,0.026836158191995637
4021,Vermont,2012,12,0.028733817492804757
4074,Vermont,2012,13,0.030589000976145173
4127,Vermont,2012,14,0.028942115768366795
4180,Vermont,2012,15,0.02587322121595772
4233,Vermont,2012,16,0.02751504729136924
4286,Vermont,2012,17,0.025595763459728176
4339,Vermont,2012,18,0.019019442096284787
4392,Vermont,2012,19,0.020948860135422374
4445,Vermont,2012,20,0.018469656991962603
4498,Vermont,2012,21,0.019754768392236003
4551,Vermont,2012,22,0.018475750577224975
4604,Vermont,2012,23,0.016511127063772356
4657,Vermont,2012,24,0.011479591836661482
4710,Vermont,2012,25,0.0131034482757717
4763,Vermont,2012,26,0.01256983240214686
4816,Vermont,2012,27,0.011119936457417634
4869,Vermont,2012,28,0.009640102827701542
4922,Vermont,2012,29,0.011420413989925623
4975,Vermont,2012,30,0.01140939597307779
5028,Vermont,2012,31,0.010899182561233657
5081,Vermont,2012,32,0.011764705882283738
5134,Vermont,2012,33,0.014492753623088387
5187,Vermont,2012,34,0.017167381974064727
5240,Vermont,2012,35,0.011689070718809532
5293,Vermont,2012,36,0.01606683804616924
5346,Vermont,2012,37,0.012418300653513606
5399,Vermont,2012,38,0.019570707070583518
5452,Vermont,2012,39,0.016930638994992187
5505,Vermont,2012,40,0.013110455588288723
5558,Vermont,2012,41,0.012463343108458712
5611,Vermont,2012,42,0.012963629816301897
5664,Vermont,2012,43,0.010911650827135123
5717,Vermont,2012,44,0.009938614440193106
5770,Vermont,2012,45,0.01034692635419858
5823,Vermont,2012,46,0.009830205540632022
5876,Vermont,2012,47,0.011389521640039228
5929,Vermont,2012,48,0.01307189542480374
5982,Vermont,2012,49,0.013094601817175054
6035,Vermont,2012,50,0.025963377972052573
6088,Vermont,2012,51,0.034663559568789214
