,REGION,YEAR,WEEK,ili_ratio
2755,Virgin Islands,2011,40,0.0
2808,Virgin Islands,2011,41,0.0
2861,Virgin Islands,2011,42,0.0
2914,Virgin Islands,2011,43,0.0
2967,Virgin Islands,2011,44,0.0
3020,Virgin Islands,2011,45,0.0
3073,Virgin Islands,2011,46,0.0
3126,Virgin Islands,2011,47,0.0
3179,Virgin Islands,2011,48,0.0
3232,Virgin Islands,2011,49,0.0
3285,Virgin Islands,2011,50,0.0
3338,Virgin Islands,2011,51,0.0
3391,Virgin Islands,2011,52,0.0
3444,Virgin Islands,2012,1,0.0
3497,Virgin Islands,2012,2,0.0
3550,Virgin Islands,2012,3,0.0
3603,Virgin Islands,2012,4,0.0
3656,Virgin Islands,2012,5,0.0
3709,Virgin Islands,2012,6,0.0
3762,Virgin Islands,2012,7,0.0
3815,Virgin Islands,2012,8,0.0
3868,Virgin Islands,2012,9,0.0
3921,Virgin Islands,2012,10,0.0
3974,Virgin Islands,2012,11,0.0
4027,Virgin Islands,2012,12,0.0
4080,Virgin Islands,2012,13,0.0
4133,Virgin Islands,2012,14,0.0025062656640975874
4186,Virgin Islands,2012,15,0.0
4239,Virgin Islands,2012,16,0.004608294930769394
4292,Virgin Islands,2012,17,0.0
4345,Virgin Islands,2012,18,0.01440922190160204
4398,Virgin Islands,2012,19,0.0
4451,Virgin Islands,2012,20,0.0
4504,Virgin Islands,2012,21,0.0
4557,Virgin Islands,2012,22,0.012019230768941845
4610,Virgin Islands,2012,23,0.0024752475246912066
4663,Virgin Islands,2012,24,0.010615711252428542
4716,Virgin Islands,2012,25,0.01546391752537464
4769,Virgin Islands,2012,26,0.004878048780368828
4822,Virgin Islands,2012,27,0.0
4875,Virgin Islands,2012,28,0.0053908355793695194
4928,Virgin Islands,2012,29,0.0
4981,Virgin Islands,2012,30,0.0
5034,Virgin Islands,2012,31,0.00854700854664329
5087,Virgin Islands,2012,32,0.004999999999875
5140,Virgin Islands,2012,33,0.006369426751389509
5193,Virgin Islands,2012,34,0.002754820936563228
5246,Virgin Islands,2012,35,0.004464285714086416
5299,Virgin Islands,2012,36,0.004566210045453598
5352,Virgin Islands,2012,37,0.0
5405,Virgin Islands,2012,38,0.0
5458,Virgin Islands,2012,39,0.002341920374652414
5511,Virgin Islands,2012,40,0.0020283975658817767
5564,Virgin Islands,2012,41,0.0046296296295224625
5617,Virgin Islands,2012,42,0.005859374999885559
5670,Virgin Islands,2012,43,0.0042372881355034475
5723,Virgin Islands,2012,44,0.002237136465274337
5776,Virgin Islands,2012,45,0.0
5829,Virgin Islands,2012,46,0.0021834061134894454
5882,Virgin Islands,2012,47,0.004329004328910628
5935,Virgin Islands,2012,48,0.008080808080644831
5988,Virgin Islands,2012,49,0.004555808655932669
6041,Virgin Islands,2012,50,0.006896551723979389
6094,Virgin Islands,2012,51,0.0024213075059946413
6147,Virgin Islands,2012,52,0.0
6200,Virgin Islands,2013,1,0.0
