,REGION,YEAR,WEEK,ili_ratio
46,Virginia,2010,40,0.011434313334832828
98,Virginia,2010,41,0.01236531807074596
150,Virginia,2010,42,0.012254466090047328
202,Virginia,2010,43,0.01269022869022658
254,Virginia,2010,44,0.012654712100957756
306,Virginia,2010,45,0.014116524918525695
358,Virginia,2010,46,0.015324232081908648
410,Virginia,2010,47,0.016272628350971697
462,Virginia,2010,48,0.01571460972685486
514,Virginia,2010,49,0.016993735506867235
566,Virginia,2010,50,0.0175344194158872
618,Virginia,2010,51,0.021958488001250945
670,Virginia,2010,52,0.023964037597053706
722,Virginia,2011,1,0.024891217891728677
774,Virginia,2011,2,0.028110542602403858
826,Virginia,2011,3,0.039723585787745486
878,Virginia,2011,4,0.04742297725308848
930,Virginia,2011,5,0.05348505218222153
982,Virginia,2011,6,0.05129227385206884
1034,Virginia,2011,7,0.05143037731181794
1086,Virginia,2011,8,0.043590761606171216
1138,Virginia,2011,9,0.03473312684577761
1190,Virginia,2011,10,0.02835700301438386
1242,Virginia,2011,11,0.022687634439854852
1294,Virginia,2011,12,0.018529578413803996
1346,Virginia,2011,13,0.018129269574353478
1398,Virginia,2011,14,0.015117647058821307
1450,Virginia,2011,15,0.014865449154807623
1502,Virginia,2011,16,0.013180974438443968
1554,Virginia,2011,17,0.010572056473093606
1606,Virginia,2011,18,0.010727284336886099
1658,Virginia,2011,19,0.010642312627366497
1710,Virginia,2011,20,0.011395049823206141
1762,Virginia,2011,21,0.009993683085244337
1814,Virginia,2011,22,0.010113678388241424
1866,Virginia,2011,23,0.009648334830487134
1918,Virginia,2011,24,0.009110556940979366
1970,Virginia,2011,25,0.00828359558690391
2022,Virginia,2011,26,0.008178774993213032
2074,Virginia,2011,27,0.00723916977809544
2126,Virginia,2011,28,0.006293521375053981
2178,Virginia,2011,29,0.006257422934428898
2230,Virginia,2011,30,0.00673763397666355
2282,Virginia,2011,31,0.005602927529633253
2334,Virginia,2011,32,0.005888988421086578
2386,Virginia,2011,33,0.006774214919834575
2438,Virginia,2011,34,0.007746933505485896
2490,Virginia,2011,35,0.007232384823847014
2542,Virginia,2011,36,0.008003805087663315
2594,Virginia,2011,37,0.00916186469099528
2646,Virginia,2011,38,0.010808356039962034
2698,Virginia,2011,39,0.012132599260099023
2750,Virginia,2011,40,0.01249033485992796
2803,Virginia,2011,41,0.013543325492715015
2856,Virginia,2011,42,0.012825645571790325
2909,Virginia,2011,43,0.013884221780966263
2962,Virginia,2011,44,0.014522371884190352
3015,Virginia,2011,45,0.015337791238115786
3068,Virginia,2011,46,0.01507624271314719
3121,Virginia,2011,47,0.01600139556274228
3174,Virginia,2011,48,0.016793153560469034
3227,Virginia,2011,49,0.015229341263402238
3280,Virginia,2011,50,0.017021276595742086
3333,Virginia,2011,51,0.01751675182816487
3386,Virginia,2011,52,0.019750610394137346
3439,Virginia,2012,1,0.017998775399772453
3492,Virginia,2012,2,0.013975682902685227
3545,Virginia,2012,3,0.016676121943206133
3598,Virginia,2012,4,0.014762781799229772
3651,Virginia,2012,5,0.016814238440208566
3704,Virginia,2012,6,0.014793543053559182
3757,Virginia,2012,7,0.01692303218865155
3810,Virginia,2012,8,0.01633587571811606
3863,Virginia,2012,9,0.015530249110318075
3916,Virginia,2012,10,0.015710701365384567
3969,Virginia,2012,11,0.015043259838122379
4022,Virginia,2012,12,0.013535417907757785
4075,Virginia,2012,13,0.013064858730757259
4128,Virginia,2012,14,0.012863852574264388
4181,Virginia,2012,15,0.011522498089571087
4234,Virginia,2012,16,0.01099799780039889
4287,Virginia,2012,17,0.010616028708132384
4340,Virginia,2012,18,0.011598382495844708
4393,Virginia,2012,19,0.009604393973130022
4446,Virginia,2012,20,0.009685120951392753
