,REGION,YEAR,WEEK,ili_ratio
47,Washington,2010,40,0.0051004144086544455
99,Washington,2010,41,0.01040073416943897
151,Washington,2010,42,0.0090439276485496
203,Washington,2010,43,0.009551098376282869
255,Washington,2010,44,0.007863695937064668
307,Washington,2010,45,0.01067235859122019
359,Washington,2010,46,0.013313161875905255
411,Washington,2010,47,0.01873327386245555
463,Washington,2010,48,0.009817671809229123
515,Washington,2010,49,0.009646302250775661
567,Washington,2010,50,0.006475485661394656
619,Washington,2010,51,0.0038709677419105104
671,Washington,2010,52,0.02459016393422467
723,Washington,2011,1,0.015224010439255224
775,Washington,2011,2,0.0121906169190536
827,Washington,2011,3,0.00721045515994948
879,Washington,2011,4,0.01813880126175813
931,Washington,2011,5,0.02811094452763077
983,Washington,2011,6,0.021664374140228114
1035,Washington,2011,7,0.04142441860450064
1087,Washington,2011,8,0.03807209396501388
1139,Washington,2011,9,0.03469026548660287
1191,Washington,2011,10,0.030494607660727056
1243,Washington,2011,11,0.03642714570840106
1295,Washington,2011,12,0.030608135320053936
1347,Washington,2011,13,0.01546961325961153
1399,Washington,2011,14,0.007985803016823488
1451,Washington,2011,15,0.009704968944061705
1503,Washington,2011,16,0.013871374527053925
1555,Washington,2011,17,0.006490872210927015
1607,Washington,2011,18,0.007207207207174743
1659,Washington,2011,19,0.005807814149916538
1711,Washington,2011,20,0.004981320049782184
1763,Washington,2011,21,0.0018018018017855696
1815,Washington,2011,22,0.0029717682020360806
1867,Washington,2011,23,0.0033222591361758333
1919,Washington,2011,24,0.0026809651473812075
1971,Washington,2011,25,0.0
2023,Washington,2011,26,0.0
2075,Washington,2011,27,0.0
2127,Washington,2011,28,0.0
2179,Washington,2011,29,0.0
2231,Washington,2011,30,0.0
2283,Washington,2011,31,0.0
2335,Washington,2011,32,0.0
2387,Washington,2011,33,0.0
2439,Washington,2011,34,0.0007917656373650692
2491,Washington,2011,35,0.0
2543,Washington,2011,36,0.0009345794392436022
2595,Washington,2011,37,0.000780640124896326
2647,Washington,2011,38,0.0022408963585308635
2699,Washington,2011,39,0.0
2751,Washington,2011,40,0.005053863545677545
2804,Washington,2011,41,0.004956157072048601
2857,Washington,2011,42,0.0039525691699555925
2910,Washington,2011,43,0.004677380666820967
2963,Washington,2011,44,0.006667474845427727
3016,Washington,2011,45,0.00515399120049635
3069,Washington,2011,46,0.006715506715498516
3122,Washington,2011,47,0.008189836203258737
3175,Washington,2011,48,0.005084745762705708
3228,Washington,2011,49,0.003504819126294274
3281,Washington,2011,50,0.006581711244914463
3334,Washington,2011,51,0.0077711640211511725
3387,Washington,2011,52,0.009534368070932296
3440,Washington,2012,1,0.009223807866325751
3493,Washington,2012,2,0.005872147337507177
3546,Washington,2012,3,0.009658246656736855
3599,Washington,2012,4,0.0060546150994611955
3652,Washington,2012,5,0.011551360079478884
3705,Washington,2012,6,0.011169024571840198
3758,Washington,2012,7,0.010735997930396151
