,REGION,YEAR,WEEK,ili_ratio
48,West Virginia,2010,40,0.015974084003556776
100,West Virginia,2010,41,0.015896764540849168
152,West Virginia,2010,42,0.015267175572501688
204,West Virginia,2010,43,0.01811708032252789
256,West Virginia,2010,44,0.018398573171859195
308,West Virginia,2010,45,0.0206875257307321
360,West Virginia,2010,46,0.019980376416002157
412,West Virginia,2010,47,0.016852508869720156
464,West Virginia,2010,48,0.013905894700005328
516,West Virginia,2010,49,0.015868233403619696
568,West Virginia,2010,50,0.014160327676987524
620,West Virginia,2010,51,0.011963696369620512
672,West Virginia,2010,52,0.014138641043220126
724,West Virginia,2011,1,0.012451577199767153
776,West Virginia,2011,2,0.01258603736478605
828,West Virginia,2011,3,0.01922005571028856
880,West Virginia,2011,4,0.028837295006422663
932,West Virginia,2011,5,0.03473158353815341
984,West Virginia,2011,6,0.039866098600091396
1036,West Virginia,2011,7,0.05121160890388052
1088,West Virginia,2011,8,0.05452990234510333
1140,West Virginia,2011,9,0.04323853743467553
1192,West Virginia,2011,10,0.02609325924134163
1244,West Virginia,2011,11,0.025889967637518402
1296,West Virginia,2011,12,0.013539981265423195
1348,West Virginia,2011,13,0.012741240397214968
1400,West Virginia,2011,14,0.009409830074904613
1452,West Virginia,2011,15,0.007044237813461966
1504,West Virginia,2011,16,0.007194994786228159
1556,West Virginia,2011,17,0.006350550381026301
1608,West Virginia,2011,18,0.004146122814876573
1660,West Virginia,2011,19,0.0038775510204042065
1712,West Virginia,2011,20,0.0033580246913547077
1764,West Virginia,2011,21,0.004034896401304214
1816,West Virginia,2011,22,0.004110612855002353
1868,West Virginia,2011,23,0.0036706869428373484
1920,West Virginia,2011,24,0.00470526728531603
1972,West Virginia,2011,25,0.0018611143422102346
2024,West Virginia,2011,26,0.002223384776350741
2076,West Virginia,2011,27,0.0033778078027303197
2128,West Virginia,2011,28,0.0018462349993381957
2180,West Virginia,2011,29,0.0008583690987112183
2232,West Virginia,2011,30,0.001289952701732421
2284,West Virginia,2011,31,0.0007473841554547872
2336,West Virginia,2011,32,0.0011850096282014738
2388,West Virginia,2011,33,0.0018371961560177542
2440,West Virginia,2011,34,0.004296932878938662
2492,West Virginia,2011,35,0.003862495171876062
2544,West Virginia,2011,36,0.003472668810284923
2596,West Virginia,2011,37,0.006243114212258241
2648,West Virginia,2011,38,0.008792048929652406
2700,West Virginia,2011,39,0.006942810072950173
2752,West Virginia,2011,40,0.006538722826081403
2805,West Virginia,2011,41,0.007467189621355055
2858,West Virginia,2011,42,0.007130543801906339
2911,West Virginia,2011,43,0.008481824661433726
2964,West Virginia,2011,44,0.009821115398099038
3017,West Virginia,2011,45,0.009425462610014953
3070,West Virginia,2011,46,0.007806721998514416
3123,West Virginia,2011,47,0.008251473477398574
3176,West Virginia,2011,48,0.0072687050643855024
3229,West Virginia,2011,49,0.0066019417475676875
3282,West Virginia,2011,50,0.005884105466999937
3335,West Virginia,2011,51,0.007681147051286437
3388,West Virginia,2011,52,0.009433962264141268
3441,West Virginia,2012,1,0.006272963527192156
3494,West Virginia,2012,2,0.007220474692588489
3547,West Virginia,2012,3,0.006052883083779824
3600,West Virginia,2012,4,0.006672406371067102
3653,West Virginia,2012,5,0.008112043264225119
3706,West Virginia,2012,6,0.005860491709544125
3759,West Virginia,2012,7,0.007651559741018502
3812,West Virginia,2012,8,0.007970154315747015
3865,West Virginia,2012,9,0.006958538706866513
3918,West Virginia,2012,10,0.009386174016679539
3971,West Virginia,2012,11,0.007283478762524494
4024,West Virginia,2012,12,0.011498629302458499
4077,West Virginia,2012,13,0.008925775133096675
4130,West Virginia,2012,14,0.0074448529411696275
4183,West Virginia,2012,15,0.005221261662239817
4236,West Virginia,2012,16,0.00595649171270204
4289,West Virginia,2012,17,0.004598456232546725
4342,West Virginia,2012,18,0.004239240622980149
4395,West Virginia,2012,19,0.004275940706951467
4448,West Virginia,2012,20,0.004246515679437885
4501,West Virginia,2012,21,0.0026737967914411
4554,West Virginia,2012,22,0.0016199250784634809
4607,West Virginia,2012,23,0.0023058379624753106
4660,West Virginia,2012,24,0.002110372480740624
4713,West Virginia,2012,25,0.002333722287045118
4766,West Virginia,2012,26,0.0013462244523297685
