,REGION,YEAR,WEEK,ili_ratio
49,Wisconsin,2010,40,0.004650222401931561
101,Wisconsin,2010,41,0.005818318318307398
153,Wisconsin,2010,42,0.011882211124484445
205,Wisconsin,2010,43,0.01010486177309799
257,Wisconsin,2010,44,0.010964912280681716
309,Wisconsin,2010,45,0.010338345864642221
361,Wisconsin,2010,46,0.01124023623545201
413,Wisconsin,2010,47,0.009782608695625592
465,Wisconsin,2010,48,0.012708072310698572
517,Wisconsin,2010,49,0.012794735880071661
569,Wisconsin,2010,50,0.006616862326560049
621,Wisconsin,2010,51,0.0069359445124156024
673,Wisconsin,2010,52,0.013882240306300229
725,Wisconsin,2011,1,0.008019008018984202
777,Wisconsin,2011,2,0.008422887017111755
829,Wisconsin,2011,3,0.012470308788561549
881,Wisconsin,2011,4,0.023775894538550436
933,Wisconsin,2011,5,0.029898690387867806
985,Wisconsin,2011,6,0.02935420743633539
1037,Wisconsin,2011,7,0.028132438865985432
1089,Wisconsin,2011,8,0.02764976958518975
1141,Wisconsin,2011,9,0.03192629097914736
1193,Wisconsin,2011,10,0.03128964059190002
1245,Wisconsin,2011,11,0.037175792507097474
1297,Wisconsin,2011,12,0.01020408163262151
1349,Wisconsin,2011,13,0.012954545454516013
1401,Wisconsin,2011,14,0.010015934441133585
1453,Wisconsin,2011,15,0.007975604034698627
1505,Wisconsin,2011,16,0.002513966480439905
1557,Wisconsin,2011,17,0.004405286343601554
1609,Wisconsin,2011,18,0.004212497074644951
1661,Wisconsin,2011,19,0.0022766078542906187
1713,Wisconsin,2011,20,0.005242922055207121
1765,Wisconsin,2011,21,0.004102096627146299
1817,Wisconsin,2011,22,0.004214963119050501
1869,Wisconsin,2011,23,0.0012172854534314226
1921,Wisconsin,2011,24,0.0011135857460962495
1973,Wisconsin,2011,25,0.003956043956026567
2025,Wisconsin,2011,26,0.004271476032253102
2077,Wisconsin,2011,27,0.0029188558085060197
2129,Wisconsin,2011,28,0.0029300962745796148
2181,Wisconsin,2011,29,0.001575630252092565
2233,Wisconsin,2011,30,0.0026232948583283146
2285,Wisconsin,2011,31,0.0004780114722730497
2337,Wisconsin,2011,32,0.0023126734504980914
2389,Wisconsin,2011,33,0.001119194180184
2441,Wisconsin,2011,34,0.003191489361685152
2493,Wisconsin,2011,35,0.002873563218380483
2545,Wisconsin,2011,36,0.0021533161067952057
2597,Wisconsin,2011,37,0.0021103406692731075
2649,Wisconsin,2011,38,0.005197805371050541
2701,Wisconsin,2011,39,0.005017709563149298
