,REGION,YEAR,WEEK,ili_ratio
50,Wyoming,2010,40,0.006329113924038115
102,Wyoming,2010,41,0.004406210658824158
154,Wyoming,2010,42,0.004417979254697622
206,Wyoming,2010,43,0.004903053264976815
258,Wyoming,2010,44,0.00566636446054926
310,Wyoming,2010,45,0.004633360193383091
362,Wyoming,2010,46,0.007447248655342476
414,Wyoming,2010,47,0.005001471020873782
466,Wyoming,2010,48,0.0059377559377437805
518,Wyoming,2010,49,0.004183225266671861
570,Wyoming,2010,50,0.003117854915811437
622,Wyoming,2010,51,0.016324381253248223
674,Wyoming,2010,52,0.01463771651618776
726,Wyoming,2011,1,0.008062848873251887
778,Wyoming,2011,2,0.010656080233993614
830,Wyoming,2011,3,0.0236326806211487
882,Wyoming,2011,4,0.02897998093416782
934,Wyoming,2011,5,0.02925156344557343
986,Wyoming,2011,6,0.03377148634978004
1038,Wyoming,2011,7,0.026014568158114433
1090,Wyoming,2011,8,0.02369353410092185
1142,Wyoming,2011,9,0.02286453839511893
1194,Wyoming,2011,10,0.015328151986149983
1246,Wyoming,2011,11,0.011076330363565914
1298,Wyoming,2011,12,0.007701019252530689
1350,Wyoming,2011,13,0.011190233977591073
1402,Wyoming,2011,14,0.008375209380214466
1454,Wyoming,2011,15,0.00515717092336651
1506,Wyoming,2011,16,0.005755755755741352
1558,Wyoming,2011,17,0.0034713612695177996
1610,Wyoming,2011,18,0.002524341868003879
1662,Wyoming,2011,19,0.006923076923050296
1714,Wyoming,2011,20,0.004248088360219847
1766,Wyoming,2011,21,0.0016687526074189874
1818,Wyoming,2011,22,0.0018223234624062765
1870,Wyoming,2011,23,0.002028397565912635
1922,Wyoming,2011,24,0.003260869565199669
1974,Wyoming,2011,25,0.0027979854504600003
2026,Wyoming,2011,26,0.0010293360782242444
2078,Wyoming,2011,27,0.0017045454545357697
2130,Wyoming,2011,28,0.0025125628140545693
2182,Wyoming,2011,29,0.001886792452818322
2234,Wyoming,2011,30,0.001212121212113866
2286,Wyoming,2011,31,0.0009505703422008053
2338,Wyoming,2011,32,0.0012145748987805079
2390,Wyoming,2011,33,0.0023020257826781676
2442,Wyoming,2011,34,0.0015438054805034975
2494,Wyoming,2011,35,0.0026373626373510446
2546,Wyoming,2011,36,0.0042056074766158615
2598,Wyoming,2011,37,0.003863987635224637
2650,Wyoming,2011,38,0.007137192704174714
2702,Wyoming,2011,39,0.004397215097089054
2754,Wyoming,2011,40,0.004457652303112077
2807,Wyoming,2011,41,0.0043506634761706535
2860,Wyoming,2011,42,0.0077423895829531195
2913,Wyoming,2011,43,0.007675830060678908
2966,Wyoming,2011,44,0.007992007991992024
3019,Wyoming,2011,45,0.00715051841257213
3072,Wyoming,2011,46,0.006499059346662393
3125,Wyoming,2011,47,0.006056018168039223
3178,Wyoming,2011,48,0.006314270250755341
3231,Wyoming,2011,49,0.005448055607729762
3284,Wyoming,2011,50,0.004159576479477861
3337,Wyoming,2011,51,0.004490057729304062
3390,Wyoming,2011,52,0.005589090096119855
3443,Wyoming,2012,1,0.007237871674477234
3496,Wyoming,2012,2,0.0058216899534167975
3549,Wyoming,2012,3,0.007637752318589494
3602,Wyoming,2012,4,0.008142239946812659
3655,Wyoming,2012,5,0.0116279069767237
3708,Wyoming,2012,6,0.008363429005876518
3761,Wyoming,2012,7,0.010867455850939517
3814,Wyoming,2012,8,0.014480761274277037
3867,Wyoming,2012,9,0.016691394658722755
3920,Wyoming,2012,10,0.015743656232606512
3973,Wyoming,2012,11,0.018549747048869122
4026,Wyoming,2012,12,0.010201912858639316
4079,Wyoming,2012,13,0.017978513483845694
4132,Wyoming,2012,14,0.015711868503708697
4185,Wyoming,2012,15,0.00875532418360446
4238,Wyoming,2012,16,0.007233669443210799
4291,Wyoming,2012,17,0.010587345601183294
4344,Wyoming,2012,18,0.005325893989334705
4397,Wyoming,2012,19,0.0036543983294083674
4450,Wyoming,2012,20,0.0027048958615020157
4503,Wyoming,2012,21,0.004312823461747232
4556,Wyoming,2012,22,0.003784295175011718
4609,Wyoming,2012,23,0.004045307443354787
4662,Wyoming,2012,24,0.0011277135607523888
4715,Wyoming,2012,25,0.0012873326467526074
4768,Wyoming,2012,26,0.0008693132425358756
4821,Wyoming,2012,27,0.0015873015872965484
4874,Wyoming,2012,28,0.00028208744710780796
4927,Wyoming,2012,29,0.00036563071297855346
4980,Wyoming,2012,30,0.0007220216606472129
5033,Wyoming,2012,31,0.0003400204012229173
5086,Wyoming,2012,32,0.0016583747926976506
5139,Wyoming,2012,33,0.0009624639076003771
5192,Wyoming,2012,34,0.0006482982171778013
5245,Wyoming,2012,35,0.0013136288998314824
5298,Wyoming,2012,36,0.0034602076124434443
5351,Wyoming,2012,37,0.0020847810979774677
5404,Wyoming,2012,38,0.0020646937370885593
5457,Wyoming,2012,39,0.003288271830459305
5510,Wyoming,2012,40,0.005619146722152718
5563,Wyoming,2012,41,0.008004926108357954
5616,Wyoming,2012,42,0.007013442431313046
5669,Wyoming,2012,43,0.006913379422515426
5722,Wyoming,2012,44,0.007714169711717998
5775,Wyoming,2012,45,0.006237469369556165
5828,Wyoming,2012,46,0.004097476816898647
5881,Wyoming,2012,47,0.008956145768965546
5934,Wyoming,2012,48,0.013789299503559865
5987,Wyoming,2012,49,0.027290836653332092
6040,Wyoming,2012,50,0.029892387405281204
6093,Wyoming,2012,51,0.06548488008328367
6146,Wyoming,2012,52,0.07160068846791187
6199,Wyoming,2013,1,0.04558942541126089
6252,Wyoming,2013,2,0.07201028718372908
6305,Wyoming,2013,3,0.04976640259993954
6358,Wyoming,2013,4,0.05564924114657757
6411,Wyoming,2013,5,0.038562664329451005
6464,Wyoming,2013,6,0.029499884766007147
6517,Wyoming,2013,7,0.028705882352873635
6570,Wyoming,2013,8,0.022997032640892687
6623,Wyoming,2013,9,0.013701657458533256
6676,Wyoming,2013,10,0.009728978457239452
6729,Wyoming,2013,11,0.006778868630185183
6782,Wyoming,2013,12,0.0071906769154297286
6835,Wyoming,2013,13,0.004446640316194549
6888,Wyoming,2013,14,0.004676539360860804
6941,Wyoming,2013,15,0.004305705059191858
6994,Wyoming,2013,16,0.0027073590942586576
7047,Wyoming,2013,17,0.000568181818180204
7100,Wyoming,2013,18,0.0015690376568996626
7153,Wyoming,2013,19,0.002170374389576315
7206,Wyoming,2013,20,0.00028918449970997923
7259,Wyoming,2013,21,0.0006596306068579827
7312,Wyoming,2013,22,0.002814919071066802
7365,Wyoming,2013,23,0.0
7418,Wyoming,2013,24,0.0008896797152998527
7471,Wyoming,2013,25,0.0003191828917959809
7524,Wyoming,2013,26,0.00031796502384636577
7577,Wyoming,2013,27,0.0003818251240917074
7630,Wyoming,2013,28,0.0
7683,Wyoming,2013,29,0.000839630562548952
7736,Wyoming,2013,30,0.0
7789,Wyoming,2013,31,0.0008190008189974652
7842,Wyoming,2013,32,0.002996575342452926
7895,Wyoming,2013,33,0.0023121387283147896
7948,Wyoming,2013,34,0.0
8001,Wyoming,2013,35,0.0007326007325980491
8054,Wyoming,2013,36,0.0012981393336161916
8107,Wyoming,2013,37,0.0019577133907519276
8160,Wyoming,2013,38,0.001120657452367872
8213,Wyoming,2013,39,0.002050861361763532
8266,Wyoming,2013,40,0.004517776468268478
8320,Wyoming,2013,41,0.006459189665283893
8374,Wyoming,2013,42,0.0030505243088597704
8428,Wyoming,2013,43,0.003679999999994112
8482,Wyoming,2013,44,0.005765407554660506
8536,Wyoming,2013,45,0.005764192139727923
8590,Wyoming,2013,46,0.003736479842667185
8644,Wyoming,2013,47,0.007643798968072532
8698,Wyoming,2013,48,0.005114466634181407
8752,Wyoming,2013,49,0.007219548315425362
8806,Wyoming,2013,50,0.007487337590822534
8860,Wyoming,2013,51,0.010810810810789167
8914,Wyoming,2013,52,0.018817916777050577
8968,Wyoming,2014,1,0.02472395583287392
9022,Wyoming,2014,2,0.021911598035470513
9076,Wyoming,2014,3,0.026215874163756616
9130,Wyoming,2014,4,0.023626584709904676
9184,Wyoming,2014,5,0.02071931196243018
9238,Wyoming,2014,6,0.015222482435567482
9292,Wyoming,2014,7,0.014562002275279724
9346,Wyoming,2014,8,0.014779235174552412
9400,Wyoming,2014,9,0.010164940544667884
9454,Wyoming,2014,10,0.00978886756236125
9508,Wyoming,2014,11,0.006013579049454872
